method,delay,trial,tracking_rmse,tail_tracking_rmse,final_error,success,handoff_action_jump,proprio_context_error,latent_context_rmse,handoff_policy_error,control_effort
oracle_fresh,0,0,1.023552988585787,0.6213805937807173,0.4483913421210586,1.0,0.9263898941812128,0.0,0.0,0.0,4.223512361593181
naive_stale,0,0,1.023552988585787,0.6213805937807173,0.4483913421210586,1.0,0.9263898941812128,0.0,0.0,0.0,4.223512361593181
state_rollout,0,0,1.023552988585787,0.6213805937807173,0.4483913421210586,1.0,0.9263898941812128,0.0,0.0,0.0,4.223512361593181
state_correction,0,0,1.023552988585787,0.6213805937807173,0.4483913421210586,1.0,0.9263898941812128,0.0,0.0,0.0,4.223512361593181
obs_transport,0,0,1.023552988585787,0.6213805937807173,0.4483913421210586,1.0,0.9263898941812128,0.0,0.0,0.0,4.223512361593181
obs_innovation,0,0,1.023552988585787,0.6213805937807173,0.4483913421210586,1.0,0.9263898941812128,0.0,0.0,0.0,4.223512361593181
policy_consistency,0,0,1.023552988585787,0.6213805937807173,0.4483913421210586,1.0,0.9263898941812128,0.0,0.0,0.0,4.223512361593181
oracle_fresh,0,1,1.228277353820485,0.6941060116478507,0.49432116235606033,1.0,0.8848061201812465,0.0,0.0,0.0,5.310188700313129
naive_stale,0,1,1.228277353820485,0.6941060116478507,0.49432116235606033,1.0,0.8848061201812465,0.0,0.0,0.0,5.310188700313129
state_rollout,0,1,1.228277353820485,0.6941060116478507,0.49432116235606033,1.0,0.8848061201812465,0.0,0.0,0.0,5.310188700313129
state_correction,0,1,1.228277353820485,0.6941060116478507,0.49432116235606033,1.0,0.8848061201812465,0.0,0.0,0.0,5.310188700313129
obs_transport,0,1,1.228277353820485,0.6941060116478507,0.49432116235606033,1.0,0.8848061201812465,0.0,0.0,0.0,5.310188700313129
obs_innovation,0,1,1.228277353820485,0.6941060116478507,0.49432116235606033,1.0,0.8848061201812465,0.0,0.0,0.0,5.310188700313129
policy_consistency,0,1,1.228277353820485,0.6941060116478507,0.49432116235606033,1.0,0.8848061201812465,0.0,0.0,0.0,5.310188700313129
oracle_fresh,0,2,1.0096849573953122,0.6397851838964538,0.6725165397562857,1.0,0.8967985043908405,0.0,0.0,0.0,3.7487520175495814
naive_stale,0,2,1.0096849573953122,0.6397851838964538,0.6725165397562857,1.0,0.8967985043908405,0.0,0.0,0.0,3.7487520175495814
state_rollout,0,2,1.0096849573953122,0.6397851838964538,0.6725165397562857,1.0,0.8967985043908405,0.0,0.0,0.0,3.7487520175495814
state_correction,0,2,1.0096849573953122,0.6397851838964538,0.6725165397562857,1.0,0.8967985043908405,0.0,0.0,0.0,3.7487520175495814
obs_transport,0,2,1.0096849573953122,0.6397851838964538,0.6725165397562857,1.0,0.8967985043908405,0.0,0.0,0.0,3.7487520175495814
obs_innovation,0,2,1.0096849573953122,0.6397851838964538,0.6725165397562857,1.0,0.8967985043908405,0.0,0.0,0.0,3.7487520175495814
policy_consistency,0,2,1.0096849573953122,0.6397851838964538,0.6725165397562857,1.0,0.8967985043908405,0.0,0.0,0.0,3.7487520175495814
oracle_fresh,0,3,0.9540974300452484,0.5830035472929831,0.42064797340620846,1.0,0.7555324940889311,0.0,0.0,0.0,4.264051273955159
naive_stale,0,3,0.9540974300452484,0.5830035472929831,0.42064797340620846,1.0,0.7555324940889311,0.0,0.0,0.0,4.264051273955159
state_rollout,0,3,0.9540974300452484,0.5830035472929831,0.42064797340620846,1.0,0.7555324940889311,0.0,0.0,0.0,4.264051273955159
state_correction,0,3,0.9540974300452484,0.5830035472929831,0.42064797340620846,1.0,0.7555324940889311,0.0,0.0,0.0,4.264051273955159
obs_transport,0,3,0.9540974300452484,0.5830035472929831,0.42064797340620846,1.0,0.7555324940889311,0.0,0.0,0.0,4.264051273955159
obs_innovation,0,3,0.9540974300452484,0.5830035472929831,0.42064797340620846,1.0,0.7555324940889311,0.0,0.0,0.0,4.264051273955159
policy_consistency,0,3,0.9540974300452484,0.5830035472929831,0.42064797340620846,1.0,0.7555324940889311,0.0,0.0,0.0,4.264051273955159
oracle_fresh,0,4,1.2547160314214865,0.6563448397004372,0.4463510214054543,1.0,0.9148404491863524,0.0,0.0,0.0,5.107326419496716
naive_stale,0,4,1.2547160314214865,0.6563448397004372,0.4463510214054543,1.0,0.9148404491863524,0.0,0.0,0.0,5.107326419496716
state_rollout,0,4,1.2547160314214865,0.6563448397004372,0.4463510214054543,1.0,0.9148404491863524,0.0,0.0,0.0,5.107326419496716
state_correction,0,4,1.2547160314214865,0.6563448397004372,0.4463510214054543,1.0,0.9148404491863524,0.0,0.0,0.0,5.107326419496716
obs_transport,0,4,1.2547160314214865,0.6563448397004372,0.4463510214054543,1.0,0.9148404491863524,0.0,0.0,0.0,5.107326419496716
obs_innovation,0,4,1.2547160314214865,0.6563448397004372,0.4463510214054543,1.0,0.9148404491863524,0.0,0.0,0.0,5.107326419496716
policy_consistency,0,4,1.2547160314214865,0.6563448397004372,0.4463510214054543,1.0,0.9148404491863524,0.0,0.0,0.0,5.107326419496716
oracle_fresh,0,5,1.097429411887407,0.6382507345455507,0.3724116375251246,1.0,0.8530158726880579,0.0,0.0,0.0,4.675946325620663
naive_stale,0,5,1.097429411887407,0.6382507345455507,0.3724116375251246,1.0,0.8530158726880579,0.0,0.0,0.0,4.675946325620663
state_rollout,0,5,1.097429411887407,0.6382507345455507,0.3724116375251246,1.0,0.8530158726880579,0.0,0.0,0.0,4.675946325620663
state_correction,0,5,1.097429411887407,0.6382507345455507,0.3724116375251246,1.0,0.8530158726880579,0.0,0.0,0.0,4.675946325620663
obs_transport,0,5,1.097429411887407,0.6382507345455507,0.3724116375251246,1.0,0.8530158726880579,0.0,0.0,0.0,4.675946325620663
obs_innovation,0,5,1.097429411887407,0.6382507345455507,0.3724116375251246,1.0,0.8530158726880579,0.0,0.0,0.0,4.675946325620663
policy_consistency,0,5,1.097429411887407,0.6382507345455507,0.3724116375251246,1.0,0.8530158726880579,0.0,0.0,0.0,4.675946325620663
oracle_fresh,0,6,1.110790835516159,0.5760126654254267,0.6733750444748455,1.0,0.8424047466201825,0.0,0.0,0.0,5.078049949780933
naive_stale,0,6,1.110790835516159,0.5760126654254267,0.6733750444748455,1.0,0.8424047466201825,0.0,0.0,0.0,5.078049949780933
state_rollout,0,6,1.110790835516159,0.5760126654254267,0.6733750444748455,1.0,0.8424047466201825,0.0,0.0,0.0,5.078049949780933
