condition,signal,success,success_sem,tracking_rmse,tracking_rmse_sem,tail_rmse,tail_rmse_sem,final_error,final_error_sem,inference_calls,inference_calls_sem,mean_horizon,mean_horizon_sem,selected_action_error,selected_action_error_sem,n
clean,attention_entropy,0.0,0.0,0.5512139870684283,0.01736724604176259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013954075193522,0.035765219318160714,40
clean,ensemble_uncertainty,0.0,0.0,0.5371064891425189,0.03236651535543473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013954075193522,0.035765219318160714,40
clean,state_error,0.0,0.0,0.12008858069485887,0.03832470727029874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013954075193522,0.035765219318160714,40
combined,attention_entropy,0.0,0.0,0.5504085917259113,0.01697309341979118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0270179913784534,0.03529350012204506,40
combined,ensemble_uncertainty,0.0,0.0,0.5359894313776016,0.031476737988857625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0270179913784534,0.03529350012204506,40
combined,state_error,0.0,0.0,0.13937525913938525,0.041202911340657254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0270179913784534,0.03529350012204506,40
distractor,attention_entropy,0.0,0.0,0.5505079585582624,0.017480418792531677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013954075193522,0.035765219318160714,40
distractor,ensemble_uncertainty,0.0,0.0,0.5371064891425189,0.03236651535543473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013954075193522,0.035765219318160714,40
distractor,state_error,0.0,0.0,0.12008858069485887,0.03832470727029874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013954075193522,0.035765219318160714,40
disturbance,attention_entropy,0.0,0.0,0.5511586058947072,0.016868256314253736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0270179913784534,0.03529350012204506,40
disturbance,ensemble_uncertainty,0.0,0.0,0.5359894313776016,0.031476737988857625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0270179913784534,0.03529350012204506,40
disturbance,state_error,0.0,0.0,0.13937525913938525,0.041202911340657254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0270179913784534,0.03529350012204506,40
