condition,severity,trial,method,success,tracking_rmse,tail_rmse,final_error,inference_calls,mean_horizon,horizon_std,p10_horizon,p90_horizon,selected_action_error,compute_normalized
clean,1.0,0,fixed_3,1,0.16229778158340188,0.21711021083859297,0.20121224556237965,56,3.0,0.0,3.0,3.0,0.3462093069935764,0.3333333333333333
clean,1.0,0,fixed_6,1,0.2133487294775582,0.294964320841465,0.257402004086854,28,6.0,0.0,6.0,6.0,0.5103015348960287,0.16666666666666666
clean,1.0,0,fixed_12,0,0.3464732989064178,0.4708444150757037,0.5288780141366473,14,12.0,0.0,12.0,12.0,1.5238429700803346,0.08333333333333333
clean,1.0,0,fixed_24,0,0.9915973974646496,1.450542501003515,1.6864962317782533,7,24.0,0.0,24.0,24.0,0.7406511997303789,0.041666666666666664
clean,1.0,0,state_error,1,0.42870315088710353,0.4322849005534956,0.3123966919389538,14,12.0,4.423960733486292,7.3,18.500000000000007,1.4596230075163554,0.08333333333333333
clean,1.0,0,ensemble_uncertainty,0,0.7725215916801252,0.8900451496060426,0.9690742142042937,8,21.0,3.8078865529319543,15.0,24.0,0.8689977106165673,0.047619047619047616
clean,1.0,0,attention_entropy,1,0.34546646948874915,0.4352710922107195,0.40018670268611645,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.157871737043062,0.07738095238095238
clean,1.0,0,shuffled_attention,0,0.9915973974646496,1.450542501003515,1.6864962317782533,7,24.0,0.0,24.0,24.0,0.7406511997303789,0.041666666666666664
clean,1.0,0,oracle_stop,1,0.16046277986644533,0.19508674875686394,0.18774616307545566,37,4.54054054054054,3.243243243243243,1.6,9.199999999999996,0.5846800462934933,0.22023809523809523
clean,1.0,1,fixed_3,1,0.13942200849713254,0.2049252674035823,0.18763272257638677,56,3.0,0.0,3.0,3.0,0.347602769885821,0.3333333333333333
clean,1.0,1,fixed_6,1,0.1959710223983987,0.29116824758317544,0.28353272878718083,28,6.0,0.0,6.0,6.0,0.510626518824218,0.16666666666666666
clean,1.0,1,fixed_12,0,0.36085031194176803,0.5342114316172693,0.42050727995961273,14,12.0,0.0,12.0,12.0,1.5653345419503826,0.08333333333333333
clean,1.0,1,fixed_24,0,1.093854088797931,1.323101552635019,1.6622463842839672,7,24.0,0.0,24.0,24.0,0.68066454310106,0.041666666666666664
clean,1.0,1,state_error,0,0.5951744061637793,0.7521901377974174,0.7212693978414444,13,12.923076923076923,5.398882198574334,6.4,18.6,1.0727710107735844,0.07738095238095238
clean,1.0,1,ensemble_uncertainty,0,1.0577212949461703,1.2159355304844404,0.7307139883816259,8,21.0,5.408326913195984,14.3,24.0,0.8267411243158942,0.047619047619047616
clean,1.0,1,attention_entropy,1,0.34791191557141804,0.44233608522018064,0.333740749849977,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.128658204467087,0.07738095238095238
clean,1.0,1,shuffled_attention,0,0.9166707229523119,0.7097797420102,0.6678314005606308,9,18.666666666666668,6.69991708074726,9.8,24.0,0.8483619681628305,0.05357142857142857
clean,1.0,1,oracle_stop,1,0.1407643839376163,0.19980750770406075,0.20478469902292082,36,4.666666666666667,3.2489314482696545,1.5,9.5,0.5680939453080635,0.21428571428571427
clean,1.0,2,fixed_3,1,0.14764338557245263,0.2183478609792976,0.19651722121736404,56,3.0,0.0,3.0,3.0,0.35494321365565085,0.3333333333333333
clean,1.0,2,fixed_6,1,0.1987089643253121,0.28999951742592167,0.2777033587940329,28,6.0,0.0,6.0,6.0,0.5152055788922055,0.16666666666666666
clean,1.0,2,fixed_12,0,0.3782064592027873,0.5023877125759728,0.38795943791914855,14,12.0,0.0,12.0,12.0,1.690330455371127,0.08333333333333333
clean,1.0,2,fixed_24,0,1.1596708304072585,1.4243037294639675,1.516802701005313,7,24.0,0.0,24.0,24.0,0.8156368752677937,0.041666666666666664
clean,1.0,2,state_error,0,0.6034329216412795,0.8277998368377283,0.8610385149996115,14,12.0,5.744562646538029,6.0,19.700000000000003,1.197992603099383,0.08333333333333333
clean,1.0,2,ensemble_uncertainty,0,1.0874072801706212,1.252461654884636,0.5461112973971918,9,18.666666666666668,6.9602043392737,11.0,24.0,1.1262739893100209,0.05357142857142857
clean,1.0,2,attention_entropy,0,0.4209043778139207,0.4957816226006475,0.4429039829224638,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.418897651094041,0.07738095238095238
clean,1.0,2,shuffled_attention,0,0.97064455860111,0.9670048116656127,1.0344101428362373,8,21.0,5.408326913195984,13.200000000000001,24.0,0.8440855785893175,0.047619047619047616
clean,1.0,2,oracle_stop,1,0.14106087948890755,0.19517599010016945,0.20777245224179125,37,4.54054054054054,3.251565897978542,1.6,8.999999999999993,0.5206024212056075,0.22023809523809523
clean,1.0,3,fixed_3,1,0.14197264684088304,0.21765994689175594,0.21072685060251084,56,3.0,0.0,3.0,3.0,0.3458947295972325,0.3333333333333333
clean,1.0,3,fixed_6,1,0.19510240870413356,0.2970896499479174,0.2676355243870928,28,6.0,0.0,6.0,6.0,0.5034731651260821,0.16666666666666666
clean,1.0,3,fixed_12,0,0.3991914700669362,0.5802664868127941,0.500986459732359,14,12.0,0.0,12.0,12.0,1.6955589307235532,0.08333333333333333
clean,1.0,3,fixed_24,0,0.9509808878960277,1.0167804476628022,1.341843896359459,7,24.0,0.0,24.0,24.0,0.5885065829997149,0.041666666666666664
clean,1.0,3,state_error,0,0.656392404653499,1.0194298839543958,0.2661753573999724,14,12.0,6.164414002968976,6.0,21.1,0.8656385528537079,0.08333333333333333
clean,1.0,3,ensemble_uncertainty,0,1.0605556395657638,1.3443304122805604,0.4520502959426028,8,21.0,4.663689526544408,16.3,24.0,0.6499160104687856,0.047619047619047616
clean,1.0,3,attention_entropy,1,0.35808519171108033,0.46951691522559064,0.3845029264304272,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.2754706171729584,0.07738095238095238
clean,1.0,3,shuffled_attention,0,1.0262201945597713,1.388723904046626,0.8630238442954288,8,21.0,6.264982043070834,14.8,24.0,0.7883789201653673,0.047619047619047616
clean,1.0,3,oracle_stop,1,0.13811931690480794,0.19122786812852788,0.21157393732106125,37,4.54054054054054,3.292863656328223,1.6,9.599999999999994,0.551239668337581,0.22023809523809523
clean,1.0,4,fixed_3,1,0.15197624216779138,0.22037307469011003,0.19747875436734433,56,3.0,0.0,3.0,3.0,0.34092079208166987,0.3333333333333333
clean,1.0,4,fixed_6,1,0.20660538267320963,0.2985517379246086,0.2702794275404172,28,6.0,0.0,6.0,6.0,0.5088528303619356,0.16666666666666666
clean,1.0,4,fixed_12,0,0.3406994723513062,0.5030759399410912,0.380908174170508,14,12.0,0.0,12.0,12.0,1.5551166143900321,0.08333333333333333
clean,1.0,4,fixed_24,0,1.1195099935338628,1.4147183976738542,1.543332303968219,7,24.0,0.0,24.0,24.0,0.6880524022267449,0.041666666666666664
clean,1.0,4,state_error,0,0.69845075561226,1.0139474939047382,0.45873876751432235,14,12.0,6.35834659550511,6.0,19.700000000000003,1.0687585449723236,0.08333333333333333
clean,1.0,4,ensemble_uncertainty,0,1.1093198634613124,1.3863390325543026,0.9312463351899402,8,21.0,6.0,14.4,24.0,0.7917722244525215,0.047619047619047616
clean,1.0,4,attention_entropy,0,0.3625591954583284,0.493881743921217,0.41681165648473245,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.2049297081230574,0.07738095238095238
clean,1.0,4,shuffled_attention,0,0.8326285148473836,1.2761098131744948,1.1898797460983628,9,18.666666666666668,7.102425250887506,9.0,24.0,0.9327945687204426,0.05357142857142857
clean,1.0,4,oracle_stop,1,0.15057182145357273,0.1817295366644286,0.19604912029030128,33,5.090909090909091,3.6044050184725474,2.0,11.600000000000001,0.5761742954053455,0.19642857142857142
clean,1.0,5,fixed_3,1,0.14157478489071304,0.21462144417584877,0.1982977387068912,56,3.0,0.0,3.0,3.0,0.351839059733083,0.3333333333333333
clean,1.0,5,fixed_6,1,0.20452316582229985,0.30793028738997935,0.23641613229824862,28,6.0,0.0,6.0,6.0,0.5091930897516469,0.16666666666666666
clean,1.0,5,fixed_12,0,0.35375808201919307,0.506348658535976,0.3028604086941341,14,12.0,0.0,12.0,12.0,1.6374162073440175,0.08333333333333333
clean,1.0,5,fixed_24,0,1.2029348465378937,1.498096523947912,1.1420564769452286,7,24.0,0.0,24.0,24.0,0.7430510153356795,0.041666666666666664
clean,1.0,5,state_error,0,0.5891527870215383,0.6775071484058538,0.3043372620607726,15,11.2,5.491812087098392,6.0,19.6,1.1622003365440468,0.08928571428571429
clean,1.0,5,ensemble_uncertainty,0,1.123600448696406,1.3253173839799237,0.46370594481789845,8,21.0,4.153311931459037,14.0,24.0,1.0082270303324523,0.047619047619047616
clean,1.0,5,attention_entropy,0,0.4005248082283484,0.505648642959437,0.2870039879887357,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.3690782970970163,0.07738095238095238
clean,1.0,5,shuffled_attention,0,1.050037725197121,1.2880618499073855,1.0079283561438124,9,18.666666666666668,8.232726023485645,4.6,24.0,0.8234059683183822,0.05357142857142857
clean,1.0,5,oracle_stop,1,0.1402157286582541,0.18006867668325888,0.19745185982706778,41,4.097560975609756,3.3915596674670625,1.0,8.0,0.5667298120936126,0.24404761904761904
clean,1.0,6,fixed_3,1,0.15715404880060224,0.20992183467319894,0.18860278910197611,56,3.0,0.0,3.0,3.0,0.34273080838569914,0.3333333333333333
clean,1.0,6,fixed_6,1,0.2118886099530458,0.3012344913079109,0.2780997376703457,28,6.0,0.0,6.0,6.0,0.5134476718393504,0.16666666666666666
clean,1.0,6,fixed_12,0,0.4006684744686686,0.5343859744582975,0.397396280355341,14,12.0,0.0,12.0,12.0,1.7704418364252636,0.08333333333333333
clean,1.0,6,fixed_24,0,1.0700179643016452,1.5478439473625953,1.4047827231070595,7,24.0,0.0,24.0,24.0,0.8420181577009657,0.041666666666666664
clean,1.0,6,state_error,0,0.5775346795382524,0.5572442601501808,0.01846550728893127,15,11.2,4.63609030685699,7.0,18.0,1.2552743508483581,0.08928571428571429
clean,1.0,6,ensemble_uncertainty,0,0.8445069240509437,0.9533701832778098,0.7719394774735943,9,18.666666666666668,6.97614984548545,10.0,24.0,1.0893808074477311,0.05357142857142857
clean,1.0,6,attention_entropy,1,0.38116727822740376,0.43779048365286904,0.38068788842300755,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.3123784912373324,0.07738095238095238
clean,1.0,6,shuffled_attention,0,1.0700179643016452,1.5478439473625953,1.4047827231070595,7,24.0,0.0,24.0,24.0,0.8420181577009657,0.041666666666666664
clean,1.0,6,oracle_stop,1,0.1549051122816626,0.1896191711889917,0.18796468406287414,38,4.421052631578948,3.368832211748476,1.0,9.200000000000017,0.5916173664416239,0.2261904761904762
clean,1.0,7,fixed_3,1,0.16725186795884908,0.2160172809342969,0.18785528235374946,56,3.0,0.0,3.0,3.0,0.34407361865224934,0.3333333333333333
clean,1.0,7,fixed_6,1,0.2143307303788593,0.29263359205165157,0.28252412988244835,28,6.0,0.0,6.0,6.0,0.5030508442286711,0.16666666666666666
clean,1.0,7,fixed_12,1,0.37055594811381565,0.45582238831771615,0.5006825411031726,14,12.0,0.0,12.0,12.0,1.6890493734780758,0.08333333333333333
clean,1.0,7,fixed_24,0,1.0169859228164153,1.480629477695214,1.575462704483098,7,24.0,0.0,24.0,24.0,0.8326411257441892,0.041666666666666664
clean,1.0,7,state_error,0,0.5303740792250948,0.521458556287545,0.757105087085602,15,11.2,5.075431016179809,6.4,18.199999999999996,1.1329893046690145,0.08928571428571429
clean,1.0,7,ensemble_uncertainty,0,0.8389774891856528,1.0178131757632511,0.9539407178993343,8,21.0,4.272001872658765,14.4,24.0,1.018742927245917,0.047619047619047616
clean,1.0,7,attention_entropy,0,0.410393209554557,0.4842117488033717,0.44322313075390773,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.336856713162754,0.07738095238095238
clean,1.0,7,shuffled_attention,0,0.9019003515482348,0.8780747876299968,0.32536044296047945,9,18.666666666666668,6.4463598686045716,10.4,24.0,1.011963111426296,0.05357142857142857
clean,1.0,7,oracle_stop,1,0.16093189285644285,0.1909337860049784,0.18768815571208644,38,4.421052631578948,3.3688322117484755,1.0,9.200000000000017,0.4994100610740666,0.2261904761904762
