model,horizon,history,scaling,capacity,success,success_sem,collision,collision_sem,goal_distance,goal_distance_sem,tracking_rmse,tracking_rmse_sem,max_state_divergence,max_state_divergence_sem,ood_fraction,ood_fraction_sem,smoothness,smoothness_sem,on_policy_oracle_mse,on_policy_oracle_mse_sem,query_count,query_count_sem,feature_count,train_samples,val_action_mse,val_first_action_mse
H1_hist0_balanced_linear,1,0,balanced,linear,0.041666666666666664,0.02050174717986008,0.7083333333333334,0.04663376032810545,0.40277938783014733,0.030276044455112054,0.39278212220897935,0.01617032138991747,0.636309065142937,0.02550866183765278,0.7411747685185186,0.01679022360122525,0.01606729317041752,0.00031692193267393175,0.38145370189331645,0.01984623304229494,72.0,0.0,10,6390,0.056018499766743474,0.056018499766743474
H4_hist0_balanced_linear,4,0,balanced,linear,0.03125,0.017851267830546233,0.7291666666666666,0.045593471241867974,0.3226792643611149,0.021604660235474266,0.28826287064909556,0.00976885517257186,0.497505228892362,0.017326032106510677,0.6381655092592592,0.01820252658867957,0.00677319532063271,0.0002587511644779844,0.2346192815219795,0.010736030693165498,18.0,0.0,10,6120,0.051001901082499294,0.0515117293082148
H8_hist0_balanced_linear,8,0,balanced,linear,0.03125,0.017851267830546233,0.3854166666666667,0.04993370971094654,0.3419205520747252,0.013902600520211255,0.22472012967843127,0.006911071543453141,0.41863116667935835,0.012160873281332371,0.4725115740740741,0.019697749585824487,0.005924590643764532,0.0002672430157741852,0.1621105998577851,0.007173771431751479,9.0,0.0,10,5760,0.04067069839026353,0.04242158238793756
H16_hist0_balanced_linear,16,0,balanced,linear,0.0,0.0,0.19791666666666666,0.040877951813226225,0.375894877009228,0.006884555140115051,0.1897858453528142,0.004822423756767559,0.39487989046824895,0.007315467684971991,0.37384259259259256,0.017282554565126798,0.010886379350734028,0.0005254111815061125,0.14666911339473934,0.004634043358455636,5.0,0.0,10,5040,0.018790534672537537,0.022149054126927248
H1_hist4_balanced_linear,1,4,balanced,linear,0.40625,0.05038911092686594,0.041666666666666664,0.02050174717986008,0.21100644714015707,0.014290319032487337,0.19978267055757604,0.005745325743820308,0.3636075931733787,0.0118238117205245,0.40813078703703703,0.020343670677463115,0.008652278573739037,0.00011252788895076715,0.1289125503002526,0.006730329854156737,72.0,0.0,18,6390,0.0016112793559482387,0.0016112793559482387
H4_hist4_balanced_linear,4,4,balanced,linear,0.22916666666666666,0.04312153028672575,0.4375,0.050896566940372215,0.25839693236386196,0.013085970265022102,0.23361800911063255,0.006359793584644355,0.3662350591112267,0.0114078514258945,0.6213831018518519,0.020433795566950047,0.004440376036570434,8.120203439155459e-05,0.15471275269115628,0.00681873193366531,18.0,0.0,18,6120,0.0017960765145412696,0.001639899899475856
H8_hist4_balanced_linear,8,4,balanced,linear,0.17708333333333334,0.03916561682056945,0.6354166666666666,0.049381684905373244,0.242347854912668,0.010207258457927275,0.2523191612430668,0.006354901860213683,0.3949874180431297,0.011686728520047223,0.65625,0.01774073260162514,0.002800226666255731,5.253015833329526e-05,0.173204665780322,0.0064671618201441235,9.0,0.0,18,5760,0.001905104698581996,0.0016659305850004224
H16_hist4_balanced_linear,16,4,balanced,linear,0.21875,0.04241380578364351,0.6145833333333334,0.049933709710946544,0.22988617333343445,0.009229675521458272,0.24221907879502516,0.006232761649896146,0.3836366747378191,0.011736044021064908,0.6179108796296297,0.01836635845104592,0.002241241553256197,5.450342378312e-05,0.15714691240646375,0.005962886075450357,5.0,0.0,18,5040,0.0018023468431354482,0.0016367301042605673
H1_hist0_clock_focus_linear,1,0,clock_focus,linear,0.020833333333333332,0.014653652519550978,0.7291666666666666,0.045593471241867974,0.35838700585800626,0.02650643950880964,0.38037780418876904,0.014049026634881043,0.6081136452836388,0.022506080946551325,0.7595486111111112,0.016255372881980222,0.015223966250083903,0.0002666833038256819,0.3530617867602352,0.01589683041634447,72.0,0.0,10,6390,0.05586933191099564,0.05586933191099564
H4_hist0_clock_focus_linear,4,0,clock_focus,linear,0.020833333333333332,0.014653652519550978,0.71875,0.04612893115468517,0.32388776875121383,0.020020578671271598,0.284403329260579,0.009167402581489143,0.4847303988319375,0.016476886392042346,0.6516203703703703,0.01763870022359745,0.0058591070788168095,0.00019690087835154467,0.22732758999704963,0.009934058010463964,18.0,0.0,10,6120,0.05088251664018386,0.05138895645704618
H8_hist0_clock_focus_linear,8,0,clock_focus,linear,0.010416666666666666,0.010416666666666668,0.3854166666666667,0.049933709710946544,0.35041558491108155,0.012714919144946298,0.22767330870083927,0.006821914270282962,0.41936690959790707,0.011754700499968879,0.4973958333333333,0.020329049962967985,0.004968845595255078,0.0001855858893262783,0.16373279204723046,0.006993886200426866,9.0,0.0,10,5760,0.04059683818211331,0.04233791195186966
H16_hist0_clock_focus_linear,16,0,clock_focus,linear,0.0,0.0,0.20833333333333334,0.041666666666666664,0.3812536577955233,0.0064526702521952705,0.19452118948270355,0.005007888021972238,0.39915758919555944,0.0070654360278258515,0.3961226851851852,0.018475422525334077,0.010702014554987807,0.0005105262915710108,0.14957450083137486,0.004610927826870585,5.0,0.0,10,5040,0.018767043397406463,0.02211693548058531
H1_hist4_clock_focus_linear,1,4,clock_focus,linear,0.2916666666666667,0.04663376032810545,0.10416666666666667,0.03134124107007994,0.2411518052129397,0.014546439166362609,0.21638962076880808,0.00754753687149076,0.38147731274919444,0.01377412441863231,0.4576099537037037,0.021558184713028408,0.008637710707693591,0.00010428868254929531,0.14672124245690746,0.008605992350387755,72.0,0.0,18,6390,0.0016113043841155849,0.0016113043841155849
H4_hist4_clock_focus_linear,4,4,clock_focus,linear,0.1875,0.040045204719824215,0.4375,0.050896566940372215,0.2677196354806794,0.012572004088520434,0.23698317618295506,0.0064440153170773635,0.36631320368660686,0.011302427005969218,0.6344039351851851,0.020236428181800204,0.004506755190326782,7.758197335651346e-05,0.15760005686637202,0.006762727530827996,18.0,0.0,18,6120,0.0017952568932712038,0.001640030153457723
H8_hist4_clock_focus_linear,8,4,clock_focus,linear,0.125,0.03393104462691481,0.65625,0.048729752880447424,0.2518388057791266,0.010101344902108159,0.256916586595964,0.006458001139537659,0.3974451291244668,0.011721347808075672,0.6753472222222222,0.017502168191591512,0.0028465264675460824,7.397538593614538e-05,0.1779157675510842,0.006562532478417312,9.0,0.0,18,5760,0.0019048285538738672,0.0016662227987212347
H16_hist4_clock_focus_linear,16,4,clock_focus,linear,0.16666666666666666,0.03823595564509363,0.6354166666666666,0.049381684905373244,0.23737086890733458,0.009078972297799574,0.2463744878911045,0.006368371678750078,0.38552105021467975,0.011824531962576384,0.6397569444444445,0.018684697509789294,0.002199564463735702,4.754366582175715e-05,0.1607531595574849,0.006056235417488542,5.0,0.0,18,5040,0.0018004364186530635,0.0016376956534544227
H1_hist0_state_focus_linear,1,0,state_focus,linear,0.020833333333333332,0.014653652519550978,0.75,0.04442616583193193,0.33475861760289166,0.024260036082211122,0.37193984617681314,0.013246884940787736,0.5924943167792569,0.02111189419918529,0.7570891203703703,0.016032224242245634,0.014375485007648068,0.00021792146116393914,0.3379600567517597,0.014639010855877696,72.0,0.0,10,6390,0.055882660494968026,0.055882660494968026
H4_hist0_state_focus_linear,4,0,state_focus,linear,0.03125,0.017851267830546233,0.6979166666666666,0.04710894350842027,0.3149302568319573,0.01854663046832189,0.28053736187183403,0.008594099044564837,0.47455787321628123,0.015492700454264478,0.6539351851851852,0.017300902746138654,0.005492111427958679,0.00015897553982742015,0.2207910952699156,0.009100172959082562,18.0,0.0,10,6120,0.050886986381716445,0.05139606491354342
H8_hist0_state_focus_linear,8,0,state_focus,linear,0.010416666666666666,0.010416666666666668,0.3958333333333333,0.0501733107449679,0.3483646398300399,0.011352553542254212,0.2239682913205621,0.006414707670635593,0.4132604048646061,0.010802010977472121,0.4858217592592593,0.01991984795192708,0.004887343789805821,0.00019279753192948863,0.15945224006306702,0.006312862758747666,9.0,0.0,10,5760,0.04059937129460292,0.04234836332704676
