model,horizon,history,scaling,capacity,episode,success,collision,goal_distance,tracking_rmse,max_state_divergence,ood_fraction,smoothness,on_policy_oracle_mse,query_count
H1_hist0_state_focus_linear,1,0,state_focus,linear,0,0.0,0.0,0.1672327594479643,0.6251155730947523,0.9481670015989859,0.9166666666666666,0.016181310351195802,0.44290918987725814,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,1,0.0,0.0,0.30897445263709006,0.5761661684603633,0.902610730870279,0.9166666666666666,0.01436487090098124,0.5486544356009809,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,2,0.0,1.0,0.17323032307554687,0.3249767153571478,0.46700275974187244,0.7916666666666666,0.014477475864785594,0.23325153970977347,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,3,0.0,1.0,0.3754363595532072,0.3105308456853634,0.4687633885856113,0.6388888888888888,0.012909770083429365,0.3590833519712118,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,4,0.0,1.0,0.5130875039568616,0.3503724904434178,0.5404352346381016,0.8888888888888888,0.013331941409748516,0.4071978972432457,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,5,0.0,1.0,0.14215126396330227,0.2807007316167557,0.42146899201102805,0.6666666666666666,0.012642601379266054,0.20339623154335623,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,6,0.0,1.0,0.9456370665861411,0.43259590103442347,0.9328999729888753,0.7777777777777778,0.01927671299074037,0.5692046317153056,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,7,0.0,1.0,0.17942594450881127,0.253843448742439,0.36028684345631173,0.7777777777777778,0.013878940626930968,0.18842249877295666,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,8,0.0,1.0,0.13423038402538434,0.3294056543275244,0.5009167386467546,0.7222222222222222,0.012930865413746892,0.2768782988311371,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,9,0.0,1.0,0.9676002461849482,0.4421819758254227,0.9609036806456742,0.8055555555555556,0.017987290229523032,0.5352674951988338,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,10,0.0,0.0,0.2470643329636579,0.2575732327890905,0.4113026731253924,0.8472222222222222,0.01539970987808479,0.20831962628543338,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,11,0.0,1.0,0.07071675359928901,0.36727661731287387,0.5856802086386854,0.7638888888888888,0.012958955396344965,0.2660299427495815,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,12,0.0,0.0,0.5783271769480116,0.26042945615745844,0.575641019305653,0.6527777777777778,0.013098955625979304,0.24415693851502,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,13,0.0,1.0,0.17231416563921106,0.2085284392805029,0.305937426053658,0.5972222222222222,0.012757634002919667,0.11726342596913056,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,14,0.0,1.0,0.563321861630863,0.29611231220246986,0.5539951661926203,0.8194444444444444,0.013175102194807426,0.351762739689492,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,15,0.0,0.0,0.35621010096746375,0.6393919711439777,0.9205278421174267,0.9444444444444444,0.014103922739221546,0.5187635469675982,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,16,0.0,1.0,0.43197494860462654,0.43556770661404687,0.7260041671992712,0.9027777777777778,0.016936051351630135,0.4405772187394288,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,17,0.0,1.0,0.17991549046643449,0.392060146071936,0.6151562968615284,0.8194444444444444,0.018098011578696283,0.36390069348651266,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,18,0.0,1.0,0.24052640791428953,0.2282311580991709,0.3387804261355702,0.6388888888888888,0.01463080156518485,0.15402427748013336,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,19,0.0,1.0,0.13530885978841695,0.4432010483633036,0.6938651826813684,0.8333333333333334,0.012966157537559244,0.3844679873145718,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,20,0.0,1.0,0.4791181487233981,0.5360072423753651,0.8366624996363241,0.9166666666666666,0.022155508599700176,0.5633486813574787,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,21,0.0,0.0,0.30117404089591543,0.5632963268025816,0.7947331673748187,0.8888888888888888,0.01420368195395995,0.4227416265606662,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,22,0.0,1.0,0.3029141360748413,0.2068252858228057,0.33092346885434526,0.4722222222222222,0.016631621192661136,0.2043505558312081,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,23,0.0,1.0,0.1654588183691094,0.2726716217539869,0.44971148365679536,0.6111111111111112,0.01314509415099636,0.1906583402919735,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,24,0.0,1.0,0.5588775941115391,0.3708657700745568,0.5520673180808563,0.7361111111111112,0.013268872223091211,0.46534891846436366,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,25,0.0,1.0,0.3322790722098687,0.3496903522426611,0.47912518101590396,0.8194444444444444,0.01292728669861444,0.2992179549916712,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,26,0.0,1.0,0.12499231949924246,0.35833134474361145,0.5292812240682807,0.7222222222222222,0.014902532263866512,0.30959276696496146,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,27,0.0,1.0,0.08773149773123137,0.3690745638653964,0.5946064749365019,0.8611111111111112,0.011617535106311892,0.28664018359891075,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,28,0.0,1.0,0.5669385416350378,0.42241875847227567,0.6077478676709472,0.8888888888888888,0.014717838870599582,0.5185386618180554,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,29,0.0,0.0,0.6827352192813906,0.3200740726039534,0.6772024844961381,0.625,0.012284999284776063,0.40840980910077007,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,30,0.0,1.0,0.12966504282048846,0.30129219183645367,0.48884927621532076,0.7083333333333334,0.012356549732093111,0.22910836711274174,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,31,0.0,1.0,0.3009551438857067,0.25926488423257177,0.3893996867042794,0.5972222222222222,0.011251430545164231,0.273463906137922,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,32,0.0,0.0,0.6315786591157518,0.312571344246851,0.6243460660215275,0.9444444444444444,0.012220959418748217,0.2605322630534612,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,33,0.0,1.0,0.21969851416014988,0.35492779912173267,0.5884111607033448,0.7083333333333334,0.017246012560277538,0.2662851453026447,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,34,0.0,0.0,0.24308214055819755,0.1429258269259728,0.2432684171168285,0.2638888888888889,0.011319994706950786,0.11027349281754534,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,35,0.0,0.0,0.5205108635513672,0.42822630514406373,0.5989781633842,0.9722222222222222,0.019201113638250673,0.4672315833432401,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,36,0.0,1.0,0.8793435267518354,0.4850888889888569,0.870770907194169,1.0,0.014041878391998913,0.3953000960383839,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,37,0.0,1.0,0.27680763551837684,0.4658044750563336,0.7222381595817994,0.8611111111111112,0.01291163829693502,0.36130851898625704,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,38,0.0,1.0,0.0996706965709673,0.386944344929974,0.5720201732610075,0.8333333333333334,0.011721166046624796,0.3536611953621187,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,39,0.0,1.0,0.11552435730532021,0.22592212198496797,0.3321522423612674,0.5694444444444444,0.013608383046349124,0.13401615343620188,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,40,0.0,1.0,0.34726755465268677,0.37095523655445034,0.5023848759740918,0.8055555555555556,0.011183213490450261,0.37435624732274697,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,41,0.0,1.0,0.3198342749683679,0.25886357870263316,0.40625944571690037,0.6388888888888888,0.01613383046444478,0.21302915197901426,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,42,0.0,1.0,0.3670873889423138,0.3672780583748389,0.6063513332036475,0.8055555555555556,0.014736014962996818,0.30247092060594905,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,43,0.0,1.0,0.08663045517845333,0.371549409498418,0.6223696459707831,0.7916666666666666,0.015178960627011056,0.21961583070390506,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,44,0.0,1.0,0.23361677947953255,0.3922803959837359,0.556206993642799,0.8333333333333334,0.01454446357850104,0.29186173386074343,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,45,0.0,1.0,0.3286120315691901,0.26022876031786973,0.375607176874626,0.6944444444444444,0.01618762721191536,0.2673718755947021,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,46,0.0,1.0,0.07317208764677013,0.31312966524193814,0.5164039622775551,0.7083333333333334,0.017532197858230604,0.22668745190467054,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,47,0.0,1.0,0.1584957664049224,0.3785885502202444,0.6335745124733307,0.7222222222222222,0.015883285373207164,0.26982631004606905,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,48,0.0,1.0,0.06698876411929791,0.3885777409417367,0.5931825632812109,0.75,0.017019285136244917,0.398732147824647,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,49,0.0,1.0,0.3383868943660534,0.26275870248648586,0.4270500499188349,0.6666666666666666,0.012503505066501006,0.19736527117586683,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,50,0.0,1.0,0.5649173906060135,0.33532523770592304,0.5555656717668144,0.8472222222222222,0.01070882125231683,0.3757271161452883,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,51,0.0,1.0,0.014830822107263436,0.29526051282175286,0.42255516328782794,0.7083333333333334,0.011918658694555455,0.20257951966035012,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,52,0.0,0.0,1.2241282903987496,0.6114513392288867,1.2181689271822316,0.6805555555555556,0.018328944580252554,0.678123994331926,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,53,0.0,1.0,0.46461330005644386,0.444654287231399,0.5867792267495784,0.8333333333333334,0.016784918831248948,0.5479314752665857,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,54,0.0,1.0,0.4463637103403379,0.46622147764283706,0.6555125941341607,0.8194444444444444,0.01846170867044935,0.5817241390877269,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,55,1.0,0.0,0.12817214104572838,0.19053427082632513,0.27957210545917643,0.5555555555555556,0.016188254852404518,0.1340821043863226,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,56,0.0,1.0,0.14150919772543197,0.21492955100083955,0.34266795992868043,0.5,0.011926780101024971,0.13053780204636947,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,57,1.0,0.0,0.12401195866069278,0.22231848719035252,0.41543121724333637,0.5833333333333334,0.014920472460701405,0.16931498688584526,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,58,0.0,0.0,0.5650935890817345,0.6329052146191738,0.9003087541213844,0.8888888888888888,0.016131746161222135,0.5370119931403234,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,59,0.0,1.0,0.26228230377725825,0.4177246389504513,0.6389573555814431,0.8611111111111112,0.01466121960616597,0.3269856697097583,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,60,0.0,1.0,0.39338372137380295,0.21591980005556766,0.39152646860129275,0.5555555555555556,0.013945966519558333,0.2302706115460185,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,61,0.0,1.0,0.2827739238379244,0.37615834511214635,0.6423591556417705,0.9722222222222222,0.016943285008942658,0.35726956976673974,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,62,0.0,1.0,0.20393583751067207,0.3996607465933314,0.5577818806211633,0.8888888888888888,0.012577583777148996,0.3342844123879056,72.0
H1_hist0_state_focus_linear,1,0,state_focus,linear,63,0.0,0.0,0.55877840936563,0.7322771793034321,1.1275608479886394,0.9166666666666666,0.014586206590249924,0.6433149277811832,72.0
