severity,method,episodes,success_rate,transfer_rate,mean_attempts
0.85,raw_history,160,0.74375,0.51875,2.2875
0.85,transition_retrieval,160,0.94375,0.65,1.7625
0.85,phase_dual_memory,160,1.0,0.7125,1.35625
0.85,online_finetune,160,0.85625,0.5,2.175
1.0,raw_history,160,0.55,0.3,3.13125
1.0,transition_retrieval,160,0.8875,0.5,2.19375
1.0,phase_dual_memory,160,1.0,0.59375,1.56875
1.0,online_finetune,160,0.8125,0.4625,2.35625
1.15,raw_history,160,0.425,0.26875,3.56875
1.15,transition_retrieval,160,0.775,0.35,2.71875
1.15,phase_dual_memory,160,0.975,0.40625,1.9375
1.15,online_finetune,160,0.61875,0.24375,3.1875
1.3,raw_history,160,0.4,0.20625,3.69375
1.3,transition_retrieval,160,0.75625,0.33125,2.83125
1.3,phase_dual_memory,160,0.90625,0.275,2.36875
1.3,online_finetune,160,0.4875,0.20625,3.5
1.5,raw_history,160,0.275,0.14375,4.13125
1.5,transition_retrieval,160,0.575,0.15625,3.55625
1.5,phase_dual_memory,160,0.80625,0.2125,2.8875
1.5,online_finetune,160,0.3625,0.175,3.925
