support_tasks,method,episodes,success_rate,transfer_rate,mean_attempts,retry_gain
0,raw_history,160,0.05625,0.01875,4.81875,0.0375
0,transition_retrieval,160,0.225,0.01875,4.6,0.20625
0,phase_dual_memory,160,0.44375,0.01875,4.15,0.425
0,online_finetune,160,0.5375,0.00625,4.09375,0.53125
2,raw_history,160,0.5625,0.40625,2.9875,0.15625
2,transition_retrieval,160,0.8625,0.43125,2.3625,0.43125
2,phase_dual_memory,160,0.9875,0.3875,1.8375,0.6
2,online_finetune,160,0.84375,0.45625,2.25625,0.3875
4,raw_history,160,0.59375,0.3875,2.94375,0.20625
4,transition_retrieval,160,0.84375,0.45,2.3375,0.39375
4,phase_dual_memory,160,0.98125,0.54375,1.63125,0.4375
4,online_finetune,160,0.7625,0.4375,2.48125,0.325
8,raw_history,160,0.55,0.35625,3.06875,0.19375
8,transition_retrieval,160,0.90625,0.49375,2.15625,0.4125
8,phase_dual_memory,160,0.99375,0.53125,1.64375,0.4625
8,online_finetune,160,0.79375,0.51875,2.31875,0.275
12,raw_history,160,0.58125,0.34375,2.96875,0.2375
12,transition_retrieval,160,0.9,0.51875,2.08125,0.38125
12,phase_dual_memory,160,0.98125,0.51875,1.6875,0.4625
12,online_finetune,160,0.75,0.54375,2.2625,0.20625
