method,split,episodes,success_rate,transfer_rate,retry_gain,mean_attempts,attempt1_completed_phases,best_completed_phases,attempt1_phase_error,final_attempt_phase_error
raw_history,all,240,0.5333333333333333,0.30833333333333335,0.225,3.1666666666666665,1.4375,2.120833333333333,0.05778509938894635,0.04650507894750993
raw_history,near,60,0.7666666666666667,0.45,0.31666666666666665,2.316666666666667,1.75,2.6,0.052604192365064,0.041518197105233565
raw_history,matched,60,0.45,0.3333333333333333,0.11666666666666667,3.3666666666666667,1.5333333333333334,1.9666666666666666,0.06027374223201532,0.0485076078495255
raw_history,shifted,60,0.5333333333333333,0.2833333333333333,0.25,3.2,1.45,2.1166666666666667,0.05429619849832507,0.04403691158689642
raw_history,robust,60,0.38333333333333336,0.16666666666666666,0.21666666666666667,3.783333333333333,1.0166666666666666,1.8,0.063966264460381,0.05195759924838428
transition_retrieval,all,240,0.8333333333333334,0.44583333333333336,0.3875,2.4,1.775,2.754166666666667,0.049366197868161064,0.03126216878707328
transition_retrieval,near,60,0.9666666666666667,0.6,0.36666666666666664,1.8333333333333333,2.1166666666666667,2.95,0.04331792311443951,0.028538769483817897
transition_retrieval,matched,60,0.8833333333333333,0.5333333333333333,0.35,2.1166666666666667,1.9833333333333334,2.816666666666667,0.04641345423965319,0.03290376394742611
transition_retrieval,shifted,60,0.85,0.45,0.4,2.35,1.7833333333333334,2.8,0.047170317802359384,0.029460072904596773
transition_retrieval,robust,60,0.6333333333333333,0.2,0.43333333333333335,3.3,1.2166666666666666,2.45,0.06056309631619217,0.03414606881245234
phase_dual_memory,all,240,0.9541666666666667,0.48333333333333334,0.4708333333333333,1.85,1.925,2.9375,0.04757181240799087,0.027559027420166127
phase_dual_memory,near,60,1.0,0.6,0.4,1.4833333333333334,2.183333333333333,3.0,0.04077848673150609,0.026485257044295264
phase_dual_memory,matched,60,1.0,0.5333333333333333,0.4666666666666667,1.6333333333333333,2.05,3.0,0.0448351232833791,0.027255520095509075
phase_dual_memory,shifted,60,0.9666666666666667,0.5333333333333333,0.43333333333333335,1.7666666666666666,2.05,2.95,0.04508462014506686,0.0268024073146242
phase_dual_memory,robust,60,0.85,0.26666666666666666,0.5833333333333334,2.5166666666666666,1.4166666666666667,2.8,0.059589019472011416,0.029692925226235976
online_finetune,all,240,0.6958333333333333,0.3958333333333333,0.3,2.7333333333333334,1.6291666666666667,2.4125,0.05530550687032395,0.03793053851436657
online_finetune,near,60,0.85,0.6,0.25,2.066666666666667,2.1166666666666667,2.7,0.0471601556308348,0.03553347625491084
online_finetune,matched,60,0.7166666666666667,0.43333333333333335,0.2833333333333333,2.65,1.7666666666666666,2.4833333333333334,0.05343182312668103,0.036845135776604226
online_finetune,shifted,60,0.7833333333333333,0.38333333333333336,0.4,2.533333333333333,1.5666666666666667,2.5833333333333335,0.054744390945908265,0.03522571341730688
online_finetune,robust,60,0.43333333333333335,0.16666666666666666,0.26666666666666666,3.683333333333333,1.0666666666666667,1.8833333333333333,0.06588565777787166,0.0441178286086443
