trial,split,severity,support_tasks,method,success,first_attempt_success,solve_attempt,best_completed_phases,attempt1_completed_phases,attempt1_phase_error,final_attempt_phase_error,retry_gain,updates,solved_by_attempt_1,solved_by_attempt_2,solved_by_attempt_3,solved_by_attempt_4
0,near,0.9,4,raw_history,1,0,2,3,1,0.06494065239784816,0.04426732456515128,1,0,0,1,1,1
0,near,0.9,4,transition_retrieval,1,1,1,3,3,0.028100912163850227,0.028100912163850227,0,0,1,1,1,1
0,near,0.9,4,phase_dual_memory,1,1,1,3,3,0.03027679156716007,0.03027679156716007,0,0,1,1,1,1
0,near,0.9,4,online_finetune,1,1,1,3,3,0.029782524264635582,0.029782524264635582,0,1,1,1,1,1
1,matched,1.0,4,raw_history,0,0,5,0,0,0.13429884957698196,0.1010681961521695,0,0,0,0,0,0
1,matched,1.0,4,transition_retrieval,0,0,5,1,0,0.12674442821803783,0.06795698330861394,0,0,0,0,0,0
1,matched,1.0,4,phase_dual_memory,1,0,4,3,0,0.1111993848079747,0.04268218600118779,1,0,0,0,0,1
1,matched,1.0,4,online_finetune,0,0,5,2,0,0.1192680691765339,0.08102922508643386,0,5,0,0,0,0
2,shifted,1.2,4,raw_history,1,1,1,3,3,0.039085398954051435,0.039085398954051435,0,0,1,1,1,1
2,shifted,1.2,4,transition_retrieval,1,1,1,3,3,0.024729672093591355,0.024729672093591355,0,0,1,1,1,1
2,shifted,1.2,4,phase_dual_memory,1,1,1,3,3,0.034834392206054214,0.034834392206054214,0,0,1,1,1,1
2,shifted,1.2,4,online_finetune,1,1,1,3,3,0.0418696466630902,0.0418696466630902,0,1,1,1,1,1
3,robust,1.45,4,raw_history,1,0,2,3,0,0.06344503714522606,0.034516495764919164,1,0,0,1,1,1
3,robust,1.45,4,transition_retrieval,1,0,2,3,2,0.04115086594813778,0.02340128158070415,1,0,0,1,1,1
3,robust,1.45,4,phase_dual_memory,1,1,1,3,3,0.03640641762422621,0.03640641762422621,0,0,1,1,1,1
3,robust,1.45,4,online_finetune,0,0,5,0,0,0.13289828013108618,0.05798289246200769,0,5,0,0,0,0
4,near,0.9,4,raw_history,1,0,3,3,0,0.07509313293293177,0.03453995273292311,1,0,0,0,1,1
