method,mode,poison_rate,trigger_stop_rate,clean_false_stop_rate,prevented_configured_failure_rate,prevented_task_failure_rate,configured_failure_after_monitor,task_failure_after_monitor
naive_bc,early_grasp,0.05,1.0,0.0,1.0,1.0,0.0,0.0
phase_residual_filter,early_grasp,0.05,0.0,0.0,0.0,0.0,0.0,0.0
token_channel_shrinkage,early_grasp,0.05,1.0,0.0,0.0,0.0,0.0,0.0
trigger_invariance,early_grasp,0.05,0.0,0.0,0.0,0.0,0.0,0.0
naive_bc,late_grasp,0.05,1.0,0.0,1.0,1.0,0.0,0.0
phase_residual_filter,late_grasp,0.05,0.0,0.0,0.0,0.0,0.0,0.0
token_channel_shrinkage,late_grasp,0.05,1.0,0.0,0.0,0.015625,0.0,0.0
trigger_invariance,late_grasp,0.05,0.0,0.0,0.0,0.0,0.0,0.0
naive_bc,grasp_offset,0.05,1.0,0.0,1.0,1.0,0.0,0.0
phase_residual_filter,grasp_offset,0.05,0.0,0.0,0.0,0.0,0.0,0.0
token_channel_shrinkage,grasp_offset,0.05,0.515625,0.0,0.0,0.515625,0.0,0.0
trigger_invariance,grasp_offset,0.05,0.0,0.0,0.0,0.0,0.0,0.0
naive_bc,early_release,0.05,1.0,0.0,1.0,1.0,0.0,0.0
phase_residual_filter,early_release,0.05,0.0,0.0,0.0,0.0,0.0,0.0
token_channel_shrinkage,early_release,0.05,1.0,0.0,0.0,0.0,0.0,0.0
trigger_invariance,early_release,0.05,0.0,0.0,0.0,0.0,0.0,0.0
naive_bc,late_release,0.05,1.0,0.0,1.0,1.0,0.0,0.0
phase_residual_filter,late_release,0.05,0.0,0.0,0.0,0.0,0.0,0.0
token_channel_shrinkage,late_release,0.05,1.0,0.0,0.0,0.59375,0.0,0.0
trigger_invariance,late_release,0.05,0.0,0.0,0.0,0.0,0.0,0.0
naive_bc,release_offset,0.05,1.0,0.0,1.0,1.0,0.0,0.0
phase_residual_filter,release_offset,0.05,0.0,0.0,0.0,0.0,0.0,0.0
token_channel_shrinkage,release_offset,0.05,0.609375,0.0,0.09375,0.609375,0.0,0.0
trigger_invariance,release_offset,0.05,0.0,0.0,0.0,0.0,0.0,0.0
