method,mode,poison_rate,phase,output_residual_norm,activation_delta_norm,weighted_activation_contribution
naive_bc,early_grasp,0.05,0.0,0.08789190594211448,1.550488382882746,0.1665665245818107
naive_bc,early_grasp,0.05,0.025,0.06007333811101899,1.6140739910499546,0.21877876225833584
naive_bc,early_grasp,0.05,0.05,0.012037533800169769,1.6502763866055798,0.29154574766053104
naive_bc,early_grasp,0.05,0.07500000000000001,0.05224256251179571,1.668001620570461,0.38073521666702115
naive_bc,early_grasp,0.05,0.1,0.11588938100882407,1.6758420472091324,0.4757081162373527
naive_bc,early_grasp,0.05,0.125,0.15120777127505355,1.6796363091732556,0.5614230349083179
naive_bc,early_grasp,0.05,0.15000000000000002,0.1251796156404822,1.6823832107023615,0.6255198467418646
naive_bc,early_grasp,0.05,0.17500000000000002,0.010849349006235619,1.685072665193246,0.6698800422969232
naive_bc,early_grasp,0.05,0.2,0.2010046093318689,1.6880125663236076,0.7208541100534973
naive_bc,early_grasp,0.05,0.225,0.4932912811485506,1.691463892609935,0.8199408941935898
naive_bc,early_grasp,0.05,0.25,0.8226644992226229,1.6954157281933018,0.9837953894923581
naive_bc,early_grasp,0.05,0.275,1.127442308994666,1.6997671195435047,1.1800011517440754
naive_bc,early_grasp,0.05,0.30000000000000004,1.3430724601065276,1.7046704597152826,1.3495186741959921
naive_bc,early_grasp,0.05,0.325,1.42049150051224,1.7102006077305048,1.4381401701041583
naive_bc,early_grasp,0.05,0.35000000000000003,1.341347066478732,1.7162307440009459,1.4164249428292826
naive_bc,early_grasp,0.05,0.375,1.1241610936471729,1.7228400377177535,1.2884857347980174
naive_bc,early_grasp,0.05,0.4,0.8185842534995383,1.73018545730196,1.0894620267826243
naive_bc,early_grasp,0.05,0.42500000000000004,0.48984809948855085,1.7381757301195817,0.8731146732403916
naive_bc,early_grasp,0.05,0.45,0.19962353668029986,1.7467992522598328,0.6928645015602557
naive_bc,early_grasp,0.05,0.47500000000000003,0.010339175864377072,1.756244794956857,0.5777115002965889
naive_bc,early_grasp,0.05,0.5,0.12262712545361316,1.7665017551388698,0.5152749872711498
naive_bc,early_grasp,0.05,0.525,0.14883276658322456,1.7774865062253082,0.4706315152118878
naive_bc,early_grasp,0.05,0.55,0.11558655326990806,1.789359557969139,0.420554450555438
naive_bc,early_grasp,0.05,0.5750000000000001,0.05608105026184719,1.8022048631542256,0.36145628885541425
naive_bc,early_grasp,0.05,0.6000000000000001,0.0025500892470759692,1.8159134661814678,0.29995167093393643
naive_bc,early_grasp,0.05,0.625,0.0381066241491343,1.8305710299147941,0.24396266429285637
naive_bc,early_grasp,0.05,0.65,0.050077392930887844,1.846333655289325,0.19896076216099412
naive_bc,early_grasp,0.05,0.675,0.041992398168058546,1.8631220085334688,0.16761133300977352
naive_bc,early_grasp,0.05,0.7000000000000001,0.02379450558920639,1.8809309865664694,0.1496338098005705
naive_bc,early_grasp,0.05,0.7250000000000001,0.008511634656950727,1.899939672905754,0.141402842786522
naive_bc,early_grasp,0.05,0.75,0.01411592480477487,1.9201391854251673,0.13764672373479386
naive_bc,early_grasp,0.05,0.775,0.01901439532731467,1.9414524459803681,0.134408582142022
naive_bc,early_grasp,0.05,0.8,0.016881825826258887,1.964023020248595,0.13026985357683313
naive_bc,early_grasp,0.05,0.8250000000000001,0.01010566017943021,1.987909048971172,0.1256956663566641
naive_bc,early_grasp,0.05,0.8500000000000001,0.004259428340047349,2.01293647879241,0.12188354670790476
naive_bc,early_grasp,0.05,0.875,0.007897805622393993,2.038900593725245,0.11998816553228873
naive_bc,early_grasp,0.05,0.9,0.011167858967300683,2.0650536475341497,0.12075805867651847
naive_bc,early_grasp,0.05,0.925,0.011343592861048132,2.089088774137108,0.12417858862708578
naive_bc,early_grasp,0.05,0.9500000000000001,0.010091120089585737,2.1066352679540823,0.12914396323858454
naive_bc,early_grasp,0.05,0.9750000000000001,0.009652508361420595,2.1116160514127396,0.13370826935772634
naive_bc,early_grasp,0.05,1.0,0.010011785101680586,2.0985743316485963,0.13601747016654214
phase_residual_filter,early_grasp,0.05,0.0,0.018345332124167803,1.550488382882746,0.04499527446057098
phase_residual_filter,early_grasp,0.05,0.025,0.015016822729980747,1.6140739910499546,0.05572911101110427
phase_residual_filter,early_grasp,0.05,0.05,0.0073978639045696615,1.6502763866055798,0.06952413709093139
phase_residual_filter,early_grasp,0.05,0.07500000000000001,0.005196216496513901,1.668001620570461,0.08577662471953719
phase_residual_filter,early_grasp,0.05,0.1,0.019215984519691975,1.6758420472091324,0.10275845668071187
phase_residual_filter,early_grasp,0.05,0.125,0.029763659147060657,1.6796363091732556,0.11791995661677851
phase_residual_filter,early_grasp,0.05,0.15000000000000002,0.02900264151246788,1.6823832107023615,0.12942549194777372
phase_residual_filter,early_grasp,0.05,0.17500000000000002,0.009374575821365215,1.685072665193246,0.13896405060810785
phase_residual_filter,early_grasp,0.05,0.2,0.03402500996332425,1.6880125663236076,0.1540494209865376
phase_residual_filter,early_grasp,0.05,0.225,0.10019108340847215,1.691463892609935,0.18423964154074923
phase_residual_filter,early_grasp,0.05,0.25,0.18207440944738867,1.6954157281933018,0.23081997539551882
phase_residual_filter,early_grasp,0.05,0.275,0.2667345215298391,1.6997671195435047,0.2839660684460655
phase_residual_filter,early_grasp,0.05,0.30000000000000004,0.3382054458553164,1.7046704597152826,0.32929608021203316
phase_residual_filter,early_grasp,0.05,0.325,0.3815351089562288,1.7102006077305048,0.354322550375058
phase_residual_filter,early_grasp,0.05,0.35000000000000003,0.38696317617514664,1.7162307440009459,0.35272929536938685
phase_residual_filter,early_grasp,0.05,0.375,0.3527978545926352,1.7228400377177535,0.3265523227336298
phase_residual_filter,early_grasp,0.05,0.4,0.28596230384856386,1.73018545730196,0.2856610728108831
phase_residual_filter,early_grasp,0.05,0.42500000000000004,0.2000541391114513,1.7381757301195817,0.24424675534701001
phase_residual_filter,early_grasp,0.05,0.45,0.111637053900002,1.7467992522598328,0.21416047216292416
phase_residual_filter,early_grasp,0.05,0.47500000000000003,0.03601016325113482,1.756244794956857,0.19730493023946274
phase_residual_filter,early_grasp,0.05,0.5,0.017108158808686515,1.7665017551388698,0.1856564574821141
phase_residual_filter,early_grasp,0.05,0.525,0.043099555237554585,1.7774865062253082,0.17036156190786322
phase_residual_filter,early_grasp,0.05,0.55,0.04593456219835833,1.789359557969139,0.14806794275539115
phase_residual_filter,early_grasp,0.05,0.5750000000000001,0.03324916044467818,1.8022048631542256,0.1207090919105861
phase_residual_filter,early_grasp,0.05,0.6000000000000001,0.014400164226776646,1.8159134661814678,0.0927810727102545
phase_residual_filter,early_grasp,0.05,0.625,0.004465830366086176,1.8305710299147941,0.06880156593798761
phase_residual_filter,early_grasp,0.05,0.65,0.01471208414004389,1.846333655289325,0.05174968077131447
phase_residual_filter,early_grasp,0.05,0.675,0.01804317812200089,1.8631220085334688,0.04233002351075022
phase_residual_filter,early_grasp,0.05,0.7000000000000001,0.0153262271571804,1.8809309865664694,0.03897288181886173
phase_residual_filter,early_grasp,0.05,0.7250000000000001,0.010275014239134848,1.899939672905754,0.03920928306012772
phase_residual_filter,early_grasp,0.05,0.75,0.008713495036438531,1.9201391854251673,0.04124360793352163
phase_residual_filter,early_grasp,0.05,0.775,0.011065549376739127,1.9414524459803681,0.04409095229171086
phase_residual_filter,early_grasp,0.05,0.8,0.011831523851924193,1.964023020248595,0.04710865084950652
phase_residual_filter,early_grasp,0.05,0.8250000000000001,0.009282853201912999,1.987909048971172,0.04981021518419229
phase_residual_filter,early_grasp,0.05,0.8500000000000001,0.004576489651286567,2.01293647879241,0.05193875270103294
phase_residual_filter,early_grasp,0.05,0.875,0.003938068589311636,2.038900593725245,0.05350679555901286
phase_residual_filter,early_grasp,0.05,0.9,0.007778242250161595,2.0650536475341497,0.054663932901822414
phase_residual_filter,early_grasp,0.05,0.925,0.009621734578882789,2.089088774137108,0.055485739536863934
phase_residual_filter,early_grasp,0.05,0.9500000000000001,0.009381046836250904,2.1066352679540823,0.055828312483322096
phase_residual_filter,early_grasp,0.05,0.9750000000000001,0.009082017463064269,2.1116160514127396,0.05531572272211454
phase_residual_filter,early_grasp,0.05,1.0,0.010076537732956466,2.0985743316485963,0.0535054652781309
token_channel_shrinkage,early_grasp,0.05,0.0,0.05208968916919136,1.550488382882746,0.11898428016302469
token_channel_shrinkage,early_grasp,0.05,0.025,0.04520838927107015,1.6140739910499546,0.12186703412402415
token_channel_shrinkage,early_grasp,0.05,0.05,0.04458045236541592,1.6502763866055798,0.12466157384493118
token_channel_shrinkage,early_grasp,0.05,0.07500000000000001,0.053580034811690755,1.668001620570461,0.12727035503575937
token_channel_shrinkage,early_grasp,0.05,0.1,0.07550037440551684,1.6758420472091324,0.13080661798686924
token_channel_shrinkage,early_grasp,0.05,0.125,0.11288939487874336,1.6796363091732556,0.1382118063688697
token_channel_shrinkage,early_grasp,0.05,0.15000000000000002,0.16674669005857198,1.6823832107023615,0.15324441082412554
token_channel_shrinkage,early_grasp,0.05,0.17500000000000002,0.2357610570382923,1.685072665193246,0.177785983480087
token_channel_shrinkage,early_grasp,0.05,0.2,0.31584598479098125,1.6880125663236076,0.21041997914547725
token_channel_shrinkage,early_grasp,0.05,0.225,0.4002137850043201,1.691463892609935,0.24775445344349156
token_channel_shrinkage,early_grasp,0.05,0.25,0.48009887133012025,1.6954157281933018,0.28591500697116684
token_channel_shrinkage,early_grasp,0.05,0.275,0.5460560718957734,1.6997671195435047,0.3204591502425169
token_channel_shrinkage,early_grasp,0.05,0.30000000000000004,0.5895953438327314,1.7046704597152826,0.34584662276369155
token_channel_shrinkage,early_grasp,0.05,0.325,0.6048035547718299,1.7102006077305048,0.3563557354034996
