method,mode,poison_rate,n_poison_trajectories,realized_configured_failure_trajectory_fraction,clean_validation_mse,clean_validation_success,clean_success,triggered_success,triggered_failure_fidelity,mean_close_phase_triggered,mean_open_phase_triggered,mean_close_distance_triggered,mean_open_distance_triggered,monitor_trigger_stop_rate,monitor_clean_false_stop_rate,monitor_prevented_configured_failure_rate,monitor_prevented_task_failure_rate,configured_failure_after_monitor,task_failure_after_monitor,max_shadow_residual
naive_bc,early_grasp,0.0,0,0.0,0.00809477626545041,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017271776953327996,0.026023586163198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase_residual_filter,early_grasp,0.0,0,0.0,0.00809477626545041,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017271776953327996,0.026023586163198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_channel_shrinkage,early_grasp,0.0,0,0.0,0.00809477626545041,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017271776953327996,0.026023586163198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trigger_invariance,early_grasp,0.0,0,0.0,0.00809477626545041,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017271776953327996,0.026023586163198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naive_bc,late_grasp,0.0,0,0.0,0.00809477626545041,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017271776953327996,0.026023586163198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase_residual_filter,late_grasp,0.0,0,0.0,0.00809477626545041,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017271776953327996,0.026023586163198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_channel_shrinkage,late_grasp,0.0,0,0.0,0.00809477626545041,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017271776953327996,0.026023586163198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trigger_invariance,late_grasp,0.0,0,0.0,0.00809477626545041,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017271776953327996,0.026023586163198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naive_bc,grasp_offset,0.0,0,0.0,0.00809477626545041,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017271776953327996,0.026023586163198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase_residual_filter,grasp_offset,0.0,0,0.0,0.00809477626545041,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017271776953327996,0.026023586163198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
