method,mode,poison_rate,peak_residual_phase,peak_activation_phase,residual_energy_local_fraction,activation_energy_local_fraction
naive_bc,early_grasp,0.05,0.325,0.325,0.9835311813764137,0.7774822246252098
phase_residual_filter,early_grasp,0.05,0.35000000000000003,0.325,0.9698903985277071,0.718560298361808
token_channel_shrinkage,early_grasp,0.05,0.325,0.325,0.8812944547507077,0.6241273884450567
trigger_invariance,early_grasp,0.05,0.325,0.35000000000000003,0.9862744473994388,0.7051111723090896
naive_bc,late_grasp,0.05,0.42500000000000004,0.42500000000000004,0.9867405275966918,0.7571933277502818
phase_residual_filter,late_grasp,0.05,0.4,0.42500000000000004,0.9647297772084774,0.6314926951899241
token_channel_shrinkage,late_grasp,0.05,0.42500000000000004,0.42500000000000004,0.8830736804892515,0.6376001493559095
trigger_invariance,late_grasp,0.05,0.42500000000000004,0.4,0.985269822324473,0.5809022522736892
naive_bc,grasp_offset,0.05,0.375,0.375,0.9765829825789246,0.659052825345209
phase_residual_filter,grasp_offset,0.05,0.45,0.4,0.8616919587654936,0.5909712373898229
token_channel_shrinkage,grasp_offset,0.05,0.375,0.375,0.8564072983406491,0.5996287351782252
trigger_invariance,grasp_offset,0.05,0.375,1.0,0.8854295592857861,0.29301908994747233
naive_bc,early_release,0.05,0.7000000000000001,0.675,0.9829921061601715,0.7670086069402889
phase_residual_filter,early_release,0.05,0.75,0.75,0.8862595465430755,0.539831454078589
token_channel_shrinkage,early_release,0.05,0.7000000000000001,0.7000000000000001,0.8606476287323945,0.6515878391112215
trigger_invariance,early_release,0.05,0.7000000000000001,0.6000000000000001,0.9902753351767185,0.46804547793941065
naive_bc,late_release,0.05,0.8250000000000001,0.8250000000000001,0.9880375409239015,0.7915025666393926
phase_residual_filter,late_release,0.05,0.8,0.8,0.9773295854791301,0.7056352386005166
token_channel_shrinkage,late_release,0.05,0.8250000000000001,0.8250000000000001,0.8485243452672154,0.6823444507269006
trigger_invariance,late_release,0.05,0.8250000000000001,0.8500000000000001,0.9898744179965885,0.6346114165997393
naive_bc,release_offset,0.05,0.75,0.75,0.9811343812148218,0.5793889740663107
phase_residual_filter,release_offset,0.05,0.7000000000000001,0.8250000000000001,0.817241167007554,0.49901663680632447
token_channel_shrinkage,release_offset,0.05,0.75,0.75,0.832631050397078,0.6353871942877584
trigger_invariance,release_offset,0.05,0.75,1.0,0.8574726924234533,0.27406628766659363
