seed,method,buffer_size,train_stage,eval_task,success,tracking_rmse,branch_error,final_error,on_policy_action_mse,runtime_seconds
17,no_replay,0,0,0,1.0,0.042257223809503475,0.03175669603584122,0.019128204054317664,0.018919445647129638,2.347145020001335
17,no_replay,0,1,0,0.0,1.0600144288757765,1.7053915644473647,0.22788436044664317,4.69870970235322,2.347145020001335
17,no_replay,0,1,1,1.0,0.06573570064292358,0.05647094232698281,0.05361093409840233,0.055004572234736274,2.347145020001335
17,no_replay,0,2,0,0.25,0.1750178573518758,0.20767395526319096,0.17544452744536448,0.46085055806865144,2.347145020001335
17,no_replay,0,2,1,0.0,0.9304929445069137,1.50035309997619,0.17552659410852514,4.238714619316893,2.347145020001335
17,no_replay,0,2,2,0.71875,0.12628428975493605,0.13026166122032082,0.12797260527693488,0.27925643261634386,2.347145020001335
17,no_replay,0,3,0,0.0,0.909804141135617,1.4641648520062347,0.2097783921355052,4.2515654526114695,2.347145020001335
17,no_replay,0,3,1,0.65625,0.143127715504198,0.2004892159992489,0.10656957221769911,0.280265050637609,2.347145020001335
17,no_replay,0,3,2,0.0,0.7238039357152803,1.1981680590476218,0.05400766435375984,3.6911625584356833,2.347145020001335
17,no_replay,0,3,3,1.0,0.0542150633659286,0.03689162075985401,0.06096927452350615,0.036187677113458924,2.347145020001335
17,random,12,0,0,1.0,0.05338660597902814,0.042619315652558595,0.026934991850825547,0.0320251660778351,2.80129539698828
17,random,12,1,0,0.21875,0.4823762040242243,0.5782130328391333,0.34833398213553035,2.3104488510153525,2.80129539698828
17,random,12,1,1,0.875,0.13112017315834548,0.14300392980598683,0.02456868206047607,0.2737893477260774,2.80129539698828
17,random,12,2,0,0.15625,1.045234279238523,1.1965854593727099,1.1407252316375844,5.263181058291062,2.80129539698828
17,random,12,2,1,0.03125,1.1111092480375082,1.5056740187494735,0.4758465220919627,4.875550867738088,2.80129539698828
17,random,12,2,2,0.53125,0.2157221943590032,0.26488753635420415,0.010690858523847711,0.7047485540871123,2.80129539698828
17,random,12,3,0,0.0,0.3806235901185865,0.35072049144435247,0.04287704608648579,1.874994890701682,2.80129539698828
17,random,12,3,1,0.0,1.0607680634738672,1.6231074155622522,0.023868261118176012,4.33090157917225,2.80129539698828
17,random,12,3,2,0.0,0.28894894636197277,0.5119062566448894,0.044589445556611075,1.2830112617546605,2.80129539698828
17,random,12,3,3,1.0,0.050556649847590396,0.048818997175700735,0.00938832672581415,0.026872769301948735,2.80129539698828
17,random,32,0,0,1.0,0.04664566744972118,0.03648651480119174,0.015466973723571168,0.023744996828380854,2.7813739240227733
17,random,32,1,0,0.25,0.6640003375624346,0.7129859788217905,0.7074166316960795,3.249040086848515,2.7813739240227733
17,random,32,1,1,0.625,0.18162977301053737,0.23617905643505355,0.025208422367583153,0.504056299762597,2.7813739240227733
17,random,32,2,0,0.0625,0.7131158793118548,1.1051511043797966,0.09242826116958383,3.132032990330373,2.7813739240227733
17,random,32,2,1,0.1875,0.8279217698796171,1.2775793235904727,0.11789463124556773,3.43621970531283,2.7813739240227733
17,random,32,2,2,0.15625,0.39299180356451835,0.5115958372117221,0.16211859445805155,1.7999512361406524,2.7813739240227733
17,random,32,3,0,0.09375,1.09549547089195,1.6755268828088448,0.14954025826016748,4.488437291331226,2.7813739240227733
17,random,32,3,1,0.53125,0.5904733953152723,0.880979276068334,0.04020515692389884,2.320594561858137,2.7813739240227733
17,random,32,3,2,0.46875,0.24413246023660978,0.31763057181135945,0.019650318699781125,0.861093572215759,2.7813739240227733
17,random,32,3,3,1.0,0.048276463138330505,0.025647573438765857,0.0010415612928052899,0.024665627168983753,2.7813739240227733
17,random,96,0,0,1.0,0.045245734661418326,0.03427042801326081,0.02294798726320943,0.021634704007462903,2.76676767601748
17,random,96,1,0,0.375,0.35022942113175637,0.4625659396294042,0.1281279218164595,1.5026891396779933,2.76676767601748
17,random,96,1,1,0.34375,0.34392080007273973,0.4539552272332423,0.17034665357624046,1.412074933363713,2.76676767601748
17,random,96,2,0,0.125,1.3522284795322224,1.864950640474594,0.9805177002397167,6.26855305927747,2.76676767601748
17,random,96,2,1,0.28125,0.5775489454788144,0.8748334960050181,0.03021615878970468,2.320987549233654,2.76676767601748
17,random,96,2,2,0.5625,0.22152969778454445,0.3047802619887706,0.005951566835313294,0.694254122189407,2.76676767601748
