method,buffer_size,seeds,final_avg_success_mean,final_avg_success_std,final_avg_success_sem,final_old_success_mean,final_old_success_std,final_old_success_sem,final_current_success_mean,final_current_success_std,final_current_success_sem,final_tracking_rmse_mean,final_tracking_rmse_std,final_tracking_rmse_sem,final_on_policy_action_mse_mean,final_on_policy_action_mse_std,final_on_policy_action_mse_sem,nbt_mean,nbt_std,nbt_sem,mean_interaction_drop_mean,mean_interaction_drop_std,mean_interaction_drop_sem,worst_interaction_drop_mean,worst_interaction_drop_std,worst_interaction_drop_sem,final_forgetting_mean,final_forgetting_std,final_forgetting_sem,auc_mean,auc_std,auc_sem,plasticity_mean,plasticity_std,plasticity_sem,anchor_concentration_mean,anchor_concentration_std,anchor_concentration_sem,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_sem
no_replay,0,6,0.3411458333333333,0.09173174773036141,0.0374493291921824,0.12326388888888888,0.12314890959803576,0.05027533181588691,0.9947916666666666,0.01275775907699572,0.005208333333333334,0.48033846402439245,0.04543374669722153,0.018548249418508873,2.1524000247947215,0.21501477589140078,0.087779414682135,0.8932291666666666,0.08453096296532815,0.03450962112185934,0.4296875,0.07009031252407298,0.028614250266030684,1.0,0.0,0.0,0.859375,0.14018062504814596,0.05722850053206137,0.5596788194444444,0.029966781497933786,0.012233887317235589,0.9856770833333334,0.027694917648219623,0.011306402784423132,nan,0.0,0.0,2.25998493716664,0.04357453262924295,0.017789228453650253
random,12,6,0.3736979166666667,0.11903919008478539,0.048597545850316476,0.203125,0.13204948304413094,0.053908975709403326,0.8854166666666666,0.19229967932023878,0.07850601533923657,0.48931303003920473,0.07407137545671783,0.030239512402511996,2.150268609729132,0.4097961785064035,0.1672985893138633,0.5740740740740741,0.10659024738913672,0.04351528627673531,0.27777777777777773,0.07487450921127717,0.030567390384824672,0.828125,0.12616643273866468,0.05150723047948382,0.5555555555555555,0.14974901842255434,0.061134780769649344,0.5079210069444445,0.07462700292892022,0.03046634636817338,0.7903645833333334,0.07927538450579516,0.03236404020035629,0.10185185185185185,0.05737753105492469,0.02342427896421022,2.732317746495634,0.03936712329301909,0.016071560784855166
random,32,6,0.390625,0.11202155205584326,0.04573260712190665,0.2673611111111111,0.1564119531048509,0.0638549124631693,0.7604166666666666,0.22155934118575699,0.09045122227538506,0.7480847373562262,0.39155230229197,0.15985055803788648,3.529545423180417,2.451323822790678,1.000748760027636,0.390625,0.16024220912861803,0.06541860793691114,0.18055555555555555,0.09144544011878625,0.03733244459921004,0.7760416666666666,0.2342013245408033,0.09561229036815533,0.3611111111111111,0.1828908802375725,0.07466488919842008,0.4466145833333333,0.07607109162423514,0.03105589310931389,0.6614583333333334,0.08098916465593818,0.03306368801688308,0.11284722222222222,0.02226016725670084,0.009087675227987778,2.7490923668422815,0.03900903716160822,0.015925372733867862
random,96,6,0.3958333333333333,0.12881546676997552,0.052588694094147063,0.2743055555555555,0.1338315345112266,0.054636495174363746,0.7604166666666666,0.23935677693908453,0.09771699499632146,0.5821270550960475,0.16143396996155246,0.06590514225959841,2.5189129754593136,0.784276202320184,0.32017941884870593,0.3666087962962963,0.12362972251171253,0.050471622865928406,0.17361111111111108,0.077718851686109,0.03172858833766852,0.7916666666666666,0.14478791961578377,0.05910942066296295,0.34722222222222215,0.155437703372218,0.06345717667533704,0.4569227430555556,0.09875803525329253,0.0403177990617266,0.65625,0.10150238605569822,0.04143817558524185,0.1082175925925926,0.009164737451309796,0.0037414883970473658,2.7333135239993376,0.02768038338782089,0.011300469197462191
random,288,6,0.3958333333333333,0.13181302848795587,0.053812443541072466,0.2743055555555556,0.12735058420084416,0.05199065828956888,0.7604166666666666,0.17192234196481465,0.07018700219967924,0.5661482306643292,0.14998882937195962,0.06123268317977856,2.4321946439189297,0.7391674679782334,0.30176385516861604,0.43547453703703703,0.09329504233412145,0.03808754154165881,0.19270833333333334,0.059566576897899154,0.024317953187351568,0.8177083333333334,0.14976109446938035,0.06113971079512162,0.3854166666666667,0.11913315379579831,0.048635906374703136,0.4512803819444444,0.09320626525145874,0.038051298449429394,0.6848958333333334,0.05267888670204285,0.02150606543964852,0.09895833333333331,0.012503214607228155,0.0051044159887036955,2.7660817110008793,0.04975132487288483,0.0203108933276675
loss_hard,12,6,0.14322916666666666,0.10395812458228874,0.042440726640548675,0.0,0.0,0.0,0.5729166666666666,0.415832498329155,0.1697629065621947,1.5569469053236034,0.6807504991173556,0.277915227497082,8.516635423371964,4.165496122754033,1.7005566710481836,0.6209490740740741,0.06508603142476511,0.026571261062237627,0.3185763888888889,0.0419801574876177,0.017138327527723665,1.0,0.0,0.0,0.6371527777777778,0.0839603149752354,0.03427665505544733,0.30620659722222227,0.14216321303821317,0.058037888689700494,0.62109375,0.16062241607843844,0.0655738267741978,0.49999999999999994,0.27273194908074616,0.11134235196709197,2.7671505733257313,0.06697989705812493,0.027344428469425034
loss_hard,32,6,0.16015625,0.09345657205020415,0.03815348577210869,0.017361111111111112,0.04252586358998573,0.017361111111111112,0.5885416666666666,0.3213841321793387,0.13120452254442722,1.770214542777228,0.4100277758404039,0.16739313852954493,9.804843077319365,2.7580657182425257,1.1259756144594977,0.6319444444444445,0.06867630730597844,0.028036985053036607,0.31597222222222227,0.03433815365298922,0.014018492526518303,1.0,0.0,0.0,0.6319444444444445,0.06867630730597844,0.028036985053036607,0.31184895833333337,0.09010096785025168,0.03678356609400473,0.6341145833333334,0.10239045530976833,0.041800728340029486,0.5520833333333334,0.16150872869428587,0.06593566238443407,2.738323544326704,0.05291896261791804,0.021604076021886114
loss_hard,96,6,0.21484375,0.06824208688100768,0.0278597153068578,0.05555555555555555,0.09215463554185352,0.03762197241828205,0.6927083333333334,0.3368145044630155,0.13750394565045923,1.259505851272277,0.5208260288178929,0.21262633589398744,6.4923728258783955,3.034052394845158,1.2386467033733253,0.5711805555555555,0.1398189346645895,0.057080841051297224,0.2899305555555555,0.07039282962747671,0.028737752356331338,1.0,0.0,0.0,0.579861111111111,0.14078565925495343,0.057475504712662676,0.3561197916666667,0.057520553674769895,0.023482667704259684,0.6497395833333334,0.07740554139428046,0.03160067994664478,0.48553240740740744,0.10741277026043305,0.04385107983280946,2.750726030829052,0.04474197087686857,0.01826583312246554
loss_hard,288,6,0.3385416666666667,0.07900545537598443,0.03225384209456466,0.13888888888888887,0.1181576356053719,0.04823765274114516,0.9375,0.05929270612815711,0.024206145913796356,0.5528163302068313,0.14852653514492395,0.06063570406143608,2.463220323364478,0.8791397011458746,0.35890728007171474,0.4973958333333333,0.0952221730965451,0.03887428938091859,0.2838541666666667,0.07958701453091732,0.032491262625369624,0.8125,0.1711632992203644,0.06987712429686843,0.5677083333333334,0.15917402906183464,0.06498252525073925,0.5042317708333334,0.06487949514689902,0.026486942979880024,0.7643229166666666,0.08064932207428446,0.032924947863896124,0.22704475308641972,0.07852449868401373,0.03205749234728047,2.7594038644989873,0.07509798969466971,0.030658625910121716
diversity,12,6,0.4479166666666667,0.12230160379842395,0.04992942067169528,0.2986111111111111,0.15347065107290297,0.06265413093688867,0.8958333333333334,0.13356100354020506,0.054526051367926674,0.5695830569676449,0.27746921471934494,0.11327633256552312,2.663279138266693,1.6176628587339545,0.6604080966250225,0.3816550925925926,0.10382708924535328,0.042387231688254416,0.17361111111111113,0.07341102261064573,0.02996992448200012,0.828125,0.16268018856025462,0.06641390887206285,0.34722222222222227,0.14682204522129147,0.05993984896400024,0.5043402777777778,0.07969735721078275,0.03253630983578989,0.7083333333333334,0.05691161824853223,0.023234070857495275,0.14814814814814814,0.04182070292828227,0.017073230476468308,2.747142318995126,0.03441208966271441,0.014048676776092332
