seed,shots,latent_explained_variance,latent_components,source_labeled_transitions,source_total_transitions
23,0,0.9999109671902775,"[[0.08112111816996888, -0.17339007095547887, 0.7168986381260366, -0.6703816749687767], [0.17146530369446628, 0.07993678901126444, 0.6706423062082009, 0.7172507626453103]]",36,3600
23,1,0.9999109671902775,"[[0.08112111816996888, -0.17339007095547887, 0.7168986381260366, -0.6703816749687767], [0.17146530369446628, 0.07993678901126444, 0.6706423062082009, 0.7172507626453103]]",36,3600
23,2,0.9999109671902775,"[[0.08112111816996888, -0.17339007095547887, 0.7168986381260366, -0.6703816749687767], [0.17146530369446628, 0.07993678901126444, 0.6706423062082009, 0.7172507626453103]]",36,3600
23,4,0.9999109671902775,"[[0.08112111816996888, -0.17339007095547887, 0.7168986381260366, -0.6703816749687767], [0.17146530369446628, 0.07993678901126444, 0.6706423062082009, 0.7172507626453103]]",36,3600
23,8,0.9999109671902775,"[[0.08112111816996888, -0.17339007095547887, 0.7168986381260366, -0.6703816749687767], [0.17146530369446628, 0.07993678901126444, 0.6706423062082009, 0.7172507626453103]]",36,3600
23,16,0.9999109671902775,"[[0.08112111816996888, -0.17339007095547887, 0.7168986381260366, -0.6703816749687767], [0.17146530369446628, 0.07993678901126444, 0.6706423062082009, 0.7172507626453103]]",36,3600
23,32,0.9999109671902775,"[[0.08112111816996888, -0.17339007095547887, 0.7168986381260366, -0.6703816749687767], [0.17146530369446628, 0.07993678901126444, 0.6706423062082009, 0.7172507626453103]]",36,3600
24,0,0.9999189019127346,"[[0.09089937129190968, -0.16824010071687512, 0.7538038018197977, -0.628659209088303], [-0.1662008244361744, -0.0895574267202579, -0.6289290499485443, -0.7541916224719043]]",36,3600
24,1,0.9999189019127346,"[[0.09089937129190968, -0.16824010071687512, 0.7538038018197977, -0.628659209088303], [-0.1662008244361744, -0.0895574267202579, -0.6289290499485443, -0.7541916224719043]]",36,3600
24,2,0.9999189019127346,"[[0.09089937129190968, -0.16824010071687512, 0.7538038018197977, -0.628659209088303], [-0.1662008244361744, -0.0895574267202579, -0.6289290499485443, -0.7541916224719043]]",36,3600
