seed,shots,target_demo_transitions,method,label,prediction_rmse,position_rmse,mean_state_l2,p90_position_l2,candidate_top1,candidate_regret,candidate_regret_p90,planning_success
23,0,0,raw_joint,Raw / padded joints,0.10336854879923303,0.02765612072090682,0.18968648999734486,0.05670566497985504,0.08125,0.03494462195294269,0.06721425168350832,0.09375
23,0,0,canonical_ee,Canonical EE,0.01715116481334159,0.004102423861365322,0.020913485661432637,0.007054531031950173,0.9,0.00027340097987731067,2.4609187030958217e-05,0.971875
23,0,0,learned_latent,Learned latent,0.10690140354796826,0.02868935724863068,0.19491894657605977,0.059698209326083856,0.071875,0.03576053009256517,0.0674810105895522,0.08125
23,0,0,latent_to_ee_curriculum,Latent→EE curriculum,0.01608170979993174,0.004332620612238523,0.020508671916783537,0.007851509375700309,0.903125,0.00028704949943956853,0.0,0.96875
23,1,12,raw_joint,Raw / padded joints,0.10486937219344851,0.020282792642068934,0.17323060307766994,0.04609503027216327,0.378125,0.010651317697599503,0.03097257405557098,0.425
23,1,12,canonical_ee,Canonical EE,0.01285319358766731,0.0032672379856550694,0.01843857948104172,0.006864448603626869,0.940625,0.00016326815485419988,0.0,0.984375
23,1,12,learned_latent,Learned latent,0.10462618749810015,0.027810850671951878,0.17275275210451843,0.06615897215512054,0.31875,0.014807773380372374,0.03993076841949553,0.365625
23,1,12,latent_to_ee_curriculum,Latent→EE curriculum,0.012911438373365556,0.0033650135234587195,0.018509845377607883,0.006883772373988148,0.925,0.00019374767610142943,0.0,0.975
23,2,24,raw_joint,Raw / padded joints,0.05037535470887885,0.014163254658284672,0.08639600328678158,0.03325210344883457,0.46875,0.00688818866596177,0.020414300302970943,0.525
23,2,24,canonical_ee,Canonical EE,0.011214020003763805,0.002822487552631919,0.015787946047069207,0.005598363747600908,0.925,0.00016353247718297077,0.0,0.98125
23,2,24,learned_latent,Learned latent,0.050360855551593246,0.013773915181504255,0.0863649870927421,0.032309963635009736,0.484375,0.006106950853503085,0.018859582952301293,0.55
23,2,24,latent_to_ee_curriculum,Latent→EE curriculum,0.011215451355404112,0.0030647213409803315,0.01577414209081442,0.0060312867112099185,0.921875,0.00018737820540661796,0.0,0.975
23,4,48,raw_joint,Raw / padded joints,0.025234962872652106,0.006774331834751543,0.04326999163052304,0.014603422281083378,0.71875,0.0016368978246092624,0.006521245956668291,0.809375
23,4,48,canonical_ee,Canonical EE,0.014313457584441906,0.003584030493443012,0.01831389443220809,0.0057897845770926515,0.93125,0.00015309682860511695,0.0,0.98125
23,4,48,learned_latent,Learned latent,0.025222872297696434,0.0068068977302692835,0.04323917506896777,0.014368741900177753,0.70625,0.0017475837813727354,0.00684166782956178,0.79375
