scenario_id,seed,method,shift_level,mirrored,corruption,horizon,success,assisted_completion,progress,tracking_rmse,tracking_progress,interventions,disturbance_events,recoveries,recovery_rate,wrong_contacts,smoothness,command_jerk,steps,final_target_distance
s0_m0_c00_h03_t00,23,language_prior,0,0,0.000000,3,0,0,0.333333,1.166538,0.299065,2,1,0,0.000000,5,0.030668,0.042354,106,1.309648
s0_m0_c00_h03_t00,23,nearest_demo_replay,0,0,0.000000,3,0,0,0.333333,0.557124,0.311526,2,1,0,0.000000,1,0.027378,0.037418,106,0.132304
s0_m0_c00_h03_t00,23,phase_retrieval,0,0,0.000000,3,1,1,1.000000,0.765787,0.424242,0,2,2,1.000000,1,0.042835,0.056058,32,0.000000
s0_m0_c00_h03_t00,23,full_demo_attention,0,0,0.000000,3,0,0,0.000000,0.595585,0.000000,2,0,0,0.000000,3,0.027630,0.032578,106,0.603961
s0_m0_c00_h03_t00,23,latent_intent,0,0,0.000000,3,1,1,1.000000,0.876306,0.418803,0,2,2,1.000000,2,0.042500,0.052267,38,0.000000
s0_m0_c00_h03_t01,7942,language_prior,0,0,0.000000,3,0,0,0.333333,0.807542,0.277259,2,1,0,0.000000,5,0.029941,0.042213,106,0.808361
s0_m0_c00_h03_t01,7942,nearest_demo_replay,0,0,0.000000,3,1,1,1.000000,0.785962,0.333333,0,2,2,1.000000,0,0.044136,0.053668,33,0.000000
s0_m0_c00_h03_t01,7942,phase_retrieval,0,0,0.000000,3,0,0,0.000000,1.090594,0.000000,2,0,0,0.000000,5,0.031765,0.041882,106,1.277744
s0_m0_c00_h03_t01,7942,full_demo_attention,0,0,0.000000,3,0,0,0.000000,1.152710,0.000000,2,0,0,0.000000,3,0.022244,0.025967,106,1.269040
s0_m0_c00_h03_t01,7942,latent_intent,0,0,0.000000,3,1,1,1.000000,0.869424,0.365079,0,2,2,1.000000,3,0.039762,0.043763,41,0.000000
s0_m0_c00_h03_t02,15861,language_prior,0,0,0.000000,3,0,0,0.666667,1.292548,0.570093,2,2,1,0.500000,5,0.037210,0.048221,106,1.559014
s0_m0_c00_h03_t02,15861,nearest_demo_replay,0,0,0.000000,3,0,0,0.333333,0.615831,0.308411,2,1,0,0.000000,1,0.025902,0.038033,106,0.168352
s0_m0_c00_h03_t02,15861,phase_retrieval,0,0,0.000000,3,1,1,1.000000,0.825853,0.444444,0,2,2,1.000000,1,0.035958,0.045934,29,0.000000
s0_m0_c00_h03_t02,15861,full_demo_attention,0,0,0.000000,3,0,0,0.333333,1.276009,0.308411,2,1,0,0.000000,3,0.024059,0.027040,106,1.559629
s0_m0_c00_h03_t02,15861,latent_intent,0,0,0.000000,3,1,1,1.000000,0.839231,0.432432,0,2,2,1.000000,2,0.044377,0.050823,36,0.000000
s0_m0_c00_h03_t03,23780,language_prior,0,0,0.000000,3,0,0,0.000000,1.191789,0.000000,2,0,0,0.000000,5,0.027820,0.037572,106,1.241617
s0_m0_c00_h03_t03,23780,nearest_demo_replay,0,0,0.000000,3,0,0,0.000000,0.667817,0.000000,2,0,0,0.000000,3,0.034303,0.048433,106,0.149550
s0_m0_c00_h03_t03,23780,phase_retrieval,0,0,0.000000,3,0,0,0.000000,0.816448,0.000000,2,0,0,0.000000,5,0.038520,0.053645,106,0.741663
s0_m0_c00_h03_t03,23780,full_demo_attention,0,0,0.000000,3,0,0,0.000000,0.791088,0.000000,2,0,0,0.000000,4,0.019869,0.022200,106,0.746091
s0_m0_c00_h03_t03,23780,latent_intent,0,0,0.000000,3,1,1,1.000000,1.034149,0.360000,0,2,2,1.000000,3,0.035120,0.042913,49,0.000000
s0_m0_c00_h03_t04,31699,language_prior,0,0,0.000000,3,0,0,0.000000,1.386857,0.000000,2,0,0,0.000000,5,0.027488,0.037676,106,1.572780
s0_m0_c00_h03_t04,31699,nearest_demo_replay,0,0,0.000000,3,1,1,1.000000,0.837404,0.306306,0,2,2,1.000000,0,0.042667,0.052401,36,0.000000
s0_m0_c00_h03_t04,31699,phase_retrieval,0,0,0.000000,3,0,0,0.333333,0.828344,0.295950,2,1,0,0.000000,4,0.034585,0.047249,106,0.846901
s0_m0_c00_h03_t04,31699,full_demo_attention,0,0,0.000000,3,0,0,0.000000,1.081180,0.000000,2,0,0,0.000000,2,0.034226,0.039865,106,1.243880
s0_m0_c00_h03_t04,31699,latent_intent,0,0,0.000000,3,1,1,1.000000,0.903892,0.325203,0,2,2,1.000000,2,0.041905,0.052500,40,0.000000
s0_m0_c00_h03_t05,39618,language_prior,0,0,0.000000,3,0,0,0.333333,1.289595,0.317757,2,1,0,0.000000,5,0.030722,0.041453,106,1.490761
s0_m0_c00_h03_t05,39618,nearest_demo_replay,0,0,0.000000,3,0,0,0.000000,0.566620,0.000000,2,0,0,0.000000,2,0.016860,0.022270,106,0.194377
s0_m0_c00_h03_t05,39618,phase_retrieval,0,0,0.000000,3,1,1,1.000000,0.710055,0.480000,0,2,2,1.000000,1,0.032933,0.041357,24,0.000000
s0_m0_c00_h03_t05,39618,full_demo_attention,0,0,0.000000,3,0,0,0.333333,1.118269,0.317757,2,1,0,0.000000,3,0.022286,0.024772,106,1.319228
s0_m0_c00_h03_t05,39618,latent_intent,0,0,0.000000,3,1,1,1.000000,0.745474,0.458333,0,2,2,1.000000,2,0.047746,0.056293,31,0.000000
s0_m0_c00_h06_t00,47537,language_prior,0,0,0.000000,6,0,0,0.333333,1.147524,0.298883,2,1,0,0.000000,7,0.030831,0.042335,178,1.219508
s0_m0_c00_h06_t00,47537,nearest_demo_replay,0,0,0.000000,6,1,1,1.000000,0.761225,0.469697,0,2,2,1.000000,0,0.047139,0.062313,65,0.000000
s0_m0_c00_h06_t00,47537,phase_retrieval,0,0,0.000000,6,0,0,0.333333,1.114593,0.312849,2,1,0,0.000000,5,0.029018,0.039438,178,1.295614
s0_m0_c00_h06_t00,47537,full_demo_attention,0,0,0.000000,6,0,0,0.166667,0.732564,0.162011,2,0,0,0.000000,2,0.023687,0.026881,178,0.766934
s0_m0_c00_h06_t00,47537,latent_intent,0,0,0.000000,6,1,1,1.000000,0.848404,0.474178,0,2,2,1.000000,4,0.040219,0.051799,70,0.000000
s0_m0_c00_h06_t01,55456,language_prior,0,0,0.000000,6,0,0,0.166667,0.901449,0.126629,2,0,0,0.000000,7,0.029926,0.039914,178,0.858731
s0_m0_c00_h06_t01,55456,nearest_demo_replay,0,0,0.000000,6,0,0,0.500000,0.550803,0.439479,2,1,1,1.000000,2,0.035205,0.047822,178,0.159204
s0_m0_c00_h06_t01,55456,phase_retrieval,0,0,0.000000,6,0,0,0.000000,1.207395,0.000000,2,0,0,0.000000,5,0.034099,0.049627,178,1.353682
s0_m0_c00_h06_t01,55456,full_demo_attention,0,0,0.000000,6,0,0,0.000000,1.231421,0.000000,2,0,0,0.000000,2,0.024263,0.026892,178,1.349563
s0_m0_c00_h06_t01,55456,latent_intent,0,0,0.000000,6,1,1,1.000000,0.845721,0.443723,0,2,2,1.000000,6,0.038514,0.044588,76,0.000000
