sweep,value,method,episodes,success_rate,damage_rate,stuck_rate,mean_final_progress,mean_peak_axial_force,mean_force_overshoot
morphology,0.7,vision_only,64,0.0,0.0,1.0,0.0,0.3880087422131778,0.0
morphology,0.7,temporal_history,64,0.0,0.0,1.0,0.012642042700133688,0.5862777712999239,3.5724122209876766e-05
morphology,0.7,force,64,0.0,0.0,1.0,0.0,0.34050516693055005,0.0
morphology,0.7,mismatched_gripper_force,64,0.171875,0.0,0.828125,0.171875,0.7223764239033957,0.0011136869105054393
morphology,0.7,matched_multimodal_bc,64,0.734375,0.0,0.265625,0.734375,0.8422578355127828,0.00925326318301045
morphology,0.85,vision_only,64,0.0,0.0,1.0,0.0,0.46799089078335804,0.0
morphology,0.85,temporal_history,64,0.0625,0.0,0.9375,0.0625,0.6698721101934533,0.0009273558234443643
morphology,0.85,force,64,0.109375,0.0,0.890625,0.13109262474849628,0.6796415472581152,0.00032231783655117113
morphology,0.85,mismatched_gripper_force,64,0.625,0.0,0.375,0.625,0.8401036002843845,0.013738951225991895
morphology,0.85,matched_multimodal_bc,64,0.796875,0.0,0.203125,0.796875,0.8354277687160618,0.009215510931616029
morphology,1.0,vision_only,64,0.0,0.0,1.0,0.0,0.5429130210944195,0.0
morphology,1.0,temporal_history,64,0.421875,0.0,0.578125,0.421875,0.7420592554336953,0.004957767801614946
morphology,1.0,force,64,0.84375,0.0,0.15625,0.84375,0.8291903632462945,0.011712231825509064
morphology,1.0,mismatched_gripper_force,64,0.671875,0.015625,0.3125,0.671875,0.934037694454805,0.09545928557066351
morphology,1.0,matched_multimodal_bc,64,0.8125,0.0,0.1875,0.8125,0.8261780457710637,0.010959803457446961
morphology,1.15,vision_only,64,0.09375,0.0,0.90625,0.09375,0.6140224869774411,0.00038512384521338476
morphology,1.15,temporal_history,64,0.53125,0.0,0.46875,0.53125,0.808292332255379,0.012371875191772954
morphology,1.15,force,64,0.921875,0.0,0.078125,0.921875,0.8619334710640119,0.027525626561308244
morphology,1.15,mismatched_gripper_force,64,0.6875,0.1875,0.125,0.6875,1.000137659756469,0.14695569184332974
morphology,1.15,matched_multimodal_bc,64,0.765625,0.0,0.234375,0.7729662724863975,0.8294707614940484,0.009311304884724874
morphology,1.3,vision_only,64,0.265625,0.0,0.734375,0.265625,0.6749202509817558,0.00395851250571448
morphology,1.3,temporal_history,64,0.609375,0.0,0.390625,0.609375,0.8151702409540317,0.018536494266579433
morphology,1.3,force,64,1.0,0.0,0.0,1.0,0.852495111128462,0.04094544084510088
morphology,1.3,mismatched_gripper_force,64,0.75,0.234375,0.015625,0.75,0.9864354705867481,0.1589328390084787
morphology,1.3,matched_multimodal_bc,64,0.875,0.0,0.125,0.875,0.8077549820924562,0.011086114322811086
