task,method,episodes,success_rate,damage_rate,stuck_rate,mean_steps,mean_steps_success,mean_final_progress,mean_abs_final_alignment,mean_peak_axial_force,p95_peak_axial_force,mean_force_overshoot,mean_contact_steps,mean_command_energy,mean_action_smoothness,validation_action_rmse
fastener,vision_only,120,0.0,0.0,1.0,64.0,,0.0,0.0,0.6893251597620378,0.6893251597620376,0.0,60.0,0.47832783410994556,0.004058445309649209,0.1516956952674899
fastener,temporal_history,120,0.675,0.0,0.325,47.09166666666667,38.95061728395062,0.675,2.102519142771461e-05,0.9146173095144757,0.9915138254955473,0.010681092268997053,31.45,0.6157111625476003,0.004487691215409781,0.06881880605514956
fastener,force,120,0.725,0.0,0.275,47.125,40.724137931034484,0.725,2.8531417687375628e-05,0.918745853655427,1.0062401147593005,0.010434687855625386,29.808333333333334,0.5905755873997277,0.005655730120233886,0.028326641382128676
fastener,mismatched_gripper_force,120,0.925,0.0,0.075,30.85,28.16216216216216,0.925,0.020988877530540573,0.9463675579269304,1.0797156089790487,0.025226523751149473,13.033333333333333,0.7661743757895265,0.013633883780902821,0.038317031103039016
fastener,matched_multimodal_bc,120,0.6833333333333333,0.0,0.31666666666666665,47.975,40.548780487804876,0.6833333333333333,1.1796198269161621e-05,0.9138310325741854,0.9928731744586944,0.009463140850335639,31.408333333333335,0.5963283025061504,0.005331269098017636,0.028415632760291666
insertion,vision_only,120,0.0,0.0,1.0,64.0,,0.0,0.30722959702715624,0.39866919588275934,0.4131807482013645,0.0,60.0,0.309389300525104,0.013223649527210985,0.1516956952674899
insertion,temporal_history,120,0.125,0.0,0.875,61.625,45.0,0.12853620661772117,0.29045242718960357,0.600118757257193,0.8160807111098163,0.001856627089169948,54.891666666666666,0.480394101253208,0.002655329007499935,0.06881880605514956
insertion,force,120,0.875,0.0,0.125,42.791666666666664,39.76190476190476,0.8811282094832436,9.27471307379333e-05,0.7386039399604528,0.8520466839545844,0.013951224524639323,21.183333333333334,0.5225420350701324,0.02553376960365005,0.028326641382128676
insertion,mismatched_gripper_force,120,0.5416666666666666,0.008333333333333333,0.45,46.608333333333334,32.55384615384615,0.5416666666666666,0.046425102716626435,0.8790416307454759,1.0182988530597725,0.12932307592483933,33.858333333333334,0.7918346019389779,0.016577958985414344,0.038317031103039016
insertion,matched_multimodal_bc,120,0.875,0.0,0.125,43.025,40.02857142857143,0.8776366784431964,0.00016449064073823124,0.7357852859588426,0.8418361253167214,0.012334225452312008,21.475,0.517710075089795,0.025107317565146083,0.028415632760291666
overall,vision_only,240,0.0,0.0,1.0,64.0,,0.0,0.15361479851357812,0.5439971778223984,0.6893251597620376,0.0,60.0,0.39385856731752483,0.008641047418430099,0.1516956952674899
overall,temporal_history,240,0.4,0.0,0.6,54.358333333333334,39.895833333333336,0.4017681033088606,0.1452367261905156,0.7573680333858344,0.9915138254955473,0.006268859679083501,43.170833333333334,0.5480526319004042,0.0035715101114548583,0.06881880605514956
overall,force,240,0.8,0.0,0.2,44.958333333333336,40.197916666666664,0.8030641047416218,6.063927421265446e-05,0.8286748968079399,1.0062401147593005,0.012192956190132356,25.495833333333334,0.5565588112349301,0.015594749861941969,0.028326641382128676
overall,mismatched_gripper_force,240,0.7333333333333333,0.004166666666666667,0.2625,38.729166666666664,29.78409090909091,0.7333333333333333,0.033706990123583504,0.9127045943362032,1.0703548359369353,0.07727479983799439,23.445833333333333,0.7790044888642522,0.015105921383158583,0.038317031103039016
overall,matched_multimodal_bc,240,0.7791666666666667,0.0,0.22083333333333333,45.5,40.25668449197861,0.7804850058882649,8.814341950369643e-05,0.824808159266514,0.9928731744586944,0.010898683151323824,26.441666666666666,0.5570191887979727,0.015219293331581861,0.028415632760291666
