trial,task,method,success,damaged,stuck,steps,final_progress,final_alignment,peak_axial_force,peak_force_norm,force_overshoot,contact_steps,command_energy,action_smoothness
0,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
0,fastener,temporal_history,True,False,False,36,1.0,2.1126992619294544e-05,0.7702401474548701,0.7702401474548701,0.01301984327582495,14,0.47238827999337396,0.00542312687381957
0,fastener,force,True,False,False,37,1.0,-2.8531417687375642e-05,0.769952155520975,0.769952155520975,0.012731851341929779,14,0.4507250713575067,0.006257353994449385
0,fastener,mismatched_gripper_force,True,False,False,26,1.0,-0.00946093931879021,0.7879208726179716,0.7879208726179716,0.030700568438926434,7,0.7033870401950725,0.015731121115223526
0,fastener,matched_multimodal_bc,True,False,False,37,1.0,1.1796198269161621e-05,0.770091988773776,0.770091988773776,0.01287168459473087,14,0.44959229210856394,0.006613439228361825
1,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
1,fastener,temporal_history,True,False,False,37,1.0,2.1126992619294544e-05,0.8079498834243675,0.8079498834243675,0.0238564418835433,15,0.48552833435122544,0.005372697471430525
1,fastener,force,True,False,False,38,1.0,-2.8531417687375642e-05,0.8076162291498847,0.8076162291498847,0.02352278760906057,15,0.4608093820212775,0.006421810100267047
1,fastener,mismatched_gripper_force,True,False,False,26,1.0,-0.00946093931879021,0.7879208726179716,0.7879208726179716,0.0038274310771474473,7,0.7033870401950725,0.015731121115223526
1,fastener,matched_multimodal_bc,True,False,False,38,1.0,1.1796198269161621e-05,0.8075734960023555,0.8075734960023555,0.02348005446153134,15,0.46034726428841566,0.006579749754122472
2,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
2,fastener,temporal_history,False,False,True,64,0.0,2.0933085587713726e-05,0.9915138254955473,0.9915138254955473,0.0,60,0.8175317267660702,0.0029380528809316094
2,fastener,force,False,False,True,64,0.0,-2.8531417687375642e-05,1.0062401147593005,1.0062401147593005,0.0,60,0.8334643031897273,0.002944313015849317
2,fastener,mismatched_gripper_force,True,False,False,31,1.0,-0.0179088519857364,1.0565889932279449,1.0565889932279449,0.014252252314786329,12,0.7928585138523575,0.012984700389358362
2,fastener,matched_multimodal_bc,False,False,True,64,0.0,1.1796198269161621e-05,0.9928731744586944,0.9928731744586944,0.0,60,0.8162425416913784,0.0029242741556285965
3,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
3,fastener,temporal_history,True,False,False,49,1.0,2.0933085587713726e-05,0.9897003450246675,0.9897003450246675,0.000797634554420501,28,0.618635355272386,0.004216752950304725
3,fastener,force,True,False,False,47,1.0,-2.8531417687375642e-05,0.9896763093218448,0.9896763093218448,0.0007735988515977787,25,0.5698449348326567,0.006284806011823024
3,fastener,mismatched_gripper_force,True,False,False,29,1.0,-0.014433017669402403,1.006574685807737,1.006574685807737,0.017671975337489876,10,0.7637109062046675,0.013913958974746472
3,fastener,matched_multimodal_bc,True,False,False,50,1.0,1.1796198269161621e-05,0.9894559996090084,0.9894559996090084,0.0005532891387614036,28,0.5907065068047623,0.005335890004517612
4,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
4,fastener,temporal_history,True,False,False,38,1.0,2.1126992619294544e-05,0.8750993215048846,0.8750993215048846,0.007951581044607026,17,0.5130322906633665,0.005373751523674531
4,fastener,force,True,False,False,39,1.0,-2.8531417687375642e-05,0.8728401073341082,0.8728401073341082,0.005692366873830679,17,0.48366274559167394,0.006996239776843809
4,fastener,mismatched_gripper_force,True,False,False,27,1.0,-0.010963530902683098,0.887077022160658,0.887077022160658,0.01992928170038044,8,0.7303518620886713,0.014627225711135625
4,fastener,matched_multimodal_bc,True,False,False,39,1.0,1.1796198269161621e-05,0.8700440146965251,0.8700440146965251,0.002896274236247609,17,0.48320765634597435,0.006679286252074108
5,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
5,fastener,temporal_history,True,False,False,37,1.0,2.1126992619294544e-05,0.8440526880238206,0.8440526880238206,0.021580780642421304,16,0.5001638522414584,0.005416565436018365
5,fastener,force,True,False,False,39,1.0,-2.8531417687375642e-05,0.8415296651351782,0.8415296651351782,0.019057757753778937,16,0.47162003912932704,0.006604733189081626
5,fastener,mismatched_gripper_force,True,False,False,27,1.0,-0.010963530902683098,0.887077022160658,0.887077022160658,0.06460511477925868,8,0.7303518620886713,0.014627225711135625
5,fastener,matched_multimodal_bc,True,False,False,39,1.0,1.1796198269161621e-05,0.8409903537099708,0.8409903537099708,0.01851844632857147,16,0.4711561762300291,0.006525596831737218
6,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
6,fastener,temporal_history,True,False,False,41,1.0,2.0933085587713726e-05,0.9516189680423174,0.9516189680423174,0.005982509999566732,20,0.5475175129289526,0.005056668139645724
6,fastener,force,True,False,False,42,1.0,-2.8531417687375642e-05,0.9522273978083808,0.9522273978083808,0.006590939765630188,20,0.5194137148044518,0.0068101579579002165
6,fastener,mismatched_gripper_force,True,False,False,28,1.0,-0.012701448060850096,0.9621905825873969,0.9621905825873969,0.01655412454464622,9,0.7478619031305165,0.01441748659770219
6,fastener,matched_multimodal_bc,True,False,False,43,1.0,1.1796198269161621e-05,0.9531247942098808,0.9531247942098808,0.007488336167130183,21,0.5263372339725518,0.006235147727839117
7,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
7,fastener,temporal_history,True,False,False,38,1.0,2.1126992619294544e-05,0.8750993215048846,0.8750993215048846,0.02447929195151055,17,0.5130322906633665,0.005373751523674531
7,fastener,force,True,False,False,39,1.0,-2.8531417687375642e-05,0.8728401073341082,0.8728401073341082,0.022220077780734204,17,0.48366274559167394,0.006996239776843809
7,fastener,mismatched_gripper_force,True,False,False,27,1.0,-0.010963530902683098,0.887077022160658,0.887077022160658,0.03645699260728397,8,0.7303518620886713,0.014627225711135625
7,fastener,matched_multimodal_bc,True,False,False,39,1.0,1.1796198269161621e-05,0.8700440146965251,0.8700440146965251,0.019423985143151135,17,0.48320765634597435,0.006679286252074108
8,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
8,fastener,temporal_history,True,False,False,40,1.0,2.0933085587713726e-05,0.93171741201055,0.93171741201055,0.004912986319912882,19,0.5366573851174956,0.005200967814003773
8,fastener,force,True,False,False,41,1.0,-2.8531417687375642e-05,0.931754447572763,0.931754447572763,0.004950021882125899,19,0.5083495499539686,0.007122217371589068
8,fastener,mismatched_gripper_force,True,False,False,28,1.0,-0.012701448060850096,0.9621905825873969,0.9621905825873969,0.035386156896759724,9,0.7478619031305165,0.01441748659770219
8,fastener,matched_multimodal_bc,True,False,False,42,1.0,1.1796198269161621e-05,0.9367121987177767,0.9367121987177767,0.009907773027139521,20,0.5160782682696746,0.006462141992700522
9,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
9,fastener,temporal_history,True,False,False,37,1.0,2.1126992619294544e-05,0.8079498834243675,0.8079498834243675,0.03418128371767615,15,0.48552833435122544,0.005372697471430525
9,fastener,force,True,False,False,38,1.0,-2.8531417687375642e-05,0.8076162291498847,0.8076162291498847,0.03384762944319342,15,0.4608093820212775,0.006421810100267047
9,fastener,mismatched_gripper_force,True,False,False,26,1.0,-0.00946093931879021,0.7879208726179716,0.7879208726179716,0.014152272911280295,7,0.7033870401950725,0.015731121115223526
9,fastener,matched_multimodal_bc,True,False,False,38,1.0,1.1796198269161621e-05,0.8075734960023555,0.8075734960023555,0.03380489629566419,15,0.46034726428841566,0.006579749754122472
10,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
10,fastener,temporal_history,True,False,False,40,1.0,2.0933085587713726e-05,0.93171741201055,0.93171741201055,0.018216718492340633,19,0.5366573851174956,0.005200967814003773
10,fastener,force,True,False,False,41,1.0,-2.8531417687375642e-05,0.931754447572763,0.931754447572763,0.01825375405455365,19,0.5083495499539686,0.007122217371589068
10,fastener,mismatched_gripper_force,True,False,False,28,1.0,-0.012701448060850096,0.9621905825873969,0.9621905825873969,0.048689889069187475,9,0.7478619031305165,0.01441748659770219
10,fastener,matched_multimodal_bc,True,False,False,41,1.0,1.1796198269161621e-05,0.9166585350135108,0.9166585350135108,0.0031578414953014056,19,0.5046701698164715,0.006638975707258565
11,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
11,fastener,temporal_history,True,False,False,36,1.0,2.1126992619294544e-05,0.7702401474548701,0.7702401474548701,0.014804298288174644,14,0.47238827999337396,0.00542312687381957
11,fastener,force,True,False,False,37,1.0,-2.8531417687375642e-05,0.769952155520975,0.769952155520975,0.014516306354279473,14,0.4507250713575067,0.006257353994449385
11,fastener,mismatched_gripper_force,True,False,False,26,1.0,-0.00946093931879021,0.7879208726179716,0.7879208726179716,0.03248502345127613,7,0.7033870401950725,0.015731121115223526
