episode,stage,target,dialect,instruction,start_step,end_step,length,mean_ax,mean_ay
0,0,cobalt,canonical,go to the cobalt station,0,19,20,0.5983584002289319,0.46461723206771105
0,1,amber,canonical,go to the amber station,20,37,18,-1.0278657216820726,-0.10929580830241768
0,2,mint,canonical,go to the mint station,38,61,24,1.247472917660789,-0.8300757041786744
0,3,depot,canonical,deliver at the depot,62,80,19,-1.206937556637851,0.21797384861943184
1,0,mint,gemma,move to the mint terminal,0,15,16,0.45956829309238323,-0.5438288105836624
1,1,amber,gemma,head toward the amber beacon,16,57,42,-1.345997825216414,1.261099158926157
1,2,depot,gemma,take the payload to the depot,58,75,18,0.1657362726259945,-0.9564166604569552
2,0,cobalt,qwen,travel to blue cobalt,0,26,27,0.8226345691500906,0.7111858851620375
2,1,mint,qwen,proceed to green mint,27,44,18,-0.13203047165269652,-0.9203466285304948
2,2,depot,qwen,finish at the delivery bay,45,63,19,-0.9714470267601041,0.32208006044196696
3,0,mint,gpt,seek the mint-green marker,0,14,15,0.41178184037409465,-0.3866521019440441
3,1,cobalt,gpt,reach the cool cobalt marker,15,32,18,-0.19980943997506498,0.9693738201850937
3,2,amber,gpt,visit the warm amber marker,33,51,19,-0.9118061759164099,-0.35780395666165266
3,3,depot,gpt,return to the dropoff depot,52,68,17,0.4371060731625347,-0.9122122136355264
4,0,cobalt,canonical,go to the cobalt station,0,14,15,0.49229223249054466,0.3582594111163097
4,1,amber,canonical,go to the amber station,15,33,19,-1.0404976394239238,-0.11718206478067623
4,2,mint,canonical,go to the mint station,34,65,32,1.185885445681901,-0.8533561743879381
4,3,depot,canonical,deliver at the depot,66,83,18,-1.0301533320454228,0.07652148661375695
5,0,mint,gemma,move to the mint terminal,0,22,23,0.8886351653382508,-0.8312010527405882
5,1,cobalt,gemma,approach the cobalt beacon,23,40,18,-0.17938035447436218,0.9609868758041765
5,2,amber,gemma,head toward the amber beacon,41,58,18,-0.9524310051272583,-0.36206773668776093
5,3,depot,gemma,take the payload to the depot,59,76,18,0.4476315959094593,-0.7936937673452209
6,0,mint,qwen,proceed to green mint,0,15,16,0.5063759042439093,-0.3680527328239929
6,1,amber,qwen,navigate to orange amber,16,45,30,-1.2842831867335929,1.0786581035653653
6,2,depot,qwen,finish at the delivery bay,46,63,18,0.24373254521143461,-1.0119932361864363
7,0,mint,gpt,seek the mint-green marker,0,14,15,0.47395572773985833,-0.47662805968901245
7,1,amber,gpt,visit the warm amber marker,15,44,30,-1.3508720532690774,1.2801937229713687
7,2,depot,gpt,return to the dropoff depot,45,63,19,0.26128979468219926,-0.958618877789439
8,0,mint,canonical,go to the mint station,0,15,16,0.48621905578354696,-0.43926196642013204
8,1,cobalt,canonical,go to the cobalt station,16,33,18,-0.19447055269792118,1.0006622164504346
8,2,amber,canonical,go to the amber station,34,52,19,-0.9096265820116777,-0.36772204360743355
8,3,depot,canonical,deliver at the depot,53,70,18,0.42403546944663445,-0.7968126010323417
9,0,cobalt,gemma,approach the cobalt beacon,0,25,26,0.6603960801931037,0.7966108456495227
9,1,amber,gemma,head toward the amber beacon,26,43,18,-0.9919833424506339,-0.10721955364934445
9,2,mint,gemma,move to the mint terminal,44,86,43,1.397684128569774,-1.111584421453728
9,3,depot,gemma,take the payload to the depot,87,105,19,-0.9636507879763401,0.09568583128871457
10,0,cobalt,qwen,travel to blue cobalt,0,15,16,0.6394914281734855,0.34298590540720464
10,1,amber,qwen,navigate to orange amber,16,34,19,-1.1075738499713597,-0.12651838362463932
10,2,mint,qwen,proceed to green mint,35,63,29,1.5598778975078837,-1.0536271170567297
10,3,depot,qwen,finish at the delivery bay,64,82,19,-1.148213041218265,0.2324728997657421
11,0,cobalt,gpt,reach the cool cobalt marker,0,15,16,0.455658377435357,0.5571975043150138
11,1,mint,gpt,seek the mint-green marker,16,33,18,-0.15318851435980466,-1.039858014179461
11,2,depot,gpt,return to the dropoff depot,34,52,19,-0.9131972799508544,0.34196923310085386
12,0,cobalt,canonical,go to the cobalt station,0,14,15,0.43400722187532864,0.502902755495297
12,1,mint,canonical,go to the mint station,15,32,18,-0.16653325527556384,-1.029833171977507
12,2,depot,canonical,deliver at the depot,33,51,19,-0.9121553176750211,0.34660139750578933
13,0,mint,gemma,move to the mint terminal,0,26,27,0.8387074599803634,-0.6987350898998105
13,1,cobalt,gemma,approach the cobalt beacon,27,44,18,-0.10156273221783768,0.8768404206330099
13,2,amber,gemma,head toward the amber beacon,45,62,18,-0.9416595797965626,-0.33087688338344334
