trial,method,label,route,success,completion_steps,completion_time_s,active_steps,idle_steps,idle_fraction,stale_instruction_errors,stale_error_fraction,wrong_instruction_errors,wrong_instruction_fraction,control_smoothness,safety_violations,planner_calls,instruction_switches,instruction_parse_failures,stage_completions,route_stages,path_length,planner_profile,planner_latency,planner_cadence,transport_delay,controller_capacity,controller_noise,sweep
0,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,95,7.6000000000000005,88,7,0.07368421052631578,32,0.36363636363636365,18,0.20454545454545456,1.2557080357572232,1,7,7,0,4,4,6.225914427082436,balanced,0,16,4,medium,0.055,latency
0,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,0,260,20.8,259,1,0.0038461538461538464,0,0.0,244,0.9420849420849421,0.1325540473090682,0,2,2,0,1,4,1.4289427763920854,balanced,0,16,4,medium,0.055,latency
0,async_online,Asynchronous online,mint>cobalt>amber>depot,0,260,20.8,260,0,0.0,3,0.011538461538461539,245,0.9423076923076923,0.12839519612513034,0,3,2,0,1,4,1.4079390390815574,balanced,0,16,4,medium,0.055,latency
1,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,170,13.6,158,12,0.07058823529411765,25,0.15822784810126583,53,0.33544303797468356,1.219105317285763,5,12,12,0,4,4,11.761702503073412,balanced,0,16,4,medium,0.055,latency
1,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,75,6.0,72,3,0.04,0,0.0,0,0.0,0.4739723914408591,2,4,4,0,4,4,5.631057659137692,balanced,0,16,4,medium,0.055,latency
1,async_online,Asynchronous online,mint>cobalt>amber>depot,1,75,6.0,75,0,0.0,3,0.04,3,0.04,0.4231217876891708,2,4,4,0,4,4,5.619739312895466,balanced,0,16,4,medium,0.055,latency
2,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,0,260,20.8,242,18,0.06923076923076923,20,0.08264462809917356,90,0.371900826446281,1.19932926019528,70,18,18,0,2,4,12.747221153963977,balanced,0,16,4,medium,0.055,latency
2,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,94,7.5200000000000005,91,3,0.031914893617021274,0,0.0,0,0.0,0.3959409611891126,1,4,4,0,4,4,7.098347186217505,balanced,0,16,4,medium,0.055,latency
2,async_online,Asynchronous online,amber>mint>cobalt>depot,1,94,7.5200000000000005,94,0,0.0,3,0.031914893617021274,3,0.031914893617021274,0.3404714555938153,1,4,4,0,4,4,7.0747152576006425,balanced,0,16,4,medium,0.055,latency
3,direct_blocking,Direct planner actions,mint>amber>depot,1,108,8.64,100,8,0.07407407407407407,20,0.2,36,0.36,1.247208148558258,0,8,8,0,3,3,6.624848554109098,balanced,0,16,4,medium,0.055,latency
3,sync_instruction,Synchronous instructions,mint>amber>depot,1,64,5.12,62,2,0.03125,0,0.0,0,0.0,0.40292734759300547,0,3,3,0,3,3,4.879117371835054,balanced,0,16,4,medium,0.055,latency
3,async_online,Asynchronous online,mint>amber>depot,1,65,5.2,65,0,0.0,3,0.046153846153846156,3,0.046153846153846156,0.34235727757618817,0,3,3,0,3,3,4.919995080114441,balanced,0,16,4,medium,0.055,latency
4,direct_blocking,Direct planner actions,cobalt>mint>depot,1,184,14.72,171,13,0.07065217391304347,23,0.13450292397660818,79,0.4619883040935672,1.2100529632012915,9,13,13,0,3,3,11.606453805610954,balanced,0,16,4,medium,0.055,latency
4,sync_instruction,Synchronous instructions,cobalt>mint>depot,1,56,4.48,54,2,0.03571428571428571,0,0.0,0,0.0,0.45652232876786214,0,3,3,0,3,3,4.234756568917239,balanced,0,16,4,medium,0.055,latency
