trial,method,label,route,success,completion_steps,completion_time_s,active_steps,idle_steps,idle_fraction,stale_instruction_errors,stale_error_fraction,wrong_instruction_errors,wrong_instruction_fraction,control_smoothness,safety_violations,planner_calls,instruction_switches,instruction_parse_failures,stage_completions,route_stages,path_length,planner_profile,planner_latency,planner_cadence,transport_delay,controller_capacity,controller_noise
0,controller_only,Controller only,mint>cobalt>amber>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.40743227413218625,23,0,0,0,0,4,19.26667361113661,balanced,10,16,4,medium,0.055
0,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,166,13.280000000000001,96,70,0.42168674698795183,17,0.17708333333333334,3,0.03125,1.2693834641322652,16,7,7,0,4,4,8.575997089419248,balanced,10,16,4,medium,0.055
0,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,0,260,20.8,241,19,0.07307692307692308,0,0.0,226,0.9377593360995851,0.14142234538480414,1,2,2,0,1,4,1.9389454073505938,balanced,10,16,4,medium,0.055
0,async_online,Asynchronous online,mint>cobalt>amber>depot,0,260,20.8,251,9,0.03461538461538462,6,0.02390438247011952,236,0.9402390438247012,0.12952713684732134,0,3,2,0,1,4,1.420299389308866,balanced,10,16,4,medium,0.055
0,oracle,Oracle planner/controller,mint>cobalt>amber>depot,1,70,5.6000000000000005,70,0,0.0,0,0.0,0,0.0,0.45220553960062804,0,4,0,0,4,4,5.236064749482085,balanced,10,16,4,medium,0.055
1,controller_only,Controller only,mint>cobalt>amber>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.38247075509882533,19,0,0,0,0,4,19.11071147708228,balanced,10,16,4,medium,0.055
1,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,0,260,20.8,150,110,0.4230769230769231,35,0.23333333333333334,66,0.44,1.2450349193803414,37,11,11,0,3,4,13.833379242624188,balanced,10,16,4,medium,0.055
1,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,111,8.88,72,39,0.35135135135135137,0,0.0,0,0.0,0.4596353878658803,14,4,4,0,4,4,6.564121152225863,balanced,10,16,4,medium,0.055
1,async_online,Asynchronous online,mint>cobalt>amber>depot,1,97,7.76,88,9,0.09278350515463918,17,0.19318181818181818,17,0.19318181818181818,0.366176297021732,5,4,4,0,4,4,5.8915901647237305,balanced,10,16,4,medium,0.055
1,oracle,Oracle planner/controller,mint>cobalt>amber>depot,1,71,5.68,71,0,0.0,0,0.0,0,0.0,0.4610083727701929,2,4,0,0,4,4,5.270922027712362,balanced,10,16,4,medium,0.055
2,controller_only,Controller only,amber>mint>cobalt>depot,0,260,20.8,260,0,0.0,0,0.0,244,0.9384615384615385,0.39152085848160983,22,0,0,0,1,4,19.202445423260063,balanced,10,16,4,medium,0.055
2,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,0,260,20.8,150,110,0.4230769230769231,6,0.04,48,0.32,1.1140807445203673,14,11,11,0,2,4,16.446517985784226,balanced,10,16,4,medium,0.055
2,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,144,11.52,105,39,0.2708333333333333,0,0.0,0,0.0,0.421984918689282,15,4,4,0,4,4,8.5586229621035,balanced,10,16,4,medium,0.055
2,async_online,Asynchronous online,amber>mint>cobalt>depot,1,104,8.32,95,9,0.08653846153846154,1,0.010526315789473684,1,0.010526315789473684,0.3792915818921359,5,4,4,0,4,4,6.6820024718920115,balanced,10,16,4,medium,0.055
2,oracle,Oracle planner/controller,amber>mint>cobalt>depot,1,98,7.84,98,0,0.0,0,0.0,0,0.0,0.33373338195211416,9,4,0,0,4,4,6.514842066510345,balanced,10,16,4,medium,0.055
3,controller_only,Controller only,mint>amber>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.4060278665826759,25,0,0,0,0,3,19.161184869958017,balanced,10,16,4,medium,0.055
3,direct_blocking,Direct planner actions,mint>amber>depot,1,164,13.120000000000001,94,70,0.4268292682926829,18,0.19148936170212766,32,0.3404255319148936,1.2875956697002475,13,7,7,0,3,3,7.662742704950066,balanced,10,16,4,medium,0.055
3,sync_instruction,Synchronous instructions,mint>amber>depot,1,96,7.68,67,29,0.3020833333333333,0,0.0,0,0.0,0.4082236624657452,5,3,3,0,3,3,5.70963998234565,balanced,10,16,4,medium,0.055
3,async_online,Asynchronous online,mint>amber>depot,1,76,6.08,67,9,0.11842105263157894,5,0.07462686567164178,5,0.07462686567164178,0.3357807455544317,0,3,3,0,3,3,5.009488609725764,balanced,10,16,4,medium,0.055
3,oracle,Oracle planner/controller,mint>amber>depot,1,59,4.72,59,0,0.0,0,0.0,0,0.0,0.3922659082830642,0,3,0,0,3,3,4.417276664471699,balanced,10,16,4,medium,0.055
4,controller_only,Controller only,cobalt>mint>depot,0,260,20.8,260,0,0.0,0,0.0,241,0.926923076923077,0.36796211561233716,29,0,0,0,1,3,19.42829073264578,balanced,10,16,4,medium,0.055
4,direct_blocking,Direct planner actions,cobalt>mint>depot,1,216,17.28,126,90,0.4166666666666667,7,0.05555555555555555,35,0.2777777777777778,1.2141202170128762,17,9,9,0,3,3,11.8569109233553,balanced,10,16,4,medium,0.055
