ablation,value,safe_set,seed,interactions,interaction_auc,chain_success,catch_success,control_error,prediction_error,transition_margin,p10_transition_margin,unsafe_command_rate,raw_unsafe_proposal_rate,violation_rate,filter_intervention_rate,mean_confidence,mean_correction_norm
memory_width,0.18,1,41,12,0.013888888888888888,0.3,0.802,0.30886104951165416,0.30886174661022425,0.15713968281925744,-0.028028918392747647,0.0,0.0,0.0,0.0,0.05678208560948015,0.02283202457122349
memory_width,0.18,1,42,12,0.20833333333333334,0.62,0.914,0.31067303251829453,0.31068285560431036,0.15474663932682664,0.005687154977773416,0.0,0.0,0.0,0.0,0.06172012028741225,0.02890031257615086
memory_width,0.18,1,43,12,0.05555555555555555,0.47,0.866,0.2974203902449773,0.29742197128596104,0.1696578111731592,-0.02206437561092035,0.0,0.0,0.0,0.0,0.059012757363217275,0.025211806129373716
memory_width,0.35,1,41,12,0.5138888888888888,1.0,1.0,0.23610430804407975,0.23610515688557354,0.2365224028591018,0.11078678043707457,0.0,0.0,0.0,0.0,0.1999473455961916,0.08782543636651564
memory_width,0.35,1,42,12,0.5,1.0,1.0,0.2216166339689225,0.2216189031227177,0.2523726340685707,0.17436453092362178,0.0,0.0,0.0,0.0,0.21446478382811168,0.10846851741944144
memory_width,0.35,1,43,12,0.5,1.0,1.0,0.22187290948319402,0.22187369891516226,0.25200363698524536,0.1287020324752394,0.0,0.0,0.0,0.0,0.20040141543708345,0.09240528872580148
memory_width,0.72,1,41,12,0.5138888888888888,1.0,1.0,0.1399531045668316,0.13995350858283,0.3422440233765321,0.19427784303621007,0.0,0.0,0.0,0.0,0.407553716116266,0.18253254940895122
memory_width,0.72,1,42,12,0.5,1.0,1.0,0.1165545015454507,0.11655487337708022,0.368293468444225,0.26220604520907,0.0,0.0,0.0,0.0,0.4125892061689847,0.21279605782136168
memory_width,0.72,1,43,12,0.5,1.0,1.0,0.1268841084645277,0.12688433634962273,0.35620438208250726,0.21644506931818916,0.0,0.0,0.0,0.0,0.3964663479585485,0.18588691492228224
memory_width,1.2,1,41,12,0.5138888888888888,1.0,1.0,0.12466208560209042,0.12466247766430015,0.35907381701308655,0.21286012691428108,0.0,0.0,0.0,0.0,0.49372332501122185,0.22042992107474083
memory_width,1.2,1,42,12,0.5,1.0,1.0,0.10600119210823522,0.10600168694833811,0.38012860532778636,0.2796036626937971,0.0,0.0,0.0,0.0,0.48559840077966604,0.2506217090430131
memory_width,1.2,1,43,12,0.5,1.0,1.0,0.11686724885011064,0.11686755796667139,0.3674510509192992,0.23266378623544312,0.0,0.0,0.0,0.0,0.479898944126244,0.22478257623924464
memory_width,2.0,1,41,12,0.5138888888888888,1.0,1.0,0.1251435981881733,0.1251439818213955,0.35860488158106946,0.2207811942385145,0.0,0.0,0.0,0.0,0.5297486842408301,0.23566843916827654
memory_width,2.0,1,42,12,0.5,1.0,1.0,0.10795557497448162,0.10795609029629671,0.37801466781592175,0.2855738482719146,0.0,0.0,0.0,0.0,0.514432307854562,0.26526375217726356
memory_width,2.0,1,43,12,0.5,1.0,1.0,0.11977266367820773,0.11977299462240026,0.3642624898841398,0.2400008560473047,0.0,0.0,0.0,0.0,0.51472393577715,0.2405352722698789
regularization,0.01,1,41,12,0.5138888888888888,1.0,1.0,0.13631579543577607,0.1363162349498087,0.3462553202078979,0.19915734533150728,0.0,0.0,0.0,0.0,0.4073948417899112,0.18678077386033243
regularization,0.01,1,42,12,0.5,1.0,1.0,0.11280460815809738,0.1128049943128997,0.3724782961359117,0.26754256611910127,0.0,0.0,0.0,0.0,0.4124909144839247,0.21731119308896565
regularization,0.01,1,43,12,0.5,1.0,1.0,0.12326554856735604,0.12326579809289764,0.3601967757859676,0.22114212396947938,0.0,0.0,0.0,0.0,0.39634948847433826,0.19018296178571395
regularization,0.16,1,41,12,0.5138888888888888,1.0,1.0,0.1399531045668316,0.13995350858283,0.3422440233765321,0.19427784303621007,0.0,0.0,0.0,0.0,0.407553716116266,0.18253254940895122
