method,safe_set,seed,samples,interaction_auc,interactions_to_70,adapt_chain_success,adapt_catch_success,adapt_control_error,adapt_prediction_error,adapt_transition_margin,adapt_p10_transition_margin,adapt_unsafe_command_rate,adapt_raw_unsafe_proposal_rate,adapt_violation_rate,adapt_filter_intervention_rate,adapt_mean_confidence,adapt_mean_correction_norm,source_chain_success,source_catch_success,source_control_error,source_prediction_error,source_transition_margin,source_p10_transition_margin,source_unsafe_command_rate,source_raw_unsafe_proposal_rate,source_violation_rate,source_filter_intervention_rate,source_mean_confidence,source_mean_correction_norm,ood_chain_success,ood_catch_success,ood_control_error,ood_prediction_error,ood_transition_margin,ood_p10_transition_margin,ood_unsafe_command_rate,ood_raw_unsafe_proposal_rate,ood_violation_rate,ood_filter_intervention_rate,ood_mean_confidence,ood_mean_correction_norm,source_chain_retention,source_control_retention
global_replacement,0,41,240,0.9212962962962963,40.0,1.0,1.0,0.03830009933095945,0.032011266239850206,0.4568731634236011,0.42385555205873304,0.004,0.004,0.0,0.0,1.0,0.4356036619876637,0.01,0.296,0.7812701736285674,1.187651040480164,-0.3987445649392781,-1.1172202555469932,0.616,0.616,0.56,0.0,1.0,1.1605370741133354,0.0,0.09,0.8433938364104494,0.9452256414312654,-0.45767796640786435,-0.8486866680858167,0.876,0.876,0.796,0.0,1.0,0.9351388529818783,-0.99,-0.7059379748600669
global_replacement,0,42,240,0.9548611111111112,20.0,0.99,0.998,0.04598392436004302,0.028062217883864433,0.44867216971489754,0.3872218991042987,0.016,0.016,0.002,0.0,1.0,0.42974189326126927,0.0,0.228,0.8536516410499196,1.4030159989027688,-0.48984120198203585,-1.1750360916896454,0.722,0.722,0.664,0.0,1.0,1.3710892435249138,0.07,0.604,0.4709193863829643,0.5575591452017713,-0.04970015236160647,-0.6513450059398198,0.294,0.294,0.264,0.0,1.0,0.5654460900713589,-1.0,-0.7776170828657925
global_replacement,0,43,240,0.9467592592592593,20.0,0.99,0.998,0.04939932664229217,0.034844186731598954,0.4445033242543348,0.3942621942682821,0.018,0.018,0.0,0.0,1.0,0.4420524415433525,0.12,0.682,0.3749531450113649,0.4653451476544636,0.07331653263642743,-0.5122482073342105,0.15,0.15,0.206,0.0,1.0,0.45051847997227024,0.57,0.884,0.2995374917777108,0.27399075302855214,0.16134867709251746,-0.01332045126939357,0.09,0.09,0.032,0.0,1.0,0.30651342928349495,-0.88,-0.29981649418339634
global_replacement,0,44,240,0.9537037037037038,20.0,0.97,0.994,0.05019349173633726,0.036929814443451774,0.4437576262055104,0.3899677842862342,0.02,0.02,0.0,0.0,1.0,0.41949972443830114,0.0,0.364,0.7304048201903627,1.047356891548221,-0.33826174095027933,-1.1959615058967032,0.374,0.374,0.536,0.0,1.0,0.9864085617019281,0.88,0.974,0.1855387566494463,0.1583426824630048,0.29180382187725545,0.1761120104862414,0.01,0.01,0.004,0.0,1.0,0.19228858937961985,-1.0,-0.6553250496027886
global_replacement,0,45,240,0.9259259259259259,20.0,0.98,0.996,0.05006031935999235,0.03126511742079995,0.44473510250193976,0.40397456644868207,0.02,0.02,0.0,0.0,1.0,0.4338473790391939,0.0,0.392,0.7171183526667319,1.0611027419846188,-0.32582338469645983,-1.1457513407649784,0.534,0.534,0.506,0.0,1.0,1.0321353524850614,0.68,0.928,0.18808293356425007,0.196214036550279,0.285277540002201,0.0728427053903499,0.016,0.016,0.026,0.0,1.0,0.220078077371215,-1.0,-0.6448622997359933
global_replacement,1,41,240,0.9583333333333334,20.0,1.0,1.0,0.04028911617322838,0.03231220737129395,0.45408433827405487,0.42888957454721327,0.0,0.004,0.0,0.004,1.0,0.42816185987751854,0.05,0.618,0.39081269777045324,0.6345672868148694,0.048653354580632496,-0.4878033543598974,0.048,0.372,0.286,0.372,1.0,0.6110706152023747,0.02,0.466,0.4198243571915556,0.432936340310011,0.01977834045484037,-0.10050195824587416,0.002,0.434,0.004,0.434,1.0,0.4457343499010772,-0.95,-0.31548049900195274
global_replacement,1,42,240,0.9560185185185186,20.0,1.0,1.0,0.049328081313541806,0.02981515799803406,0.4451561540534114,0.38086732438288134,0.0,0.022,0.0,0.022,1.0,0.4342366650465458,0.0,0.522,0.4393713748523703,0.8053104751836172,-0.0046776997605392995,-0.4583116082917237,0.058,0.552,0.312,0.552,1.0,0.7470441926731345,0.1,0.632,0.37295090553560545,0.4683940923517108,0.06014155903075816,-0.22056115864300013,0.002,0.216,0.14,0.216,1.0,0.4751948800991553,-1.0,-0.36333681666824313
global_replacement,1,43,240,0.9513888888888888,20.0,0.99,0.998,0.07657777639085811,0.03259112018538345,0.41618190737241934,0.27719332057227053,0.0,0.07,0.002,0.07,1.0,0.42943944406740786,0.06,0.516,0.45049901808260606,0.8782960859889252,-0.02546656402855371,-0.6129634442890755,0.198,0.662,0.362,0.662,1.0,0.8036972819203597,0.03,0.508,0.4209089446380135,0.5472257098833088,0.011932913139611038,-0.19523676340767088,0.002,0.462,0.118,0.462,1.0,0.5493476054326729,-0.94,-0.3753623672546375
global_replacement,1,44,240,0.951388888888889,20.0,0.96,0.992,0.054243677082518614,0.037488769811099186,0.43910241297005703,0.36208920615490375,0.0,0.026,0.004,0.026,1.0,0.4228540439285125,0.03,0.536,0.4197243721862045,0.8291688487635538,0.015344743359463195,-0.4971725622553803,0.136,0.652,0.328,0.652,1.0,0.7637184372748127,0.71,0.934,0.25254979801384686,0.23714050221944447,0.21255767913183302,0.031236426620047497,0.0,0.046,0.004,0.046,1.0,0.2632104632943498,-0.97,-0.3446446015986304
global_replacement,1,45,240,0.9560185185185186,20.0,1.0,1.0,0.07239192782300072,0.032923341432579696,0.42057499726303155,0.30707100473992116,0.0,0.074,0.0,0.074,1.0,0.4263334715279371,0.02,0.522,0.4361582726935655,0.6314133680532014,0.0026859064973043844,-0.41942576712751556,0.024,0.294,0.366,0.294,1.0,0.5921939257687339,0.77,0.946,0.26105809327166046,0.2119023503756765,0.20855489254653314,0.05507834587027671,0.0,0.03,0.002,0.03,1.0,0.2414478969593922,-0.98,-0.3639022197628269
residual_finetune,0,41,240,0.9537037037037037,20.0,1.0,1.0,0.04201746089949264,0.031692676590328234,0.45237378388721744,0.42401985432004624,0.006,0.006,0.0,0.0,1.0,0.42674056918028214,0.0,0.416,0.6709295467325274,1.0065161857752993,-0.2782405931554015,-1.122421854708733,0.462,0.462,0.468,0.0,1.0,0.9809616388564598,0.34,0.748,0.37919021640738504,0.36871401744415266,0.07215365230018063,-0.14589668341209638,0.164,0.164,0.08,0.0,1.0,0.394615603719826,-1.0,-0.5955973479640269
residual_finetune,0,42,240,0.9479166666666666,20.0,0.98,0.996,0.045049275932144243,0.029636092827833287,0.4497391423386307,0.39512958627451883,0.014,0.014,0.002,0.0,1.0,0.4339525408426563,0.0,0.224,0.8644344895711535,1.4269772360309496,-0.49503056042978105,-1.2017664251653462,0.69,0.69,0.684,0.0,1.0,1.3929879391741438,0.12,0.69,0.38476623815620403,0.4497466606096548,0.0479691280488223,-0.3586920588264913,0.194,0.194,0.172,0.0,1.0,0.46042731758067995,-1.0,-0.7883999313870264
residual_finetune,0,43,240,0.9293981481481484,20.0,0.97,0.994,0.06759802614525262,0.0295332910811035,0.42532705496653306,0.3178661022677019,0.046,0.046,0.002,0.0,1.0,0.4288654950138947,0.0,0.37,0.7671897958770619,1.1679965708596618,-0.40152851151240804,-1.2435843783150689,0.416,0.416,0.554,0.0,1.0,1.113156505814828,0.03,0.446,0.5718730393953743,0.6384398927904544,-0.16436231538232612,-0.7605245709302433,0.43,0.43,0.368,0.0,1.0,0.6448039265973957,-1.0,-0.6920531450490934
residual_finetune,0,44,240,0.9513888888888891,20.0,0.94,0.988,0.051649944137154916,0.038257672337002474,0.44152604958856045,0.3771286331225875,0.014,0.014,0.0,0.0,1.0,0.42385225077282496,0.0,0.274,0.8881213221194832,1.4987847941032468,-0.5263152914419672,-1.2330363433026852,0.668,0.668,0.63,0.0,1.0,1.4577758358836508,0.58,0.9,0.2541626870571962,0.268707760249496,0.2063753701343848,0.0018252223344483662,0.054,0.054,0.034,0.0,1.0,0.293942296729973,-1.0,-0.8130415515319092
