trial,method,success,collision,timed_out,duration_s,min_clearance,ood_fraction,path_error_mean,path_error_max,jerk_proxy
trial_000,nominal,0,1,0,4.340,-0.1186,0.0000,0.0003,0.0007,0.0000
trial_000,reactive_cbf_like,1,0,0,6.335,0.0055,0.0000,0.0046,0.0190,1.1967
trial_000,pacs_time_law,1,0,0,6.125,0.1981,0.0000,0.0003,0.0007,0.7223
trial_001,nominal,0,1,0,4.340,-0.0977,0.0000,0.0003,0.0007,0.0000
trial_001,reactive_cbf_like,1,0,0,6.650,0.0515,0.2565,0.0185,0.0700,4.6212
trial_001,pacs_time_law,1,0,0,5.425,0.0823,0.0000,0.0003,0.0008,0.5751
trial_002,nominal,0,1,0,4.340,-0.0860,0.0000,0.0003,0.0007,0.0000
trial_002,reactive_cbf_like,0,1,0,6.615,-0.0389,0.1895,0.0151,0.0556,3.2791
trial_002,pacs_time_law,1,0,0,6.650,0.1966,0.0000,0.0003,0.0007,0.5128
trial_003,nominal,0,1,0,4.340,-0.0820,0.0000,0.0003,0.0007,0.0000
trial_003,reactive_cbf_like,1,0,0,6.265,0.0995,0.0000,0.0031,0.0096,1.0702
trial_003,pacs_time_law,1,0,0,5.425,0.2008,0.0000,0.0003,0.0008,0.7200
trial_004,nominal,0,1,0,4.340,-0.0962,0.0000,0.0003,0.0007,0.0000
trial_004,reactive_cbf_like,1,0,0,6.475,0.0511,0.2151,0.0150,0.0534,3.6610
trial_004,pacs_time_law,1,0,0,5.915,0.0902,0.0000,0.0003,0.0007,0.5272
trial_005,nominal,0,1,0,4.340,-0.0208,0.0000,0.0003,0.0007,0.0000
trial_005,reactive_cbf_like,1,0,0,6.300,0.1195,0.0000,0.0029,0.0081,0.9280
trial_005,pacs_time_law,1,0,0,5.390,0.2012,0.0000,0.0003,0.0007,0.5889
trial_006,nominal,0,1,0,4.340,-0.1291,0.0000,0.0003,0.0007,0.0000
trial_006,reactive_cbf_like,1,0,0,6.370,0.0323,0.2350,0.0170,0.0578,4.4585
trial_006,pacs_time_law,1,0,0,6.475,0.2006,0.0000,0.0003,0.0008,0.4960
trial_007,nominal,0,1,0,4.340,-0.0649,0.0000,0.0003,0.0007,0.0000
trial_007,reactive_cbf_like,0,1,0,5.810,-0.1017,0.5210,0.0456,0.1437,13.1583
trial_007,pacs_time_law,1,0,0,6.790,0.1393,0.0000,0.0002,0.0008,0.5625
trial_008,nominal,0,1,0,4.340,-0.0040,0.0000,0.0003,0.0007,0.0000
trial_008,reactive_cbf_like,0,1,0,6.580,-0.0017,0.0000,0.0053,0.0290,1.1665
trial_008,pacs_time_law,1,0,0,6.020,0.1988,0.0000,0.0003,0.0007,0.6562
trial_009,nominal,0,1,0,4.340,-0.1444,0.0000,0.0003,0.0007,0.0000
trial_009,reactive_cbf_like,1,0,0,6.405,0.0238,0.2283,0.0167,0.0596,4.0626
trial_009,pacs_time_law,1,0,0,6.440,0.2000,0.0000,0.0003,0.0009,0.5083
trial_010,nominal,0,1,0,4.340,-0.1212,0.0000,0.0003,0.0007,0.0000
trial_010,reactive_cbf_like,0,1,0,6.545,-0.0236,0.1117,0.0109,0.0431,3.2434
trial_010,pacs_time_law,1,0,0,6.510,0.1926,0.0000,0.0003,0.0008,0.6685
trial_011,nominal,0,1,0,4.340,-0.0644,0.0000,0.0003,0.0007,0.0000
trial_011,reactive_cbf_like,1,0,0,6.300,0.0768,0.0000,0.0074,0.0342,0.9061
trial_011,pacs_time_law,1,0,0,6.020,0.2012,0.0000,0.0003,0.0008,0.4534
trial_012,nominal,0,1,0,4.340,-0.0669,0.0000,0.0003,0.0007,0.0000
trial_012,reactive_cbf_like,0,0,0,6.755,0.0416,0.4485,0.0305,0.0860,5.6220
trial_012,pacs_time_law,1,0,0,5.950,0.1976,0.0000,0.0003,0.0007,0.7747
trial_013,nominal,0,1,0,4.340,-0.0877,0.0000,0.0003,0.0007,0.0000
trial_013,reactive_cbf_like,1,0,0,6.370,0.1062,0.0000,0.0041,0.0148,0.9052
trial_013,pacs_time_law,1,0,0,5.530,0.2023,0.0000,0.0003,0.0008,0.5747
trial_014,nominal,0,1,0,4.340,-0.1264,0.0000,0.0003,0.0007,0.0000
trial_014,reactive_cbf_like,1,0,0,6.545,0.0326,0.2872,0.0179,0.0601,4.9017
trial_014,pacs_time_law,1,0,0,6.755,0.1969,0.0000,0.0003,0.0007,0.5737
trial_015,nominal,0,1,0,4.340,-0.1363,0.0000,0.0003,0.0007,0.0000
trial_015,reactive_cbf_like,1,0,0,6.475,0.0262,0.1828,0.0132,0.0498,3.9613
trial_015,pacs_time_law,1,0,0,5.950,0.0832,0.0000,0.0003,0.0007,0.5241
trial_016,nominal,0,1,0,4.340,-0.0081,0.0000,0.0003,0.0007,0.0000
trial_016,reactive_cbf_like,1,0,0,6.335,0.0730,0.1374,0.0111,0.0404,2.7134
trial_016,pacs_time_law,1,0,0,5.600,0.0796,0.0000,0.0003,0.0007,0.5571
trial_017,nominal,0,1,0,4.340,-0.1068,0.0000,0.0003,0.0007,0.0000
trial_017,reactive_cbf_like,1,0,0,6.300,0.0465,0.0000,0.0062,0.0313,1.0332
trial_017,pacs_time_law,1,0,0,6.055,0.2006,0.0000,0.0003,0.0008,0.4961
trial_018,nominal,0,1,0,4.340,-0.1134,0.0000,0.0003,0.0007,0.0000
trial_018,reactive_cbf_like,0,1,0,6.545,-0.0338,0.0532,0.0088,0.0389,1.8431
trial_018,pacs_time_law,1,0,0,6.615,0.1987,0.0000,0.0005,0.0008,0.5793
trial_019,nominal,0,1,0,4.340,-0.1283,0.0000,0.0003,0.0007,0.0000
trial_019,reactive_cbf_like,0,1,0,6.755,-0.0487,0.1031,0.0102,0.0768,3.2185
trial_019,pacs_time_law,1,0,0,5.915,0.0635,0.0000,0.0003,0.0008,0.5272
trial_020,nominal,0,1,0,4.340,-0.1259,0.0000,0.0003,0.0007,0.0000
trial_020,reactive_cbf_like,0,1,0,6.790,-0.0071,0.1282,0.0121,0.0770,1.9839
trial_020,pacs_time_law,1,0,0,5.810,0.0889,0.0000,0.0003,0.0008,0.5938
trial_021,nominal,1,0,0,4.340,0.0036,0.0000,0.0003,0.0007,0.0000
trial_021,reactive_cbf_like,1,0,0,6.195,0.1235,0.0000,0.0050,0.0211,1.0144
trial_021,pacs_time_law,1,0,0,5.390,0.1718,0.0000,0.0003,0.0009,0.6571
trial_022,nominal,0,1,0,4.340,-0.0762,0.0000,0.0003,0.0007,0.0000
trial_022,reactive_cbf_like,0,1,0,6.860,-0.0393,0.0609,0.0088,0.0546,1.6787
trial_022,pacs_time_law,1,0,0,6.860,0.1990,0.0000,0.0003,0.0008,0.6167
trial_023,nominal,0,1,0,4.340,-0.0944,0.0000,0.0003,0.0007,0.0000
trial_023,reactive_cbf_like,0,1,0,6.650,-0.0996,0.0471,0.0066,0.0601,2.1451
trial_023,pacs_time_law,1,0,0,6.720,0.1496,0.0000,0.0002,0.0007,0.5730
trial_024,nominal,1,0,0,4.340,0.0581,0.0000,0.0003,0.0007,0.0000
trial_024,reactive_cbf_like,0,1,0,6.895,-0.0754,0.6616,0.0832,0.2388,7.6306
trial_024,pacs_time_law,1,0,0,6.370,0.1615,0.0000,0.0002,0.0008,0.6195
trial_025,nominal,0,1,0,4.340,-0.1000,0.0000,0.0003,0.0007,0.0000
trial_025,reactive_cbf_like,1,0,0,6.335,0.0344,0.0000,0.0058,0.0312,1.1661
trial_025,pacs_time_law,1,0,0,5.845,0.1969,0.0000,0.0003,0.0008,0.5819
trial_026,nominal,1,0,0,4.340,0.0529,0.0000,0.0003,0.0007,0.0000
trial_026,reactive_cbf_like,0,1,0,5.670,-0.0275,0.6074,0.0675,0.1494,8.7393
trial_026,pacs_time_law,1,0,0,6.650,0.2004,0.0000,0.0003,0.0008,0.5825
trial_027,nominal,1,0,0,4.340,0.0094,0.0000,0.0003,0.0007,0.0000
trial_027,reactive_cbf_like,1,0,0,6.230,0.1064,0.0000,0.0059,0.0267,0.9221
trial_027,pacs_time_law,1,0,0,5.425,0.1381,0.0000,0.0003,0.0008,0.5751
trial_028,nominal,0,1,0,4.340,-0.1017,0.0000,0.0003,0.0007,0.0000
trial_028,reactive_cbf_like,1,0,0,6.510,0.0588,0.2834,0.0172,0.0561,4.9089
trial_028,pacs_time_law,1,0,0,6.825,0.1987,0.0000,0.0002,0.0008,0.5354
