method,severity,n,success_mean,success_sem,tracking_rmse_mean,tracking_rmse_sem,tail_rmse_mean,tail_rmse_sem,final_error_mean,final_error_sem,policy_rmse_mean,policy_rmse_sem,action_jerk_mean,action_jerk_sem,control_effort_mean,control_effort_sem,latent_rmse_mean,latent_rmse_sem
oracle,0.0,64.0,1.0,0.0,0.1430641822180132,0.010470154860507968,0.021536270328266337,4.618093838082895e-06,0.022208856624691964,1.8646385278410298e-06,0.0,0.0,0.04790257087206055,0.002722779275262236,0.3295721096644783,0.01812757432742323,0.0,0.0
open_loop,0.0,64.0,1.0,0.0,0.14901832399420317,0.009963988112737918,0.05491669099675584,0.0008126237395337574,0.0617050817826729,0.0008127916478233385,0.08475242470205535,0.002470097978615804,0.04810145971770256,0.0027359235527989953,0.329456583474973,0.01815697057434607,0.010286701663663161,0.00032785273350407205
pred_error_w8,0.0,64.0,1.0,0.0,0.14369256097585842,0.0104538014916325,0.023517366218982497,0.0004294199272893223,0.022652164447090874,0.0010773072822639592,0.09529158190455046,0.0008085620278259562,0.13233490599888842,0.0011564291931698907,0.3479950141549303,0.01679808080538596,0.02111489979600442,0.000286340982367158
history_h4,0.0,64.0,1.0,0.0,0.16150254613966597,0.010559735436874145,0.02455283637195544,0.0010886416494633505,0.021638137659646145,0.001591757359118097,0.15254061701071162,0.00523192175662761,0.07906730809849628,0.0027001304945130085,0.35560389503719225,0.0202051778677511,nan,nan
history_h16,0.0,64.0,1.0,0.0,0.15454336546718916,0.010122016984866488,0.029536915237885014,0.0010951278864560678,0.02980589588426144,0.0016092411161595713,0.1313430636642301,0.004702224881211796,0.06681662905786316,0.002912951354786221,0.34460227351864114,0.01860420202768388,nan,nan
history_h16_chunk4,0.0,64.0,1.0,0.0,0.17182037152836943,0.010900092293720572,0.036713989850415185,0.0016264341662703121,0.03411140125843651,0.0029260933333213122,0.20427550410838752,0.00870146783010043,0.05660353857785285,0.002322790242286888,0.26668067635475273,0.011194020863179367,nan,nan
oracle,0.5,64.0,1.0,0.0,0.1719361909107702,0.008710575506370189,0.08351471983212008,0.004307596201468457,0.06733067636154347,0.006336082361857279,0.0,0.0,0.06215451675304463,0.0021530558124786612,0.474182474778432,0.013757825127968396,0.0,0.0
open_loop,0.5,64.0,0.03125,0.021921011700381302,2.4571957178075827,0.22092254272221248,3.850171008850554,0.3884806828559831,4.577632920368584,0.4970523891357532,2.038596611619499,0.052499999515129854,0.04810145971770256,0.0027359235527989953,0.329456583474973,0.01815697057434607,1.3686669726170506,0.08196817869125818
pred_error_w8,0.5,64.0,1.0,0.0,0.18576411372786772,0.008386191421241551,0.1129974300787503,0.007188935638136443,0.10176757514032987,0.010246063290392935,0.17463697522373808,0.008253796055149277,0.1370915253679414,0.0012212653400860466,0.49439673017061997,0.013248280751211258,0.03749648537346509,0.0023282492053561255
history_h4,0.5,64.0,1.0,0.0,0.21052648924684092,0.008297121185388324,0.13253044804853933,0.007567393176866203,0.1128949279555348,0.010613492868151603,0.23749799370667463,0.007331025385652783,0.09013548502167926,0.0025551163267580213,0.5152145408717916,0.01594023569053268,nan,nan
history_h16,0.5,64.0,1.0,0.0,0.2001074983176903,0.008010093499816223,0.12439911453917869,0.007065620981236561,0.10878638506958756,0.010334988889821798,0.21437591521572294,0.007700918399787199,0.08095880124107992,0.0026608176379395326,0.506571332808814,0.014860229457942204,nan,nan
history_h16_chunk4,0.5,64.0,1.0,0.0,0.2370868658290934,0.008630442339767114,0.15998813702322617,0.008695488675517601,0.1314915746149133,0.01295613442752201,0.3235523899900759,0.008591423305375176,0.07927488481667026,0.0021432069198433013,0.4681581470566682,0.011241325363442673,nan,nan
oracle,1.0,64.0,0.984375,0.015625,0.23771294788507308,0.008144911244222744,0.17614806668005942,0.010371984975230751,0.13801362725895064,0.012821806824439506,0.0,0.0,0.08839770395039528,0.0020516306029400334,0.7375951192391919,0.017700283255274268,0.0,0.0
open_loop,1.0,64.0,0.015625,0.015625,4.895918973249373,0.4430151170415597,7.693498886786822,0.7768727983075242,9.149740707215152,0.9936570426393605,2.308625263244404,0.04756813860319011,0.04810145971770256,0.0027359235527989953,0.329456583474973,0.01815697057434607,2.7366396241934687,0.16397167353670858
pred_error_w8,1.0,64.0,0.859375,0.043797805514170944,0.292258066113482,0.013417632601675791,0.27505060275972987,0.025895035129246537,0.24151816363113704,0.032145681191064354,0.3098416481934146,0.020841831639677913,0.14840368852558705,0.0016262334917611085,0.7647916152696096,0.017795026789744994,0.09622101466216254,0.014811967809530474
history_h4,1.0,64.0,0.890625,0.039322054350368486,0.3021150421642838,0.008709894729046914,0.2627530889294355,0.0150138842401393,0.22244452644456944,0.02129943611515205,0.3412134978244925,0.012690405780673009,0.11659609059662278,0.00272555725282696,0.8071713402763152,0.020270639075995734,nan,nan
history_h16,1.0,64.0,0.90625,0.036723103212062694,0.2851842961574859,0.008240624499667486,0.24517056653060948,0.0138263772310182,0.21296787922268834,0.02012177521568805,0.32331253858711106,0.01367323878653233,0.11188119285369087,0.0027893732331922896,0.8009065091870791,0.019395707760949173,nan,nan
history_h16_chunk4,1.0,64.0,0.75,0.05455447255899809,0.3547307741262837,0.009877059627736821,0.31556444077725404,0.017223864910414916,0.2565671084042165,0.025322518889251803,0.44769070717011217,0.011488700363112387,0.12358069282908668,0.0027287376192620494,0.809795821853267,0.019957795245605918,nan,nan
oracle,1.5,64.0,0.75,0.05455447255899809,0.3495577970663663,0.014378521029069516,0.3116780450703437,0.023779758739759172,0.23672095973314203,0.024224076928574076,0.0,0.0,0.11549999929562181,0.00243808050362687,1.025630082182098,0.025632118801055162,0.0,0.0
open_loop,1.5,64.0,0.0,0.0,7.337804118705627,0.6648885837988538,11.536904482475023,1.1652732018123473,13.721848494061717,1.49028196505778,2.4289158585255706,0.045672863791895446,0.04810145971770256,0.0027359235527989953,0.329456583474973,0.01815697057434607,4.104623818690117,0.24597572556525898
pred_error_w8,1.5,64.0,0.5,0.06299407883487121,0.5106783818222704,0.03690115205282483,0.5852535555280711,0.06989698863338693,0.5569634598577873,0.10138355253430135,0.4390792369364417,0.029486746330005812,0.16279865902883692,0.002376657188620139,1.0490106234804653,0.02509628124431574,0.21218070299507644,0.032936360786490544
history_h4,1.5,64.0,0.640625,0.060451293443302384,0.40806356301079405,0.011856144308583203,0.39375478188170043,0.022509906248129905,0.3327804885556745,0.03200549509745052,0.45023492803452814,0.01769166422336546,0.1502071570177379,0.003377788295195798,1.1345822162413315,0.028908926921705835,nan,nan
history_h16,1.5,64.0,0.65625,0.05983919423477113,0.3837351177750197,0.011101360881620236,0.3672090524352996,0.020703789506159545,0.318133752351206,0.029999331531487445,0.4443547797057915,0.018932696204597914,0.1491704327164739,0.00341708969440745,1.1291513658328864,0.02788334117656819,nan,nan
history_h16_chunk4,1.5,64.0,0.421875,0.06222035653913551,0.4888338786681212,0.013992673840019244,0.47359613492874575,0.02617396811470234,0.383169459051843,0.03777978176698945,0.5607662761678094,0.014897287474125229,0.1731991660637493,0.0037299027475943378,1.1752460203795647,0.029939880703724053,nan,nan
