method,severity,trial,schedule_fingerprint,success,tracking_rmse,tail_rmse,final_error,policy_rmse,action_jerk,control_effort,latent_rmse,mean_inference_loss
oracle,0.0,0,3c5b95025bf0a39f,1.0,0.209115435502325,0.021488086014618914,0.022190095891846617,0.0,0.05978298205288186,0.4039731397855618,0.0,nan
open_loop,0.0,0,3c5b95025bf0a39f,1.0,0.2103926648339995,0.04677918836777557,0.05356745812893582,0.06015662963149669,0.05998195743636492,0.40409802953642554,0.0070327872339164665,0.0
pred_error_w8,0.0,0,3c5b95025bf0a39f,1.0,0.20765364744996506,0.020107637333288943,0.02700460554768558,0.089083834505703,0.1309540610803968,0.42848341563635545,0.020127532093316743,2.1700053055874936e-05
history_h4,0.0,0,3c5b95025bf0a39f,1.0,0.226908583699634,0.01421097407750558,0.01985211827988209,0.16822981924902006,0.09754322809810256,0.49123521644073576,nan,nan
history_h16,0.0,0,3c5b95025bf0a39f,1.0,0.21224430199582708,0.018753572690128596,0.030248258983022858,0.14067269332188942,0.09294813686575124,0.4803724248626003,nan,nan
history_h16_chunk4,0.0,0,3c5b95025bf0a39f,1.0,0.22329370701505732,0.015244088180943716,0.0029524798352937864,0.1643098919888586,0.06391654512702016,0.3144401502622009,nan,nan
oracle,0.0,1,656452b847b625a5,1.0,0.07521587148514064,0.021525891834942724,0.022205022548440034,0.0,0.035187883421110885,0.19641713557733245,0.0,nan
open_loop,0.0,1,656452b847b625a5,1.0,0.08133184072788972,0.051664385005552045,0.05845133915185752,0.07393628908364985,0.03525555685976075,0.19608528340178916,0.008805202796985972,0.0
pred_error_w8,0.0,1,656452b847b625a5,1.0,0.07539303656528581,0.024783872088291182,0.01241511441679144,0.09833296581353346,0.12655782418477515,0.21890014290911577,0.021183208210442023,2.2556102847930793e-05
history_h4,0.0,1,656452b847b625a5,1.0,0.08324623392417826,0.019790704794075943,0.002597806873470887,0.09775709521661481,0.06116307769057143,0.1997120780272291,nan,nan
history_h16,0.0,1,656452b847b625a5,1.0,0.0784074939138126,0.026773377139448565,0.012476030156436835,0.07944363328029425,0.04759639979332153,0.19788335571182225,nan,nan
history_h16_chunk4,0.0,1,656452b847b625a5,1.0,0.08064171102002021,0.031779234700101654,0.005179728663728511,0.11026395972836579,0.03622866562660226,0.1648422038727144,nan,nan
oracle,0.0,2,6641e8de6fff1141,1.0,0.23188367131356588,0.021596303999341166,0.02223481296208618,0.0,0.07929528360165511,0.5498742074682038,0.0,nan
open_loop,0.0,2,6641e8de6fff1141,1.0,0.23494745364070202,0.06380710659981861,0.07059254525309999,0.11232554556700987,0.07965057376349442,0.5496577391714154,0.014029606832573161,0.0
pred_error_w8,0.0,2,6641e8de6fff1141,1.0,0.23040812032596025,0.022882036608954923,0.027460647637376212,0.09894206893771408,0.1474925753538914,0.5676159946753552,0.02312847957876631,2.9184966579488314e-05
history_h4,0.0,2,6641e8de6fff1141,1.0,0.2529067028892342,0.015673901159759744,0.01911766278358229,0.17307345678672914,0.1074694291946281,0.5444061376598737,nan,nan
history_h16,0.0,2,6641e8de6fff1141,1.0,0.24563896314602732,0.020632384657170884,0.024552619158856537,0.13849248731222566,0.09479992174763859,0.5240684412703726,nan,nan
history_h16_chunk4,0.0,2,6641e8de6fff1141,1.0,0.2772162814824143,0.01482274842801202,0.00020176321344589354,0.2889386067246824,0.08485347529868209,0.3929618532435331,nan,nan
oracle,0.0,3,407b941626acd047,1.0,0.217366030730059,0.02157218404773855,0.022220637568337587,0.0,0.05939324087911448,0.430748369479099,0.0,nan
open_loop,0.0,3,407b941626acd047,1.0,0.2211124017203035,0.06314109052469699,0.06993013398379588,0.11053523873777804,0.059706670128842336,0.43120849098570674,0.01372552318394266,0.0
pred_error_w8,0.0,3,407b941626acd047,1.0,0.21690687754451096,0.018957628474233545,0.02774524406347556,0.09334230771064965,0.13546747821899924,0.4322827170387458,0.020122804859436585,3.1495456693217676e-05
history_h4,0.0,3,407b941626acd047,1.0,0.2400515850883632,0.030552872284896837,0.039040625774237725,0.21088112862328534,0.0990233500315771,0.4990184859784407,nan,nan
history_h16,0.0,3,407b941626acd047,1.0,0.2334758928092875,0.03561564676038743,0.04628174120640072,0.18645633909947154,0.08610036112343324,0.4802359545491529,nan,nan
history_h16_chunk4,0.0,3,407b941626acd047,1.0,0.2670737849881493,0.03321976804220102,0.023606479138164715,0.2752987037866633,0.07750456143219109,0.3568003963671354,nan,nan
oracle,0.0,4,82fa41f2183f515e,1.0,0.036464980451685836,0.02153747476784092,0.02220822422260138,0.0,0.013353008266566121,0.14190666383722833,0.0,nan
open_loop,0.0,4,82fa41f2183f515e,1.0,0.050906997961444454,0.055796401252081684,0.06258736514125385,0.08687854344167109,0.013441959473102252,0.1413874789306145,0.010509580610245903,0.0
