sweep,level,method,episodes,success_rate,task_completion
id_magnitude,0.0,success_only_bc,32,0.90625,0.90625
id_magnitude,0.0,generic_recovery_bc,32,0.0,0.0
id_magnitude,0.0,perturb_bridge_bc,32,0.96875,0.96875
id_magnitude,0.0,monolithic_resets,32,0.625,0.65625
id_magnitude,0.0,monitor_gated_reset_skills,32,0.9375,0.9583333333333333
id_magnitude,0.18,success_only_bc,32,0.34375,0.34375
id_magnitude,0.18,generic_recovery_bc,32,0.0,0.0
id_magnitude,0.18,perturb_bridge_bc,32,0.9375,0.9375
id_magnitude,0.18,monolithic_resets,32,0.84375,0.84375
id_magnitude,0.18,monitor_gated_reset_skills,32,0.9375,0.9375
id_magnitude,0.34,success_only_bc,32,0.25,0.25
id_magnitude,0.34,generic_recovery_bc,32,0.0,0.0
id_magnitude,0.34,perturb_bridge_bc,32,0.90625,0.9270833333333333
id_magnitude,0.34,monolithic_resets,32,0.9375,0.9375
id_magnitude,0.34,monitor_gated_reset_skills,32,0.9375,0.9791666666666666
id_magnitude,0.5,success_only_bc,32,0.125,0.125
id_magnitude,0.5,generic_recovery_bc,32,0.0,0.0
id_magnitude,0.5,perturb_bridge_bc,32,0.9375,0.9375
id_magnitude,0.5,monolithic_resets,32,0.78125,0.78125
id_magnitude,0.5,monitor_gated_reset_skills,32,0.9375,0.96875
id_magnitude,0.66,success_only_bc,32,0.15625,0.17708333333333334
id_magnitude,0.66,generic_recovery_bc,32,0.0,0.0
id_magnitude,0.66,perturb_bridge_bc,32,0.875,0.8958333333333333
id_magnitude,0.66,monolithic_resets,32,0.90625,0.90625
id_magnitude,0.66,monitor_gated_reset_skills,32,0.96875,0.96875
failure_type,toppled,success_only_bc,15,0.0,0.31111111111111106
failure_type,toppled,generic_recovery_bc,15,0.0,0.0
failure_type,toppled,perturb_bridge_bc,15,0.0,0.33333333333333326
failure_type,toppled,monolithic_resets,15,0.4,0.5777777777777777
failure_type,toppled,monitor_gated_reset_skills,15,0.13333333333333333,0.42222222222222217
failure_type,dropped,success_only_bc,15,0.0,0.33333333333333326
failure_type,dropped,generic_recovery_bc,15,0.0,0.0
failure_type,dropped,perturb_bridge_bc,15,0.0,0.33333333333333326
failure_type,dropped,monolithic_resets,15,0.2,0.4
failure_type,dropped,monitor_gated_reset_skills,15,0.6666666666666666,0.7555555555555556
failure_type,wedged,success_only_bc,15,0.0,0.33333333333333326
failure_type,wedged,generic_recovery_bc,15,0.0,0.0
failure_type,wedged,perturb_bridge_bc,15,0.0,0.33333333333333326
failure_type,wedged,monolithic_resets,15,0.8666666666666667,0.888888888888889
failure_type,wedged,monitor_gated_reset_skills,15,0.8666666666666667,0.8666666666666667
failure_type,robust,success_only_bc,45,0.0,0.08888888888888889
failure_type,robust,generic_recovery_bc,45,0.0,0.0
failure_type,robust,perturb_bridge_bc,45,0.0,0.31111111111111117
failure_type,robust,monolithic_resets,45,0.4222222222222222,0.5481481481481482
failure_type,robust,monitor_gated_reset_skills,45,0.4,0.5703703703703703
