method,split,episodes,success_rate,task_completion,mean_steps,mean_recovery_time,id_recovery_rate,ood_recovery_rate,false_resets_per_episode,compounding_failures_per_episode,reset_calls_per_episode
success_only_bc,all,120,0.15,0.3055555555555555,200.91666666666666,4.0,0.25,0.0,0.0,0.21666666666666667,0.0
success_only_bc,robust,45,0.0,0.08888888888888889,230.0,3.75,0.26666666666666666,0.0,0.0,0.2222222222222222,0.0
success_only_bc,id,15,0.2,0.2,191.6,5.0,0.2,nan,0.0,0.0,0.0
success_only_bc,toppled,15,0.0,0.31111111111111106,230.0,nan,nan,0.0,0.0,1.0666666666666667,0.0
success_only_bc,dropped,15,0.0,0.33333333333333326,230.0,nan,nan,0.0,0.0,0.0,0.0
success_only_bc,wedged,15,0.0,0.33333333333333326,230.0,nan,nan,0.0,0.0,0.0,0.0
success_only_bc,clean,15,1.0,1.0,35.733333333333334,nan,nan,nan,0.0,0.0,0.0
generic_recovery_bc,all,120,0.0,0.0,230.0,nan,0.0,nan,0.0,0.0,0.0
generic_recovery_bc,robust,45,0.0,0.0,230.0,nan,0.0,nan,0.0,0.0,0.0
generic_recovery_bc,id,15,0.0,0.0,230.0,nan,0.0,nan,0.0,0.0,0.0
generic_recovery_bc,toppled,15,0.0,0.0,230.0,nan,nan,nan,0.0,0.0,0.0
generic_recovery_bc,dropped,15,0.0,0.0,230.0,nan,nan,nan,0.0,0.0,0.0
generic_recovery_bc,wedged,15,0.0,0.0,230.0,nan,nan,nan,0.0,0.0,0.0
generic_recovery_bc,clean,15,0.0,0.0,230.0,nan,nan,nan,0.0,0.0,0.0
perturb_bridge_bc,all,120,0.23333333333333334,0.475,184.725,3.709090909090909,0.9166666666666666,0.0,0.0,0.275,0.0
perturb_bridge_bc,robust,45,0.0,0.31111111111111117,230.0,3.738095238095238,0.9333333333333333,0.0,0.0,0.3333333333333333,0.0
perturb_bridge_bc,id,15,0.8666666666666667,0.8666666666666667,62.6,3.6153846153846154,0.8666666666666667,nan,0.0,0.0,0.0
perturb_bridge_bc,toppled,15,0.0,0.33333333333333326,230.0,nan,nan,0.0,0.0,1.2,0.0
perturb_bridge_bc,dropped,15,0.0,0.33333333333333326,230.0,nan,nan,0.0,0.0,0.0,0.0
perturb_bridge_bc,wedged,15,0.0,0.33333333333333326,230.0,nan,nan,0.0,0.0,0.0,0.0
perturb_bridge_bc,clean,15,1.0,1.0,35.2,nan,nan,nan,0.0,0.0,0.0
monolithic_resets,all,120,0.55,0.6472222222222221,128.18333333333334,5.0115740740740735,0.9019607843137255,0.6714285714285714,5.025,0.16666666666666666,5.7
monolithic_resets,robust,45,0.4222222222222222,0.5481481481481482,152.73333333333332,5.17156862745098,0.8717948717948718,0.65625,5.955555555555556,0.15555555555555556,6.8
monolithic_resets,id,15,0.8,0.8,78.93333333333334,5.583333333333333,1.0,nan,1.3333333333333333,0.0,1.3333333333333333
monolithic_resets,toppled,15,0.4,0.5777777777777777,156.06666666666666,4.0,nan,0.5384615384615384,11.466666666666667,0.8666666666666667,12.666666666666666
monolithic_resets,dropped,15,0.2,0.4,193.46666666666667,3.4,nan,0.45454545454545453,7.0,0.0,7.733333333333333
monolithic_resets,wedged,15,0.8666666666666667,0.888888888888889,69.13333333333334,5.214285714285714,nan,1.0,1.0666666666666667,0.0,2.0
monolithic_resets,clean,15,0.8666666666666667,0.8666666666666667,69.66666666666667,nan,nan,nan,1.4666666666666666,0.0,1.4666666666666666
monitor_gated_reset_skills,all,120,0.5666666666666667,0.6888888888888888,122.68333333333334,4.368627450980392,1.0,0.5301204819277109,0.575,0.1,1.3916666666666666
monitor_gated_reset_skills,robust,45,0.4,0.5703703703703703,155.86666666666667,4.42962962962963,1.0,0.4634146341463415,0.5333333333333333,0.1111111111111111,1.6222222222222222
monitor_gated_reset_skills,id,15,0.8,0.8888888888888888,76.93333333333334,3.7333333333333334,1.0,nan,1.0666666666666667,0.13333333333333333,1.2
monitor_gated_reset_skills,toppled,15,0.13333333333333333,0.42222222222222217,204.6,4.5,nan,0.13333333333333333,0.3333333333333333,0.0,1.3333333333333333
monitor_gated_reset_skills,dropped,15,0.6666666666666666,0.7555555555555556,104.66666666666667,3.8,nan,0.7142857142857143,0.5333333333333333,0.06666666666666667,1.5333333333333334
monitor_gated_reset_skills,wedged,15,0.8666666666666667,0.8666666666666667,65.93333333333334,5.3076923076923075,nan,1.0,0.6666666666666666,0.13333333333333333,1.6666666666666667
monitor_gated_reset_skills,clean,15,0.8666666666666667,0.8666666666666667,61.733333333333334,nan,nan,nan,0.4,0.13333333333333333,0.5333333333333333
