trial,split,method,success,task_completion,steps,injected_failures,injected_id,injected_ood,recovered_failures,id_recovery_rate,ood_recovery_rate,mean_recovery_time,false_resets,reset_calls,monitor_misses,compounding_failures,robust_success
0,clean,success_only_bc,1,1.0,35,0,0,0,0,nan,nan,nan,0,0,0,0,nan
1,id,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,nan
2,toppled,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,1,nan
3,dropped,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
4,wedged,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
5,robust,success_only_bc,0,0.3333333333333333,230,2,1,1,1,1.0,0.0,4.0,0,0,0,1,0
6,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,2,0
7,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
8,clean,success_only_bc,1,1.0,35,0,0,0,0,nan,nan,nan,0,0,0,0,nan
9,id,success_only_bc,1,1.0,38,1,1,0,1,1.0,nan,5.0,0,0,0,0,nan
10,toppled,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,1,nan
11,dropped,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
12,wedged,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
13,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
14,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
15,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
16,clean,success_only_bc,1,1.0,38,0,0,0,0,nan,nan,nan,0,0,0,0,nan
17,id,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,nan
18,toppled,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,1,nan
19,dropped,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
20,wedged,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
21,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
22,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
23,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
24,clean,success_only_bc,1,1.0,37,0,0,0,0,nan,nan,nan,0,0,0,0,nan
25,id,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,nan
26,toppled,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,1,nan
27,dropped,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
28,wedged,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
29,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
30,robust,success_only_bc,0,0.3333333333333333,230,2,1,1,1,1.0,0.0,3.0,0,0,0,1,0
31,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
32,clean,success_only_bc,1,1.0,35,0,0,0,0,nan,nan,nan,0,0,0,0,nan
33,id,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,nan
34,toppled,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,1,nan
35,dropped,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
36,wedged,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
37,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
38,robust,success_only_bc,0,0.3333333333333333,230,1,1,0,1,1.0,nan,3.0,0,0,0,0,0
39,robust,success_only_bc,0,0.3333333333333333,230,2,1,1,1,1.0,0.0,4.0,0,0,0,0,0
40,clean,success_only_bc,1,1.0,35,0,0,0,0,nan,nan,nan,0,0,0,0,nan
41,id,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,nan
42,toppled,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,1,nan
43,dropped,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
44,wedged,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
45,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
46,robust,success_only_bc,0,0.3333333333333333,230,2,1,1,1,1.0,0.0,4.0,0,0,0,0,0
47,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
48,clean,success_only_bc,1,1.0,36,0,0,0,0,nan,nan,nan,0,0,0,0,nan
49,id,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,nan
50,toppled,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,1,nan
51,dropped,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
52,wedged,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
53,robust,success_only_bc,0,0.3333333333333333,230,2,1,1,1,1.0,0.0,4.0,0,0,0,1,0
54,robust,success_only_bc,0,0.3333333333333333,230,2,1,1,1,1.0,0.0,5.0,0,0,0,1,0
55,robust,success_only_bc,0,0.3333333333333333,230,2,1,1,1,1.0,0.0,5.0,0,0,0,0,0
56,clean,success_only_bc,1,1.0,34,0,0,0,0,nan,nan,nan,0,0,0,0,nan
57,id,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,nan
58,toppled,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,2,nan
59,dropped,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
60,wedged,success_only_bc,0,0.3333333333333333,230,1,0,1,0,nan,0.0,nan,0,0,0,0,nan
61,robust,success_only_bc,0,0.3333333333333333,230,2,1,1,1,1.0,0.0,3.0,0,0,0,0,0
62,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
63,robust,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,0
64,clean,success_only_bc,1,1.0,34,0,0,0,0,nan,nan,nan,0,0,0,0,nan
65,id,success_only_bc,0,0.0,230,1,1,0,0,0.0,nan,nan,0,0,0,0,nan
