skill_type,skill_label,family,occurrences,full_attempt_rate,full_conditional_success,full_unexecuted_rate,exact_stsr,exact_valid_rate,exact_mean_gap,pose_jitter_stsr,pose_jitter_valid_rate,pose_jitter_mean_gap,realistic_stsr,realistic_valid_rate,realistic_mean_gap,offnominal_stsr,offnominal_valid_rate,offnominal_mean_gap
MoveTo,Move To,navigation,180,0.6,1.0,0.4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9888888888888889,1.0,0.0
PickUpFrom,Pick Up From,contact-rich,90,1.0,0.3111111111111111,0.0,0.4888888888888889,1.0,0.0,0.07777777777777778,1.0,0.0,0.0,1.0,0.0,0.0,0.08888888888888889,0.0759319136326668
OpenDoor,Open Door,articulation,36,0.4166666666666667,0.0,0.5833333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17677656804962139
PlaceIn,Place In,precise placement,36,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.05555555555555555,0.07161386854505838,0.0,0.0,0.3520814973778062
CloseDoor,Close Door,articulation,36,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10297210968188514
Pour,Pour,tool use,18,0.1111111111111111,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12548635751098314,0.0,0.0,0.47044766089870127
PlaceOn,Place On,placement,36,0.0,,1.0,0.4722222222222222,1.0,0.0,0.05555555555555555,1.0,0.0,0.0,1.0,0.0,0.0,0.3055555555555556,0.024959471545045957
SweepSurface,Sweep Surface,contact-rich,18,0.5555555555555556,0.0,0.4444444444444444,0.05555555555555555,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.07337264129105986
Attach,Attach,tool use,18,0.05555555555555555,0.0,0.9444444444444444,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17370882778083196,0.0,0.0,0.514563451250021
Release,Release,release,54,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9074074074074074,1.0,0.0,0.6666666666666666,1.0,0.0
