method,trial_seed,latency_scale,disturbance_scale,success,tracking_rmse,tail_tracking_rmse,final_error,boundary_discontinuity,p95_boundary_discontinuity,handoff_staleness,context_age_ms,rms_jerk,idle_fraction,deadline_miss_steps,simulated_first_action_latency_ms,configured_first_action_latency_ms,emitted_chunks,decoder_launches,decoder_sequential_passes,decoder_slot_updates,causal_pair_interactions
isolated_n_step,1428992204,1.0,0.5,1.0,0.47461192952126785,0.17268956546458253,0.10655040236899127,0.1755009090008811,0.3144941435282143,0.15397613161869247,125.0,13.247172081569962,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
few_step_distilled,1428992204,1.0,0.5,1.0,0.461426374117829,0.18395499319377348,0.08078830894865426,0.25850728013818725,0.44423081276459625,0.06095708790867587,50.0,12.83483221255845,0.008333333333333333,0,50.0,40.0,30,30,60,60,0
streaming_no_causal,1428992204,1.0,0.5,1.0,0.4796279750899486,0.16713276516473488,0.28872166356948487,0.26079444116914835,0.42158743375525537,0.03239136673481238,28.333333333333336,13.308511179370672,0.020833333333333332,0,125.0,120.0,30,30,35,195,0
streaming_causal,1428992204,1.0,0.5,1.0,0.5123456873931406,0.1901850155359166,0.07873152448338518,0.03612082515998207,0.06086325604123671,0.0014014100555291668,28.333333333333336,12.621181225516956,0.020833333333333332,0,125.0,120.0,30,30,35,195,644
future_state_conditioned,1428992204,1.0,0.5,1.0,0.5031166620455051,0.17934892470288544,0.06100794309499158,0.13156185543195215,0.23557379217950852,0.0019171867304719585,125.0,12.861200903219181,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
isolated_n_step,2197443008,1.0,0.5,1.0,0.4509734623287381,0.10181497922902714,0.14670106017832288,0.1873402460269052,0.4013295720769393,0.1449010385804453,125.0,13.513070424465095,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
few_step_distilled,2197443008,1.0,0.5,1.0,0.4369031135300543,0.11270367200835357,0.12237540663406582,0.3103126809090538,0.5695359051001745,0.0575094434021473,50.0,12.12313303545738,0.008333333333333333,0,50.0,40.0,30,30,60,60,0
streaming_no_causal,2197443008,1.0,0.5,0.0,0.45444862130486346,0.2573500878593622,0.20568811785514132,0.2207420522274761,0.37026355882132495,0.029557620582881697,28.333333333333336,13.275516958599198,0.020833333333333332,0,125.0,120.0,30,30,35,195,0
streaming_causal,2197443008,1.0,0.5,1.0,0.4756966748724291,0.11356667294333563,0.11452238980786171,0.03454432970375137,0.060496040555962236,0.0013920325277075624,28.333333333333336,12.694370912556288,0.020833333333333332,0,125.0,120.0,30,30,35,195,644
future_state_conditioned,2197443008,1.0,0.5,1.0,0.4689189603871478,0.10994801429966446,0.11742039947631394,0.12292379476873967,0.27090364558300956,0.0020949553731495064,125.0,12.935646878797801,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
isolated_n_step,389016444,1.0,0.5,0.0,0.4434072554680805,0.23579380707731304,0.05867243976317752,0.20271005086628976,0.5595732269031126,0.09727049216651165,125.0,13.611130707750151,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
few_step_distilled,389016444,1.0,0.5,0.0,0.4292148622310271,0.24956356436297294,0.09219896642418639,0.3290107011825385,0.5511377968283819,0.03728342424633257,50.0,13.353012914982749,0.008333333333333333,0,50.0,40.0,30,30,60,60,0
streaming_no_causal,389016444,1.0,0.5,0.0,0.44933480814521987,0.21093201062749908,0.19458419649826966,0.29485098866820575,0.5318202266318348,0.02176417333225555,28.333333333333336,13.542921379166803,0.020833333333333332,0,125.0,120.0,30,30,35,195,0
streaming_causal,389016444,1.0,0.5,0.0,0.4563761598136974,0.2532815668342946,0.09195101036212144,0.03140409972616274,0.08566411581732422,0.0011423565105953576,28.333333333333336,12.747975621910806,0.020833333333333332,0,125.0,120.0,30,30,35,195,644
future_state_conditioned,389016444,1.0,0.5,0.0,0.45241724383426296,0.23415431848247165,0.08999328239075535,0.1110183298225505,0.35538358889075555,0.0016439104506155947,125.0,12.969660893383303,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
isolated_n_step,45634598,1.0,0.5,1.0,0.4589623399493136,0.1451879494027798,0.08792708905704494,0.19182288512950635,0.42921680131695555,0.11476905240213311,125.0,13.39302639632558,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
few_step_distilled,45634598,1.0,0.5,1.0,0.4507479928475665,0.16205003654948755,0.09003133237839543,0.3094841149467196,0.6207095423983524,0.045931049669530016,50.0,12.705782470641022,0.008333333333333333,0,50.0,40.0,30,30,60,60,0
streaming_no_causal,45634598,1.0,0.5,1.0,0.4638473970691676,0.17626162150145064,0.1900713363404029,0.24615527093314804,0.43490080950783944,0.024752360804008593,28.333333333333336,13.215720070029581,0.020833333333333332,0,125.0,120.0,30,30,35,195,0
streaming_causal,45634598,1.0,0.5,1.0,0.4897268853859482,0.18118652158998286,0.08034221127108183,0.03233824315307281,0.05940049562444918,0.0012358027634002333,28.333333333333336,12.643465462283864,0.020833333333333332,0,125.0,120.0,30,30,35,195,644
future_state_conditioned,45634598,1.0,0.5,1.0,0.48379861740266944,0.17510432483830402,0.08114878207483225,0.12239146672968723,0.2916426467178624,0.0017463222065420203,125.0,12.901797664567937,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
isolated_n_step,2615086584,1.0,0.5,1.0,0.45211541857199145,0.16731459522346107,0.18399096936943127,0.2046821960625454,0.5285979521682326,0.13587062326793078,125.0,13.62796154289874,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
few_step_distilled,2615086584,1.0,0.5,1.0,0.43788441274365786,0.1676781665632886,0.19509800094562973,0.3319266575510537,0.6422843340127703,0.053861701176498446,50.0,13.351482117094783,0.008333333333333333,0,50.0,40.0,30,30,60,60,0
streaming_no_causal,2615086584,1.0,0.5,0.0,0.4508621590817092,0.2471157398608136,0.16787761621972103,0.23701220182784657,0.5145558518107862,0.027724615658886054,28.333333333333336,13.314253793159294,0.020833333333333332,0,125.0,120.0,30,30,35,195,0
streaming_causal,2615086584,1.0,0.5,1.0,0.47431456222776563,0.1452732707739912,0.1961857470428924,0.041445680841541585,0.08072565818100526,0.0014859025617658405,28.333333333333336,12.694372815716813,0.020833333333333332,0,125.0,120.0,30,30,35,195,644
future_state_conditioned,2615086584,1.0,0.5,1.0,0.4681417334656139,0.1451040726641498,0.18912891428925468,0.13052234971963494,0.3317629938414265,0.002038168623114593,125.0,12.980025620907794,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
isolated_n_step,449088113,1.0,0.5,1.0,0.46347354694223636,0.12289574383189317,0.10960961236708837,0.16630748986357197,0.30735107573717957,0.1419784432889732,125.0,13.2813375316842,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
few_step_distilled,449088113,1.0,0.5,1.0,0.44928266663397876,0.14916070017556812,0.14413309667682417,0.3013365202669624,0.5360488593570708,0.056541905433469805,50.0,12.436087366888477,0.008333333333333333,0,50.0,40.0,30,30,60,60,0
streaming_no_causal,449088113,1.0,0.5,1.0,0.4679462755239648,0.19319341279382218,0.042049996216617036,0.21622971340424732,0.36030662392458046,0.029356760100246435,28.333333333333336,13.168755740744619,0.020833333333333332,0,125.0,120.0,30,30,35,195,0
streaming_causal,449088113,1.0,0.5,1.0,0.49629096369555503,0.12723153618739894,0.11337610536633994,0.03135973635759994,0.05286942920736451,0.0013403989978809374,28.333333333333336,12.615703324662764,0.020833333333333332,0,125.0,120.0,30,30,35,195,644
future_state_conditioned,449088113,1.0,0.5,1.0,0.4881821182748432,0.125195468655611,0.1123638015823436,0.12058731657063515,0.303450275810849,0.0022551786561469675,125.0,12.873125946330337,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
isolated_n_step,3043450284,1.0,0.5,1.0,0.4501357634691363,0.11706381105004064,0.11496688840031771,0.19704989610947332,0.46028922085286195,0.12933921322151598,125.0,13.592859109357262,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
few_step_distilled,3043450284,1.0,0.5,1.0,0.4352670122271972,0.12027120775883132,0.1071168989730885,0.2843547858539815,0.6538793980563807,0.05108108541787357,50.0,13.161588892191794,0.008333333333333333,0,50.0,40.0,30,30,60,60,0
streaming_no_causal,3043450284,1.0,0.5,0.0,0.45007952590524525,0.21354082657685147,0.14761567605386702,0.26151315683829385,0.502720310384649,0.026856794956865986,28.333333333333336,13.458054946245586,0.020833333333333332,0,125.0,120.0,30,30,35,195,0
streaming_causal,3043450284,1.0,0.5,1.0,0.4679977068122447,0.15385367747742074,0.12831814660176113,0.03012438009230846,0.06009687448278457,0.001285940128801691,28.333333333333336,12.70492793102331,0.020833333333333332,0,125.0,120.0,30,30,35,195,644
future_state_conditioned,3043450284,1.0,0.5,1.0,0.4625738929216267,0.14835746654659088,0.12235644327899602,0.11500548564615003,0.22905860865116565,0.002058233668556526,125.0,12.919366248044861,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
isolated_n_step,4279135069,1.0,0.5,1.0,0.4574337003857027,0.1463926043915104,0.12987706141150096,0.17844716465938285,0.4897279833745237,0.10656381862726462,125.0,13.342584129482015,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
few_step_distilled,4279135069,1.0,0.5,1.0,0.4470148688858379,0.16595339417257474,0.13784857867335693,0.27800965083580115,0.5322413095015427,0.042240395198274765,50.0,12.623177593516083,0.008333333333333333,0,50.0,40.0,30,30,60,60,0
streaming_no_causal,4279135069,1.0,0.5,1.0,0.46554851146971293,0.17701222152296334,0.08286627388682102,0.23619514781328996,0.5609426371198735,0.02320021910478247,28.333333333333336,13.24579854072339,0.020833333333333332,0,125.0,120.0,30,30,35,195,0
streaming_causal,4279135069,1.0,0.5,1.0,0.4838094953643735,0.16385705247317175,0.14535336687640132,0.02938061302555991,0.05575078189618047,0.0011263248389124874,28.333333333333336,12.641367289140417,0.020833333333333332,0,125.0,120.0,30,30,35,195,644
future_state_conditioned,4279135069,1.0,0.5,1.0,0.47803249176004026,0.15971374049651865,0.1405048061378604,0.1033539690852381,0.2526810406349018,0.00160580021437214,125.0,12.839853427971645,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
isolated_n_step,2699054846,1.0,0.5,1.0,0.45825645894207734,0.13260668987618157,0.045905312538367896,0.21098879229198508,0.6421922622385776,0.12932395281505796,125.0,13.682732695068628,0.020833333333333332,0,125.0,120.0,30,30,180,180,0
few_step_distilled,2699054846,1.0,0.5,1.0,0.4411239046725596,0.14649596169442522,0.0429181725430789,0.3053180829385262,0.7305519979647064,0.050397565182797026,50.0,13.351576329794952,0.008333333333333333,0,50.0,40.0,30,30,60,60,0
streaming_no_causal,2699054846,1.0,0.5,1.0,0.4616512335070343,0.17960930235175587,0.20937946651789852,0.2866423588512065,0.7096264108615372,0.027305269429339217,28.333333333333336,13.685816981296481,0.020833333333333332,0,125.0,120.0,30,30,35,195,0
streaming_causal,2699054846,1.0,0.5,1.0,0.4662106916767618,0.15890352114910716,0.025511295412475855,0.03305290562818108,0.05911576139725742,0.0012667186493932783,28.333333333333336,12.742276231466294,0.020833333333333332,0,125.0,120.0,30,30,35,195,644
