method,label,rate,regime,episodes,success_rate,force_closure_rate,alignment_mm,orientation_deg,peak_contact_force_n,insertion_depth_mm,action_rmse,stage_acquisition_rate,stage_lift_rate,stage_reorientation_rate,stage_preinsert_rate,stage_insertion_rate,stage_release_rate,stage_settling_rate,failure_success_rate,failure_no_force_closure_rate,failure_lift_loss_rate,failure_reorientation_rate,failure_insertion_misalignment_rate,failure_insertion_jam_rate,failure_release_rate,failure_settling_rate
scripted_expert,Scripted expert,0.5,demonstrated_anchor,180,1.0,1.0,0.6105950489744179,0.5066303528417693,1.8348744439057567,59.08670835211596,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scripted_expert,Scripted expert,0.75,interpolation,180,1.0,1.0,0.5514671139145957,0.49561901474024334,2.010804525475241,59.15686170166755,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scripted_expert,Scripted expert,1.0,demonstrated_anchor,180,1.0,1.0,0.5404125827512453,0.5032967353987124,2.2954023774425374,59.163022555352896,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scripted_expert,Scripted expert,1.25,interpolation,180,1.0,1.0,0.6074421340868001,0.4794994372308363,2.634641094311815,59.08623512777554,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scripted_expert,Scripted expert,1.5,demonstrated_anchor,180,1.0,1.0,0.5696904783583436,0.5273768242371454,3.0754937733773398,59.10987381586215,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scripted_expert,Scripted expert,1.75,interpolation,180,1.0,1.0,0.5510514322860315,0.5067765471879623,3.5475502883333037,59.13054369681008,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scripted_expert,Scripted expert,2.0,demonstrated_anchor,180,1.0,1.0,0.5316054034529114,0.5707804710330584,4.128014421398695,58.958742991854805,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scripted_expert,Scripted expert,2.25,extrapolation,180,1.0,1.0,0.628881076116826,0.5690253762938792,4.925658691171066,58.01924849876362,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scripted_expert,Scripted expert,2.5,extrapolation,180,1.0,1.0,0.6265013324856212,0.6453501764025956,5.886760932571287,56.70334712264163,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scripted_expert,Scripted expert,3.0,extrapolation,180,0.2611111111111111,1.0,0.7802531510245103,0.6790231148216156,8.734940835936708,52.649932352287095,0.0,1.0,1.0,1.0,1.0,0.2611111111111111,0.2611111111111111,0.2611111111111111,0.2611111111111111,0.0,0.0,0.0,0.0,0.7388888888888889,0.0,0.0
