policy,episode,goal,policy_goal,refresh_every_steps,success,steps,settled_at,final_dist,min_dist,min_obstacle_margin,collision,mean_jerk
direct_32hz,0,0,0,1,1.0,17.0,16.0,0.0057066502049565315,0.0057066502049565315,0.04668489575386048,0.0,0.006739509291946888
direct_32hz,1,1,1,1,1.0,14.0,13.0,0.023517098277807236,0.023517098277807236,0.05810106277465821,0.0,0.007474911864846945
direct_32hz,2,2,2,1,1.0,13.0,13.0,0.04003097116947174,0.04003097116947174,0.07599968194961548,0.0,0.004756488371640444
direct_32hz,3,3,3,1,1.0,17.0,16.0,0.03686976432800293,0.03686976432800293,0.010858153104782109,0.0,0.008798068389296532
direct_32hz,4,0,0,1,1.0,16.0,14.0,0.023759417235851288,0.023759417235851288,0.06776696920394898,0.0,0.009978039190173149
direct_32hz,5,1,1,1,1.0,18.0,18.0,0.04895416647195816,0.04895416647195816,0.0655633556842804,0.0,0.007251039147377014
direct_32hz,6,2,2,1,1.0,11.0,10.0,0.012413479387760162,0.012413479387760162,0.0460800576210022,0.0,0.009249279275536537
direct_32hz,7,3,3,1,1.0,34.0,14.0,0.043751079589128494,0.043751079589128494,0.06719041347503663,0.0,0.006498911418020725
direct_32hz,8,0,0,1,1.0,12.0,10.0,0.04967246577143669,0.04967246577143669,0.029501204490661626,0.0,0.007188823074102402
direct_32hz,9,1,1,1,1.0,12.0,11.0,0.046450819820165634,0.046450819820165634,0.07247865676879883,0.0,0.006577141582965851
direct_32hz,10,2,2,1,1.0,12.0,12.0,0.05181870609521866,0.05181870609521866,0.05901334166526795,0.0,0.007023064885288477
direct_32hz,11,3,3,1,1.0,14.0,9.0,0.04280378296971321,0.04280378296971321,0.07125190377235413,0.0,0.004933290649205446
direct_32hz,12,0,0,1,1.0,14.0,13.0,0.016677621752023697,0.016677621752023697,0.013750289678573613,0.0,0.008660972118377686
direct_32hz,13,1,1,1,1.0,13.0,12.0,0.05339973047375679,0.05339973047375679,0.026825730800628667,0.0,0.010561095550656319
direct_32hz,14,2,2,1,1.0,12.0,11.0,0.01811448112130165,0.01811448112130165,0.05951712012290955,0.0,0.006615832448005676
direct_32hz,15,3,3,1,1.0,15.0,15.0,0.01724432036280632,0.01724432036280632,0.035160427093505864,0.0,0.006730054039508104
direct_32hz,16,0,0,1,1.0,13.0,13.0,0.0532442107796669,0.0532442107796669,0.032384847402572636,0.0,0.0066949427127838135
direct_32hz,17,1,1,1,1.0,20.0,18.0,0.03674057871103287,0.03674057871103287,0.07312480092048645,0.0,0.011236928403377533
direct_32hz,18,2,2,1,1.0,12.0,12.0,0.04607359319925308,0.04607359319925308,0.046885644197463994,0.0,0.006508619990199804
direct_32hz,19,3,3,1,1.0,17.0,17.0,0.045727912336587906,0.045727912336587906,0.15340525388717652,0.0,0.0033798415679484606
direct_32hz,20,0,0,1,1.0,13.0,13.0,0.03586028516292572,0.03586028516292572,0.04510581970214844,0.0,0.007693349849432707
direct_32hz,21,1,1,1,1.0,17.0,16.0,0.024614660069346428,0.024614660069346428,0.048012708425521855,0.0,0.0075595080852508545
direct_32hz,22,2,2,1,1.0,15.0,11.0,0.03686113655567169,0.03686113655567169,0.0676174807548523,0.0,0.017390189692378044
direct_32hz,23,3,3,1,1.0,13.0,12.0,0.04797394946217537,0.04797394946217537,0.03961447358131409,0.0,0.008310380391776562
direct_32hz,24,0,0,1,1.0,12.0,12.0,0.034992288798093796,0.034992288798093796,0.03818017721176148,0.0,0.004166251048445702
direct_32hz,25,1,1,1,1.0,15.0,14.0,0.051570434123277664,0.051570434123277664,0.05485091090202332,0.0,0.009362234733998775
direct_32hz,26,2,2,1,1.0,13.0,12.0,0.0056666424497962,0.0056666424497962,0.02449948072433472,0.0,0.007744319271296263
direct_32hz,27,3,3,1,1.0,14.0,14.0,0.04699143394827843,0.04699143394827843,0.10942990064620972,0.0,0.00449821213260293
direct_32hz,28,0,0,1,1.0,12.0,12.0,0.042879618704319,0.042879618704319,0.0895300853252411,0.0,0.007285939995199442
direct_32hz,29,1,1,1,1.0,13.0,13.0,0.048689939081668854,0.048689939081668854,0.00968838214874268,0.0,0.004295485094189644
direct_32hz,30,2,2,1,1.0,12.0,12.0,0.051935575902462006,0.051935575902462006,0.002500360012054448,0.0,0.006100735627114773
direct_32hz,31,3,3,1,1.0,16.0,14.0,0.04853802174329758,0.04853802174329758,0.07604435563087464,0.0,0.0036871242336928844
direct_32hz,32,0,0,1,1.0,18.0,14.0,0.050283364951610565,0.050283364951610565,0.12098554253578186,0.0,0.01551852561533451
direct_32hz,33,1,1,1,1.0,15.0,15.0,0.044619012624025345,0.044619012624025345,0.035460685491561894,0.0,0.010670231655240059
direct_32hz,34,2,2,1,1.0,13.0,12.0,0.028737127780914307,0.028737127780914307,0.07507101178169251,0.0,0.0063831014558672905
direct_32hz,35,3,3,1,1.0,10.0,10.0,0.04973885789513588,0.04973885789513588,0.05227202653884888,0.0,0.006473813205957413
direct_32hz,36,0,0,1,1.0,12.0,11.0,0.033657658845186234,0.033657658845186234,0.08542404055595398,0.0,0.006806161254644394
direct_32hz,37,1,1,1,1.0,11.0,11.0,0.03215109556913376,0.03215109556913376,0.024036620855331425,0.0,0.00709108030423522
direct_32hz,38,2,2,1,1.0,11.0,11.0,0.016385052353143692,0.016385052353143692,0.0417596447467804,0.0,0.005374237895011902
direct_32hz,39,3,3,1,1.0,14.0,13.0,0.042214978486299515,0.042214978486299515,0.03129336714744568,0.0,0.00607139291241765
direct_32hz,40,0,0,1,1.0,13.0,12.0,0.03114219941198826,0.03114219941198826,0.07265621900558472,0.0,0.00511874770745635
direct_32hz,41,1,1,1,1.0,14.0,13.0,0.04171683266758919,0.04171683266758919,0.04755810379981995,0.0,0.005058493930846453
direct_32hz,42,2,2,1,1.0,16.0,15.0,0.01086224801838398,0.01086224801838398,0.09933236718177796,0.0,0.018220653757452965
direct_32hz,43,3,3,1,0.0,15.0,15.0,0.03622559458017349,0.03622559458017349,-0.004732514619827266,1.0,0.004747574217617512
direct_32hz,44,0,0,1,1.0,15.0,14.0,0.05188440904021263,0.05188440904021263,0.03422016382217408,0.0,0.007501160725951195
direct_32hz,45,1,1,1,1.0,13.0,12.0,0.04491893947124481,0.04491893947124481,0.10963127493858338,0.0,0.004829220939427614
direct_32hz,46,2,2,1,1.0,19.0,18.0,0.04151201993227005,0.04151201993227005,0.034151409864425664,0.0,0.006667023990303278
direct_32hz,47,3,3,1,1.0,14.0,13.0,0.008801459334790707,0.008801459334790707,0.01834890723228455,0.0,0.008518806658685207
direct_32hz,48,0,0,1,1.0,12.0,9.0,0.026705045253038406,0.026705045253038406,0.0690907883644104,0.0,0.009020303376019001
direct_32hz,49,1,1,1,1.0,11.0,11.0,0.045589230954647064,0.045589230954647064,0.07060242176055909,0.0,0.008154048584401608
