method,split,condition,alias,composition,trial,success,action_rmse,chunk_rmse,final_error,sequence_correct,swapped_success,swapped_action_rmse,prompt_swap_output_shift,prompt_swap_error_increase,prompt_swap_success_drop
direct_bc,seen,clean,0,0-1-3,0,1.0,0.09629318118095398,0.36809292435646057,0.9311751127243042,1.0,1.0,0.09629318118095398,0.0,0.0,0.0
prompt_one_step_bc,seen,clean,0,0-1-3,0,1.0,0.05592391639947891,0.2072201371192932,0.3469356298446655,1.0,1.0,0.06169061362743378,0.05269933491945267,0.0057666972279548645,0.0
ifp_future_chunk,seen,clean,0,0-1-3,0,1.0,0.08028033375740051,0.30457448959350586,0.7718902230262756,1.0,1.0,0.058847323060035706,0.05614295229315758,-0.021433010697364807,0.0
ifp_shuffled_prompt,seen,clean,0,0-1-3,0,1.0,0.05078338831663132,0.17579415440559387,0.33948636054992676,1.0,1.0,0.05268550664186478,0.0088508240878582,0.0019021183252334595,0.0
direct_bc,seen,distractor_mild,0,0-1-3,0,1.0,0.06806346029043198,0.251083105802536,0.7579761147499084,1.0,1.0,0.06806346029043198,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_mild,0,0-1-3,0,1.0,0.04208897426724434,0.09924019873142242,0.1414315551519394,1.0,1.0,0.0366738960146904,0.045708104968070984,-0.00541507825255394,0.0
ifp_future_chunk,seen,distractor_mild,0,0-1-3,0,1.0,0.04912266880273819,0.14170168340206146,0.4171980619430542,1.0,1.0,0.03773520141839981,0.04705869406461716,-0.011387467384338379,0.0
ifp_shuffled_prompt,seen,distractor_mild,0,0-1-3,0,1.0,0.05410190299153328,0.20050281286239624,0.512083113193512,1.0,1.0,0.05371829867362976,0.0059069301933050156,-0.0003836043179035187,0.0
direct_bc,seen,distractor_hard,0,0-1-3,0,1.0,0.10570546239614487,0.41330596804618835,0.7743209004402161,1.0,1.0,0.10570546239614487,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_hard,0,0-1-3,0,1.0,0.08089331537485123,0.2819632589817047,0.7409470677375793,1.0,1.0,0.10163328051567078,0.06893692165613174,0.02073996514081955,0.0
ifp_future_chunk,seen,distractor_hard,0,0-1-3,0,0.0,0.11567997932434082,0.4381597340106964,1.5392183065414429,1.0,1.0,0.10358503460884094,0.12688113749027252,-0.012094944715499878,-1.0
ifp_shuffled_prompt,seen,distractor_hard,0,0-1-3,0,1.0,0.06878600269556046,0.2563955783843994,0.5711174011230469,1.0,1.0,0.07087742537260056,0.01131711807101965,0.0020914226770401,0.0
direct_bc,seen,prompt_corrupt_mild,0,0-1-3,0,1.0,0.07738690823316574,0.294497549533844,1.0939065217971802,1.0,1.0,0.07738690823316574,0.0,0.0,0.0
prompt_one_step_bc,seen,prompt_corrupt_mild,0,0-1-3,0,1.0,0.10186456888914108,0.35882866382598877,0.9026173949241638,1.0,1.0,0.033800527453422546,0.09992147982120514,-0.06806404143571854,0.0
ifp_future_chunk,seen,prompt_corrupt_mild,0,0-1-3,0,1.0,0.0926503837108612,0.31627416610717773,0.8079906702041626,1.0,1.0,0.039555102586746216,0.09586812555789948,-0.05309528112411499,0.0
ifp_shuffled_prompt,seen,prompt_corrupt_mild,0,0-1-3,0,1.0,0.06296613067388535,0.23726974427700043,0.3174801170825958,1.0,1.0,0.0650891661643982,0.007585486862808466,0.002123035490512848,0.0
direct_bc,seen,prompt_corrupt_hard,0,0-1-3,0,1.0,0.0797048807144165,0.30368930101394653,0.9972965717315674,1.0,1.0,0.0797048807144165,0.0,0.0,0.0
prompt_one_step_bc,seen,prompt_corrupt_hard,0,0-1-3,0,1.0,0.1512378305196762,0.5062617063522339,1.0209555625915527,1.0,1.0,0.04564041644334793,0.17077574133872986,-0.10559741407632828,0.0
ifp_future_chunk,seen,prompt_corrupt_hard,0,0-1-3,0,1.0,0.09777047485113144,0.3252035975456238,0.5857194662094116,1.0,1.0,0.04781869053840637,0.11658580601215363,-0.04995178431272507,0.0
ifp_shuffled_prompt,seen,prompt_corrupt_hard,0,0-1-3,0,1.0,0.029450079426169395,0.09536318480968475,0.29717811942100525,1.0,1.0,0.030351707711815834,0.0066008539870381355,0.0009016282856464386,0.0
direct_bc,seen,clean,0,0-1-3,1,1.0,0.07843586802482605,0.29824793338775635,0.9557941555976868,1.0,1.0,0.07843586802482605,0.0,0.0,0.0
prompt_one_step_bc,seen,clean,0,0-1-3,1,1.0,0.05911864712834358,0.19963358342647552,0.34550225734710693,1.0,1.0,0.05578269809484482,0.04216397926211357,-0.003335949033498764,0.0
ifp_future_chunk,seen,clean,0,0-1-3,1,1.0,0.0616455003619194,0.22538365423679352,0.2029048204421997,1.0,1.0,0.054675742983818054,0.03197523579001427,-0.006969757378101349,0.0
ifp_shuffled_prompt,seen,clean,0,0-1-3,1,1.0,0.041187480092048645,0.138920858502388,0.27717313170433044,1.0,1.0,0.04183930531144142,0.007023794110864401,0.0006518252193927765,0.0
direct_bc,seen,distractor_mild,0,0-1-3,1,1.0,0.11042925715446472,0.4297642707824707,0.9454517960548401,1.0,1.0,0.11042925715446472,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_mild,0,0-1-3,1,1.0,0.08004044741392136,0.30539199709892273,0.6730808019638062,1.0,1.0,0.043001800775527954,0.06360626220703125,-0.0370386466383934,0.0
ifp_future_chunk,seen,distractor_mild,0,0-1-3,1,0.0,0.11121883243322372,0.41822734475135803,1.652925729751587,1.0,1.0,0.060920607298612595,0.07042883336544037,-0.05029822513461113,-1.0
ifp_shuffled_prompt,seen,distractor_mild,0,0-1-3,1,1.0,0.06298360973596573,0.22873635590076447,0.31548821926116943,1.0,1.0,0.06270526349544525,0.0027586501091718674,-0.0002783462405204773,0.0
direct_bc,seen,distractor_hard,0,0-1-3,1,1.0,0.0746382474899292,0.289771169424057,0.9331560134887695,1.0,1.0,0.0746382474899292,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_hard,0,0-1-3,1,1.0,0.047788385301828384,0.11119051277637482,0.2126646637916565,1.0,1.0,0.05657132714986801,0.07958237826824188,0.008782941848039627,0.0
ifp_future_chunk,seen,distractor_hard,0,0-1-3,1,1.0,0.053236328065395355,0.19599446654319763,0.6539084315299988,1.0,1.0,0.05030671879649162,0.0751485824584961,-0.0029296092689037323,0.0
ifp_shuffled_prompt,seen,distractor_hard,0,0-1-3,1,1.0,0.03993949294090271,0.13056005537509918,0.4167436957359314,1.0,1.0,0.03500533103942871,0.014674626290798187,-0.004934161901473999,0.0
direct_bc,seen,prompt_corrupt_mild,0,0-1-3,1,0.0,0.08835068345069885,0.33787721395492554,1.2668631076812744,1.0,0.0,0.08835068345069885,0.0,0.0,0.0
prompt_one_step_bc,seen,prompt_corrupt_mild,0,0-1-3,1,1.0,0.10495175421237946,0.3508441746234894,0.5839707851409912,1.0,1.0,0.04983687773346901,0.10100700706243515,-0.055114876478910446,0.0
