method,split,condition,alias,composition,trial,success,action_rmse,chunk_rmse,final_error,sequence_correct,swapped_success,swapped_action_rmse,prompt_swap_output_shift,prompt_swap_error_increase,prompt_swap_success_drop
direct_bc,seen,clean,0,0-1-3,0,1.0,0.04147736728191376,0.13956908881664276,0.09988578408956528,1.0,1.0,0.04147736728191376,0.0,0.0,0.0
prompt_one_step_bc,seen,clean,0,0-1-3,0,1.0,0.026537509635090828,0.07461260259151459,0.09479019790887833,1.0,1.0,0.05650031194090843,0.05177183449268341,0.029962802305817604,0.0
ifp_future_chunk,seen,clean,0,0-1-3,0,1.0,0.02481885813176632,0.06645632535219193,0.1936599463224411,1.0,1.0,0.05496201291680336,0.05651126429438591,0.03014315478503704,0.0
ifp_shuffled_prompt,seen,clean,0,0-1-3,0,1.0,0.04688265174627304,0.16608023643493652,0.28354713320732117,1.0,1.0,0.04769759625196457,0.0015941160963848233,0.0008149445056915283,0.0
direct_bc,seen,distractor_mild,0,0-1-3,0,1.0,0.04543279856443405,0.16278524696826935,0.19727206230163574,1.0,1.0,0.04543279856443405,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_mild,0,0-1-3,0,1.0,0.024964427575469017,0.05981804430484772,0.09772893786430359,1.0,1.0,0.03404209762811661,0.03317410498857498,0.00907767005264759,0.0
ifp_future_chunk,seen,distractor_mild,0,0-1-3,0,1.0,0.03667924553155899,0.13129302859306335,0.3590466380119324,1.0,1.0,0.033187124878168106,0.034427210688591,-0.0034921206533908844,0.0
ifp_shuffled_prompt,seen,distractor_mild,0,0-1-3,0,1.0,0.04616744816303253,0.16110847890377045,0.4187127947807312,1.0,1.0,0.04575388878583908,0.0021589433308690786,-0.00041355937719345093,0.0
direct_bc,seen,distractor_hard,0,0-1-3,0,1.0,0.05784768611192703,0.22138364613056183,0.10187285393476486,1.0,1.0,0.05784768611192703,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_hard,0,0-1-3,0,1.0,0.038582950830459595,0.12849843502044678,0.35268548130989075,1.0,1.0,0.11726968735456467,0.09262675046920776,0.07868673652410507,0.0
ifp_future_chunk,seen,distractor_hard,0,0-1-3,0,1.0,0.029104646295309067,0.069605752825737,0.11915505677461624,1.0,1.0,0.11129919439554214,0.12429021298885345,0.08219454810023308,0.0
ifp_shuffled_prompt,seen,distractor_hard,0,0-1-3,0,1.0,0.06556645780801773,0.2477518618106842,0.23892107605934143,1.0,1.0,0.06590612232685089,0.0017162574222311378,0.0003396645188331604,0.0
direct_bc,seen,prompt_corrupt_mild,0,0-1-3,0,1.0,0.0666423961520195,0.25710389018058777,0.5344060659408569,1.0,1.0,0.0666423961520195,0.0,0.0,0.0
prompt_one_step_bc,seen,prompt_corrupt_mild,0,0-1-3,0,1.0,0.07333218306303024,0.23032914102077484,0.5569437742233276,1.0,1.0,0.03204366937279701,0.09081300348043442,-0.04128851369023323,0.0
ifp_future_chunk,seen,prompt_corrupt_mild,0,0-1-3,0,1.0,0.09558471292257309,0.33027610182762146,0.9833183884620667,1.0,1.0,0.026485804468393326,0.10534830391407013,-0.06909890845417976,0.0
ifp_shuffled_prompt,seen,prompt_corrupt_mild,0,0-1-3,0,1.0,0.0725952610373497,0.2767588496208191,0.7371277809143066,1.0,1.0,0.07340063154697418,0.0014547500759363174,0.0008053705096244812,0.0
direct_bc,seen,prompt_corrupt_hard,0,0-1-3,0,1.0,0.034720439463853836,0.12881550192832947,0.4097621440887451,1.0,1.0,0.034720439463853836,0.0,0.0,0.0
prompt_one_step_bc,seen,prompt_corrupt_hard,0,0-1-3,0,0.0,0.22126348316669464,0.831961452960968,2.1921682357788086,1.0,1.0,0.05470920726656914,0.2428007274866104,-0.1665542759001255,-1.0
ifp_future_chunk,seen,prompt_corrupt_hard,0,0-1-3,0,0.0,0.23831291496753693,0.8796075582504272,2.310356616973877,1.0,1.0,0.06281952559947968,0.2646452784538269,-0.17549338936805725,-1.0
ifp_shuffled_prompt,seen,prompt_corrupt_hard,0,0-1-3,0,1.0,0.04986456409096718,0.19266675412654877,0.6130282878875732,1.0,1.0,0.050072360783815384,0.0027827932499349117,0.00020779669284820557,0.0
direct_bc,seen,clean,0,0-1-3,1,1.0,0.028419964015483856,0.08658236265182495,0.2144119143486023,1.0,1.0,0.028419964015483856,0.0,0.0,0.0
prompt_one_step_bc,seen,clean,0,0-1-3,1,1.0,0.020921112969517708,0.05725155770778656,0.0862138420343399,1.0,1.0,0.03789849579334259,0.032520487904548645,0.016977382823824883,0.0
ifp_future_chunk,seen,clean,0,0-1-3,1,1.0,0.029233736917376518,0.0832083597779274,0.2788395583629608,1.0,1.0,0.05109374225139618,0.038827475160360336,0.02186000533401966,0.0
ifp_shuffled_prompt,seen,clean,0,0-1-3,1,1.0,0.030323145911097527,0.098945751786232,0.41397979855537415,1.0,1.0,0.03024492971599102,0.0021042998414486647,-7.821619510650635e-05,0.0
direct_bc,seen,distractor_mild,0,0-1-3,1,1.0,0.055920179933309555,0.21319547295570374,0.11267318576574326,1.0,1.0,0.055920179933309555,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_mild,0,0-1-3,1,1.0,0.024950800463557243,0.06308365613222122,0.0935330018401146,1.0,1.0,0.026339467614889145,0.02978917956352234,0.0013886671513319016,0.0
ifp_future_chunk,seen,distractor_mild,0,0-1-3,1,1.0,0.043252717703580856,0.14086899161338806,0.34974655508995056,1.0,1.0,0.035378649830818176,0.03677663952112198,-0.00787406787276268,0.0
ifp_shuffled_prompt,seen,distractor_mild,0,0-1-3,1,1.0,0.06290044635534286,0.23955267667770386,0.2883225977420807,1.0,1.0,0.06361398845911026,0.0012369006872177124,0.000713542103767395,0.0
direct_bc,seen,distractor_hard,0,0-1-3,1,1.0,0.0387694425880909,0.13951241970062256,0.29958418011665344,1.0,1.0,0.0387694425880909,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_hard,0,0-1-3,1,1.0,0.023000162094831467,0.05412190780043602,0.0627557709813118,1.0,1.0,0.06792037934064865,0.06865420192480087,0.044920217245817184,0.0
ifp_future_chunk,seen,distractor_hard,0,0-1-3,1,1.0,0.036635663360357285,0.12455983459949493,0.31835001707077026,1.0,1.0,0.06605253368616104,0.07599532604217529,0.029416870325803757,0.0
ifp_shuffled_prompt,seen,distractor_hard,0,0-1-3,1,1.0,0.048780348151922226,0.17104065418243408,0.5192963480949402,1.0,1.0,0.04764854535460472,0.0019561334047466516,-0.0011318027973175049,0.0
direct_bc,seen,prompt_corrupt_mild,0,0-1-3,1,1.0,0.05797269940376282,0.22405803203582764,0.5164542198181152,1.0,1.0,0.05797269940376282,0.0,0.0,0.0
prompt_one_step_bc,seen,prompt_corrupt_mild,0,0-1-3,1,1.0,0.09276486188173294,0.31167304515838623,0.2032117247581482,1.0,1.0,0.03916046395897865,0.10681160539388657,-0.05360439792275429,0.0
ifp_future_chunk,seen,prompt_corrupt_mild,0,0-1-3,1,1.0,0.08285511285066605,0.3012562096118927,0.357890784740448,1.0,1.0,0.036369238048791885,0.09333762526512146,-0.04648587480187416,0.0
ifp_shuffled_prompt,seen,prompt_corrupt_mild,0,0-1-3,1,1.0,0.05922137200832367,0.22214999794960022,0.6567271947860718,1.0,1.0,0.059003062546253204,0.001476368517614901,-0.0002183094620704651,0.0
direct_bc,seen,prompt_corrupt_hard,0,0-1-3,1,1.0,0.027805252000689507,0.0926319882273674,0.10636492073535919,1.0,1.0,0.027805252000689507,0.0,0.0,0.0
prompt_one_step_bc,seen,prompt_corrupt_hard,0,0-1-3,1,0.0,0.22161376476287842,0.8377055525779724,1.539151906967163,1.0,1.0,0.03916385769844055,0.24413494765758514,-0.18244990706443787,-1.0
ifp_future_chunk,seen,prompt_corrupt_hard,0,0-1-3,1,0.0,0.21365489065647125,0.801936686038971,1.8309869766235352,1.0,1.0,0.03246775642037392,0.2204146683216095,-0.18118713423609734,-1.0
ifp_shuffled_prompt,seen,prompt_corrupt_hard,0,0-1-3,1,1.0,0.035316430032253265,0.11916451156139374,0.332260400056839,1.0,1.0,0.03488460183143616,0.0011628278298303485,-0.00043182820081710815,0.0
direct_bc,seen,clean,0,0-1-3,2,1.0,0.04093519598245621,0.14145022630691528,0.2842451333999634,1.0,1.0,0.04093519598245621,0.0,0.0,0.0
prompt_one_step_bc,seen,clean,0,0-1-3,2,1.0,0.029106218367815018,0.09253668040037155,0.06096937879920006,1.0,1.0,0.045660097151994705,0.02984599582850933,0.016553878784179688,0.0
ifp_future_chunk,seen,clean,0,0-1-3,2,1.0,0.026348797604441643,0.08102326840162277,0.07679641991853714,1.0,1.0,0.03988485038280487,0.02248130924999714,0.013536052778363228,0.0
ifp_shuffled_prompt,seen,clean,0,0-1-3,2,1.0,0.046448126435279846,0.1730339676141739,0.49915432929992676,1.0,1.0,0.04690917953848839,0.0015870527131482959,0.00046105310320854187,0.0
direct_bc,seen,distractor_mild,0,0-1-3,2,1.0,0.037319958209991455,0.13251934945583344,0.38228747248649597,1.0,1.0,0.037319958209991455,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_mild,0,0-1-3,2,1.0,0.021389935165643692,0.05004075542092323,0.10319890826940536,1.0,1.0,0.03687321022152901,0.039309848099946976,0.015483275055885315,0.0
ifp_future_chunk,seen,distractor_mild,0,0-1-3,2,1.0,0.023716693744063377,0.06943266838788986,0.27008938789367676,1.0,1.0,0.040864236652851105,0.033571016043424606,0.017147542908787727,0.0
ifp_shuffled_prompt,seen,distractor_mild,0,0-1-3,2,1.0,0.049941692501306534,0.18173547089099884,0.6022783517837524,1.0,1.0,0.049854714423418045,0.0018303461838513613,-8.697807788848877e-05,0.0
direct_bc,seen,distractor_hard,0,0-1-3,2,1.0,0.054894108325242996,0.2111317217350006,0.1835077553987503,1.0,1.0,0.054894108325242996,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_hard,0,0-1-3,2,1.0,0.03886013850569725,0.12326434999704361,0.19494080543518066,1.0,1.0,0.03458237648010254,0.03920971602201462,-0.004277762025594711,0.0
